Type,DataSource,Method,weat1,weat2,weat6,weat7,weat8,weat9
contextual,ALL,distilbert-CLS,0.167 (0.277),-0.694 (0.994),1.084 (0.012),1.001 (0.019),1.109 (0.009),-0.975 (0.977)
contextual,ALL,distilbert-last-hidden-subword-first,0.327 (0.123),-0.155 (0.707),0.403 (0.218),0.778 (0.056),0.140 (0.395),-1.226 (0.996)
contextual,ALL,distilbert-last-hidden-subword-avg,0.477 (0.045),-0.435 (0.939),-0.062 (0.527),1.293 (0.003),0.357 (0.244),1.554 (0.000)
contextual,ALL,distilbert-2nd-last-layer-subword-first,0.318 (0.131),-0.122 (0.666),-0.127 (0.582),0.506 (0.160),-0.036 (0.529),-1.250 (0.996)
contextual,ALL,distilbert-2nd-last-layer-subword-avg,0.426 (0.066),-0.394 (0.920),-0.282 (0.682),1.052 (0.013),0.198 (0.353),1.645 (0.000)
contextual,ALL,distilbert-avg-all-hidden-subword-first,0.478 (0.045),-0.004 (0.508),0.103 (0.425),1.020 (0.015),0.407 (0.209),-1.175 (0.993)
contextual,ALL,distilbert-avg-all-hidden-subword-avg,0.431 (0.064),-0.255 (0.818),-0.273 (0.664),1.165 (0.007),0.382 (0.220),1.707 (0.000)
contextual,GT,distilbert-CLS,0.351 (0.109),0.060 (0.419),1.183 (0.003),1.246 (0.003),0.776 (0.060),-0.529 (0.845)
contextual,GT,distilbert-last-hidden-subword-first,0.178 (0.268),-0.043 (0.561),1.085 (0.007),0.742 (0.072),1.070 (0.013),-1.281 (0.990)
contextual,GT,distilbert-last-hidden-subword-avg,-0.034 (0.545),0.263 (0.177),1.204 (0.002),0.889 (0.037),0.772 (0.062),0.575 (0.179)
contextual,GT,distilbert-2nd-last-layer-subword-first,0.119 (0.337),0.004 (0.496),0.658 (0.108),0.488 (0.178),1.169 (0.007),-1.390 (0.997)
contextual,GT,distilbert-2nd-last-layer-subword-avg,-0.138 (0.682),0.324 (0.126),0.934 (0.028),0.657 (0.096),0.804 (0.055),0.743 (0.103)
contextual,GT,distilbert-avg-all-hidden-subword-first,0.171 (0.276),0.086 (0.383),0.750 (0.070),1.022 (0.017),0.686 (0.089),-1.403 (0.996)
contextual,GT,distilbert-avg-all-hidden-subword-avg,-0.119 (0.657),0.393 (0.083),0.696 (0.084),0.904 (0.034),0.587 (0.125),1.089 (0.037)
contextual,HT,distilbert-CLS,0.096 (0.370),-0.440 (0.939),1.306 (0.002),0.854 (0.045),0.791 (0.058),-0.956 (0.949)
contextual,HT,distilbert-last-hidden-subword-first,0.218 (0.221),-0.066 (0.592),0.675 (0.092),0.376 (0.238),0.534 (0.148),-0.633 (0.853)
contextual,HT,distilbert-last-hidden-subword-avg,0.295 (0.152),-0.156 (0.707),0.706 (0.080),1.172 (0.008),-0.225 (0.668),0.774 (0.089)
contextual,HT,distilbert-2nd-last-layer-subword-first,0.170 (0.275),-0.030 (0.542),0.088 (0.433),0.189 (0.362),-0.073 (0.555),-0.919 (0.943)
contextual,HT,distilbert-2nd-last-layer-subword-avg,0.148 (0.302),0.075 (0.398),0.277 (0.299),0.844 (0.046),-0.296 (0.716),1.266 (0.011)
contextual,HT,distilbert-avg-all-hidden-subword-first,0.261 (0.185),0.047 (0.436),0.323 (0.268),0.546 (0.149),0.160 (0.385),-0.976 (0.950)
contextual,HT,distilbert-avg-all-hidden-subword-avg,0.433 (0.065),0.048 (0.436),0.239 (0.323),0.994 (0.022),-0.371 (0.767),1.549 (0.002)
static,ALL,fasttext,1.373 (0.000),1.045 (0.000),1.471 (0.000),0.574 (0.123),0.496 (0.158),1.053 (0.016)
static,ALL,distilbert-layer-0-subword-first,0.502 (0.036),0.148 (0.305),0.404 (0.215),1.085 (0.011),0.334 (0.257),-0.801 (0.942)
static,ALL,distilbert-layer-0-subword-avg,0.473 (0.047),-0.142 (0.692),-0.208 (0.608),1.038 (0.014),0.376 (0.224),1.712 (0.000)
static,GT,fasttext,1.404 (0.000),1.029 (0.000),1.792 (0.000),0.946 (0.028),0.254 (0.311),0.361 (0.281)
static,GT,distilbert-layer-0-subword-first,0.038 (0.449),0.111 (0.349),1.210 (0.005),0.749 (0.071),0.359 (0.249),-0.915 (0.960)
static,GT,distilbert-layer-0-subword-avg,-0.212 (0.761),0.399 (0.080),1.015 (0.020),0.862 (0.042),0.431 (0.195),1.258 (0.021)
static,HT,fasttext,1.373 (0.000),0.914 (0.000),1.328 (0.001),0.654 (0.098),0.243 (0.323),0.970 (0.053)
static,HT,distilbert-layer-0-subword-first,0.202 (0.248),0.076 (0.396),0.653 (0.100),0.524 (0.146),-0.025 (0.518),-0.750 (0.895)
static,HT,distilbert-layer-0-subword-avg,0.331 (0.127),0.212 (0.230),0.259 (0.308),0.839 (0.046),-0.430 (0.796),1.593 (0.002)
