Type,DataSource,Method,weat1,weat2,weat6,weat7,weat8,weat9
contextual,ALL,distilbert-CLS,0.785 (0.001),0.075 (0.375),-0.115 (0.590),0.192 (0.345),0.203 (0.342),0.777 (0.086)
contextual,ALL,distilbert-last-hidden-subword-first,0.332 (0.107),-0.460 (0.978),0.522 (0.150),0.303 (0.344),0.521 (0.145),0.101 (0.421)
contextual,ALL,distilbert-last-hidden-subword-avg,0.433 (0.052),-0.763 (1.000),0.137 (0.392),0.483 (0.183),0.147 (0.387),0.034 (0.475)
contextual,ALL,distilbert-2nd-last-layer-subword-first,0.312 (0.122),-0.489 (0.983),0.780 (0.057),0.411 (0.251),0.417 (0.236),-0.044 (0.524)
contextual,ALL,distilbert-2nd-last-layer-subword-avg,0.435 (0.051),-0.779 (1.000),0.231 (0.321),0.564 (0.126),0.069 (0.445),0.144 (0.395)
contextual,ALL,distilbert-avg-all-hidden-subword-first,0.399 (0.067),-0.479 (0.981),0.272 (0.296),0.386 (0.240),0.692 (0.088),-0.048 (0.529)
contextual,ALL,distilbert-avg-all-hidden-subword-avg,0.429 (0.054),-0.731 (0.999),-0.107 (0.586),0.539 (0.140),0.241 (0.340),0.235 (0.330)
contextual,GT,distilbert-CLS,0.451 (0.057),0.302 (0.146),-0.312 (0.733),0.600 (0.119),0.124 (0.414),0.623 (0.149)
contextual,GT,distilbert-last-hidden-subword-first,0.223 (0.219),-0.324 (0.873),0.187 (0.353),-0.298 (0.619),0.307 (0.294),-0.109 (0.576)
contextual,GT,distilbert-last-hidden-subword-avg,0.219 (0.222),-0.545 (0.973),-0.081 (0.565),-0.370 (0.671),0.146 (0.386),-0.035 (0.522)
contextual,GT,distilbert-2nd-last-layer-subword-first,0.176 (0.271),-0.338 (0.882),0.271 (0.293),-0.636 (0.909),0.185 (0.389),-0.263 (0.666)
contextual,GT,distilbert-2nd-last-layer-subword-avg,0.151 (0.300),-0.580 (0.980),-0.023 (0.518),-0.687 (0.935),0.047 (0.458),0.078 (0.450)
contextual,GT,distilbert-avg-all-hidden-subword-first,0.168 (0.279),-0.204 (0.763),0.109 (0.415),-0.481 (0.781),0.396 (0.290),-0.219 (0.627)
contextual,GT,distilbert-avg-all-hidden-subword-avg,0.126 (0.331),-0.528 (0.969),-0.292 (0.721),-0.511 (0.808),0.249 (0.320),0.145 (0.407)
contextual,HT,distilbert-CLS,0.401 (0.081),0.031 (0.457),-0.130 (0.603),0.600 (0.119),0.124 (0.414),0.623 (0.149)
contextual,HT,distilbert-last-hidden-subword-first,0.425 (0.067),-0.244 (0.805),0.320 (0.260),-0.298 (0.619),0.307 (0.294),-0.109 (0.576)
contextual,HT,distilbert-last-hidden-subword-avg,0.532 (0.029),-0.609 (0.985),0.095 (0.425),-0.370 (0.671),0.146 (0.386),-0.035 (0.522)
contextual,HT,distilbert-2nd-last-layer-subword-first,0.304 (0.143),-0.279 (0.836),0.445 (0.186),-0.636 (0.909),0.185 (0.389),-0.263 (0.666)
contextual,HT,distilbert-2nd-last-layer-subword-avg,0.435 (0.062),-0.634 (0.988),0.156 (0.378),-0.687 (0.935),0.047 (0.458),0.078 (0.450)
contextual,HT,distilbert-avg-all-hidden-subword-first,0.346 (0.113),-0.249 (0.808),0.214 (0.335),-0.481 (0.781),0.396 (0.290),-0.219 (0.627)
contextual,HT,distilbert-avg-all-hidden-subword-avg,0.389 (0.085),-0.615 (0.986),-0.065 (0.552),-0.511 (0.808),0.249 (0.320),0.145 (0.407)
static,ALL,fasttext,1.562 (0.000),1.076 (0.000),0.310 (0.268),-0.403 (0.794),-0.156 (0.620),-0.088 (0.545)
static,ALL,distilbert-layer-0-subword-first,0.530 (0.022),-0.277 (0.883),-0.314 (0.707),0.424 (0.182),0.601 (0.125),-0.047 (0.527)
static,ALL,distilbert-layer-0-subword-avg,0.430 (0.054),-0.693 (0.999),-0.442 (0.803),0.514 (0.151),0.292 (0.301),0.341 (0.264)
static,GT,fasttext,1.378 (0.000),0.761 (0.003),0.390 (0.225),-0.415 (0.743),-0.221 (0.645),0.138 (0.409)
static,GT,distilbert-layer-0-subword-first,0.257 (0.187),0.062 (0.415),-0.178 (0.637),-0.016 (0.514),0.473 (0.249),-0.197 (0.624)
static,GT,distilbert-layer-0-subword-avg,0.146 (0.305),-0.561 (0.976),-0.566 (0.873),0.125 (0.397),0.426 (0.237),0.223 (0.357)
static,HT,fasttext,1.609 (0.000),0.847 (0.001),0.416 (0.204),-0.415 (0.743),-0.221 (0.645),0.138 (0.409)
static,HT,distilbert-layer-0-subword-first,0.311 (0.139),-0.072 (0.599),-0.277 (0.705),-0.016 (0.514),0.473 (0.249),-0.197 (0.624)
static,HT,distilbert-layer-0-subword-avg,0.325 (0.126),-0.660 (0.990),-0.370 (0.771),0.125 (0.397),0.426 (0.237),0.223 (0.357)
