Type,DataSource,Method,weat1,weat2,weat6,weat7,weat8,weat9
contextual,ALL,indic-bert-CLS,-0.208 (0.796),0.036 (0.442),0.339 (0.262),-0.494 (0.920),0.189 (0.293),-0.185 (0.691)
contextual,ALL,indic-bert-last-hidden-subword-first,0.474 (0.028),-0.143 (0.722),1.008 (0.017),0.018 (0.479),-0.241 (0.758),-0.070 (0.575)
contextual,ALL,indic-bert-last-hidden-subword-avg,0.268 (0.143),-0.076 (0.626),0.011 (0.492),-0.217 (0.732),-0.421 (0.890),-0.293 (0.790)
contextual,ALL,indic-bert-2nd-last-layer-subword-first,0.188 (0.230),-0.206 (0.801),0.911 (0.033),0.193 (0.292),-0.214 (0.731),-0.018 (0.519)
contextual,ALL,indic-bert-2nd-last-layer-subword-avg,0.164 (0.258),-0.134 (0.712),-0.303 (0.719),-0.179 (0.695),-0.404 (0.881),-0.239 (0.744)
contextual,ALL,indic-bert-avg-all-hidden-subword-first,0.170 (0.251),-0.010 (0.518),0.741 (0.071),0.127 (0.361),-0.092 (0.603),-0.038 (0.541)
contextual,ALL,indic-bert-avg-all-hidden-subword-avg,0.139 (0.290),0.104 (0.335),-0.192 (0.642),-0.144 (0.659),-0.617 (0.967),-0.177 (0.686)
contextual,GT,indic-bert-CLS,-0.423 (0.933),-0.077 (0.603),0.347 (0.263),0.019 (0.484),-0.160 (0.620),-0.545 (0.786)
contextual,GT,indic-bert-last-hidden-subword-first,0.420 (0.071),-0.275 (0.832),-0.018 (0.514),0.687 (0.068),-0.116 (0.523),0.523 (0.192)
contextual,GT,indic-bert-last-hidden-subword-avg,0.182 (0.267),-0.307 (0.859),1.313 (0.003),0.702 (0.113),-0.495 (0.828),-0.002 (0.500)
contextual,GT,indic-bert-2nd-last-layer-subword-first,0.170 (0.280),-0.261 (0.819),-0.117 (0.586),0.776 (0.061),-0.024 (0.507),0.739 (0.114)
contextual,GT,indic-bert-2nd-last-layer-subword-avg,0.102 (0.366),-0.309 (0.860),1.475 (0.001),0.738 (0.077),-0.511 (0.841),0.219 (0.358)
contextual,GT,indic-bert-avg-all-hidden-subword-first,0.187 (0.262),-0.264 (0.821),0.367 (0.278),0.522 (0.168),-0.011 (0.505),0.709 (0.150)
contextual,GT,indic-bert-avg-all-hidden-subword-avg,0.256 (0.189),-0.317 (0.866),1.276 (0.001),0.667 (0.132),-0.687 (0.912),0.132 (0.415)
contextual,HT,indic-bert-CLS,-0.332 (0.878),-0.055 (0.574),0.305 (0.283),0.060 (0.445),-0.160 (0.620),-0.374 (0.686)
contextual,HT,indic-bert-last-hidden-subword-first,0.464 (0.052),-0.169 (0.720),1.220 (0.004),0.777 (0.044),-0.116 (0.523),0.620 (0.171)
contextual,HT,indic-bert-last-hidden-subword-avg,0.208 (0.238),-0.323 (0.870),0.552 (0.143),0.680 (0.128),-0.495 (0.828),0.328 (0.295)
contextual,HT,indic-bert-2nd-last-layer-subword-first,0.174 (0.274),-0.296 (0.848),1.314 (0.002),0.840 (0.051),-0.024 (0.507),0.858 (0.074)
contextual,HT,indic-bert-2nd-last-layer-subword-avg,0.109 (0.357),-0.289 (0.845),0.145 (0.394),0.733 (0.079),-0.511 (0.841),0.530 (0.185)
contextual,HT,indic-bert-avg-all-hidden-subword-first,0.065 (0.410),-0.350 (0.891),1.042 (0.016),0.547 (0.150),-0.011 (0.505),1.200 (0.001)
contextual,HT,indic-bert-avg-all-hidden-subword-avg,0.186 (0.260),-0.220 (0.778),0.166 (0.378),0.604 (0.154),-0.687 (0.912),0.546 (0.185)
static,ALL,fasttext,0.565 (0.010),1.337 (0.000),1.375 (0.002),0.223 (0.267),0.473 (0.081),-0.360 (0.835)
static,ALL,indic-bert-layer-0-subword-first,0.257 (0.153),0.060 (0.403),0.656 (0.099),-0.237 (0.747),-0.111 (0.625),0.093 (0.401)
static,ALL,indic-bert-layer-0-subword-avg,-0.082 (0.626),0.383 (0.055),0.342 (0.253),-0.609 (0.959),-0.090 (0.599),-0.018 (0.522)
static,GT,fasttext,0.679 (0.007),1.199 (0.000),1.450 (0.001),0.943 (0.028),0.825 (0.049),-0.684 (0.874)
static,GT,indic-bert-layer-0-subword-first,0.453 (0.054),-0.208 (0.767),0.698 (0.091),0.045 (0.464),0.101 (0.424),1.229 (0.004)
static,GT,indic-bert-layer-0-subword-avg,0.205 (0.238),-0.315 (0.864),0.676 (0.094),0.640 (0.104),-0.534 (0.851),0.459 (0.216)
static,HT,fasttext,0.708 (0.005),1.306 (0.000),1.423 (0.001),0.851 (0.045),0.825 (0.049),-0.601 (0.851)
static,HT,indic-bert-layer-0-subword-first,0.299 (0.147),-0.189 (0.746),0.571 (0.133),0.052 (0.469),0.101 (0.424),1.317 (0.000)
static,HT,indic-bert-layer-0-subword-avg,0.064 (0.414),-0.043 (0.559),0.359 (0.244),0.475 (0.177),-0.534 (0.851),0.712 (0.115)
