Type,DataSource,Method,weat1,weat2,weat6,weat7,weat8,weat9
contextual,ALL,indic-bert-CLS,-0.346 (0.918),-0.269 (0.832),0.055 (0.462),-0.598 (0.854),0.259 (0.299),-0.799 (0.941)
contextual,ALL,indic-bert-last-hidden-subword-first,-0.078 (0.625),-0.256 (0.824),0.225 (0.331),0.143 (0.386),-0.696 (0.940),-0.146 (0.605)
contextual,ALL,indic-bert-last-hidden-subword-avg,-0.395 (0.944),-0.293 (0.855),0.585 (0.132),0.343 (0.251),-0.845 (0.975),1.188 (0.003)
contextual,ALL,indic-bert-2nd-last-layer-subword-first,-0.071 (0.613),-0.215 (0.782),0.156 (0.385),-0.061 (0.549),-0.742 (0.953),-0.279 (0.703)
contextual,ALL,indic-bert-2nd-last-layer-subword-avg,-0.396 (0.944),-0.290 (0.852),0.520 (0.160),0.363 (0.236),-0.867 (0.977),1.046 (0.014)
contextual,ALL,indic-bert-avg-all-hidden-subword-first,-0.250 (0.842),-0.147 (0.700),0.287 (0.287),-0.524 (0.848),-1.007 (0.992),-0.098 (0.582)
contextual,ALL,indic-bert-avg-all-hidden-subword-avg,-0.245 (0.836),-0.228 (0.794),0.561 (0.137),-0.124 (0.598),-1.022 (0.993),1.184 (0.002)
contextual,GT,indic-bert-CLS,0.417 (0.071),0.054 (0.424),0.681 (0.092),-0.488 (0.778),-0.290 (0.714),0.164 (0.405)
contextual,GT,indic-bert-last-hidden-subword-first,0.292 (0.154),-0.088 (0.618),0.633 (0.108),-0.124 (0.596),-1.103 (0.988),-0.834 (0.923)
contextual,GT,indic-bert-last-hidden-subword-avg,0.208 (0.234),-0.166 (0.715),0.688 (0.092),-0.107 (0.572),-1.242 (0.998),0.245 (0.360)
contextual,GT,indic-bert-2nd-last-layer-subword-first,0.385 (0.090),-0.075 (0.602),0.620 (0.121),-0.304 (0.722),-0.995 (0.979),-0.793 (0.908)
contextual,GT,indic-bert-2nd-last-layer-subword-avg,0.316 (0.133),-0.121 (0.661),0.633 (0.110),-0.100 (0.570),-1.118 (0.990),-0.081 (0.549)
contextual,GT,indic-bert-avg-all-hidden-subword-first,0.134 (0.322),-0.119 (0.658),0.404 (0.274),-0.750 (0.930),-1.328 (0.997),-0.529 (0.793)
contextual,GT,indic-bert-avg-all-hidden-subword-avg,0.203 (0.239),-0.075 (0.599),0.571 (0.137),-0.575 (0.868),-1.421 (1.000),0.444 (0.238)
contextual,HT,indic-bert-CLS,0.183 (0.261),0.023 (0.468),0.055 (0.462),-0.586 (0.865),0.005 (0.497),-0.443 (0.763)
contextual,HT,indic-bert-last-hidden-subword-first,0.107 (0.356),-0.186 (0.742),0.225 (0.331),0.004 (0.497),-0.992 (0.978),-0.780 (0.899)
contextual,HT,indic-bert-last-hidden-subword-avg,0.025 (0.465),-0.317 (0.865),0.585 (0.132),0.154 (0.392),-1.027 (0.984),0.864 (0.071)
contextual,HT,indic-bert-2nd-last-layer-subword-first,0.163 (0.288),-0.155 (0.705),0.156 (0.385),-0.178 (0.634),-0.868 (0.958),-0.748 (0.896)
contextual,HT,indic-bert-2nd-last-layer-subword-avg,0.056 (0.422),-0.292 (0.845),0.520 (0.160),0.110 (0.420),-0.863 (0.958),0.752 (0.113)
contextual,HT,indic-bert-avg-all-hidden-subword-first,-0.122 (0.656),-0.123 (0.665),0.287 (0.287),-0.683 (0.910),-1.225 (0.995),-0.404 (0.719)
contextual,HT,indic-bert-avg-all-hidden-subword-avg,0.059 (0.419),-0.213 (0.769),0.561 (0.137),-0.432 (0.797),-1.328 (0.999),0.874 (0.065)
static,ALL,fasttext,1.191 (0.000),1.138 (0.000),0.682 (0.094),0.708 (0.075),0.160 (0.361),-0.739 (0.923)
static,ALL,indic-bert-layer-0-subword-first,-0.333 (0.909),-0.083 (0.615),0.216 (0.336),-0.798 (0.949),-1.035 (0.997),0.473 (0.184)
static,ALL,indic-bert-layer-0-subword-avg,-0.167 (0.747),-0.027 (0.541),0.257 (0.330),-0.169 (0.626),-1.006 (0.995),1.101 (0.004)
static,GT,fasttext,0.858 (0.001),1.064 (0.000),0.756 (0.067),0.639 (0.102),-0.089 (0.569),-1.286 (0.995)
static,GT,indic-bert-layer-0-subword-first,0.130 (0.323),-0.039 (0.553),0.129 (0.407),-0.795 (0.942),-1.188 (0.995),0.955 (0.051)
static,GT,indic-bert-layer-0-subword-avg,0.095 (0.369),0.173 (0.271),0.316 (0.271),-0.248 (0.679),-0.993 (0.992),0.368 (0.275)
static,HT,fasttext,0.934 (0.000),1.047 (0.000),0.682 (0.094),0.936 (0.030),-0.069 (0.552),-1.353 (0.996)
static,HT,indic-bert-layer-0-subword-first,-0.296 (0.849),-0.050 (0.570),0.216 (0.336),-0.826 (0.953),-1.157 (0.994),1.050 (0.036)
static,HT,indic-bert-layer-0-subword-avg,0.027 (0.460),-0.011 (0.513),0.257 (0.330),-0.232 (0.671),-0.826 (0.967),0.747 (0.106)
