Type,DataSource,Method,weat1,weat2,weat6,weat7,weat8,weat9
contextual,ALL,mono-bert-CLS,-0.609 (0.993),-0.310 (0.884),0.033 (0.477),-0.349 (0.802),-0.166 (0.657),0.291 (0.193)
contextual,ALL,mono-bert-last-hidden-subword-first,-0.646 (0.997),-0.424 (0.951),0.009 (0.487),0.249 (0.272),0.520 (0.109),0.228 (0.358)
contextual,ALL,mono-bert-last-hidden-subword-avg,-0.646 (0.997),-0.424 (0.951),0.009 (0.487),0.249 (0.272),0.520 (0.109),0.228 (0.358)
contextual,ALL,mono-bert-2nd-last-layer-subword-first,-0.641 (0.997),-0.408 (0.943),-0.010 (0.507),0.295 (0.235),0.535 (0.101),0.225 (0.380)
contextual,ALL,mono-bert-2nd-last-layer-subword-avg,-0.641 (0.997),-0.408 (0.943),-0.010 (0.507),0.295 (0.235),0.535 (0.101),0.225 (0.380)
contextual,ALL,mono-bert-avg-all-hidden-subword-first,-0.629 (0.996),-0.330 (0.902),-0.217 (0.666),-0.153 (0.643),0.323 (0.223),0.222 (0.380)
contextual,ALL,mono-bert-avg-all-hidden-subword-avg,-0.629 (0.996),-0.330 (0.902),-0.217 (0.666),-0.153 (0.643),0.323 (0.223),0.222 (0.380)
contextual,GT,mono-bert-CLS,-0.474 (0.953),-0.053 (0.573),-0.637 (0.862),-0.508 (0.833),-0.068 (0.560),0.439 (0.198)
contextual,GT,mono-bert-last-hidden-subword-first,-0.711 (0.996),-0.413 (0.925),-0.516 (0.850),0.144 (0.390),0.335 (0.238),0.377 (0.331)
contextual,GT,mono-bert-last-hidden-subword-avg,-0.711 (0.996),-0.413 (0.925),-0.516 (0.850),0.144 (0.390),0.335 (0.238),0.377 (0.331)
contextual,GT,mono-bert-2nd-last-layer-subword-first,-0.722 (0.997),-0.344 (0.881),-0.558 (0.845),0.165 (0.376),0.384 (0.208),0.388 (0.331)
contextual,GT,mono-bert-2nd-last-layer-subword-avg,-0.722 (0.997),-0.344 (0.881),-0.558 (0.845),0.165 (0.376),0.384 (0.208),0.388 (0.331)
contextual,GT,mono-bert-avg-all-hidden-subword-first,-0.765 (0.997),-0.248 (0.806),-0.457 (0.810),0.050 (0.463),0.223 (0.318),0.398 (0.267)
contextual,GT,mono-bert-avg-all-hidden-subword-avg,-0.765 (0.997),-0.248 (0.806),-0.457 (0.810),0.050 (0.463),0.223 (0.318),0.398 (0.267)
contextual,HT,mono-bert-CLS,-0.662 (0.990),-0.232 (0.792),0.324 (0.266),-0.479 (0.820),0.072 (0.441),0.439 (0.198)
contextual,HT,mono-bert-last-hidden-subword-first,-0.717 (0.997),-0.288 (0.844),-0.006 (0.504),0.333 (0.259),0.552 (0.124),0.377 (0.331)
contextual,HT,mono-bert-last-hidden-subword-avg,-0.717 (0.997),-0.288 (0.844),-0.006 (0.504),0.333 (0.259),0.552 (0.124),0.377 (0.331)
contextual,HT,mono-bert-2nd-last-layer-subword-first,-0.713 (0.997),-0.273 (0.832),0.024 (0.480),0.396 (0.221),0.694 (0.074),0.388 (0.331)
contextual,HT,mono-bert-2nd-last-layer-subword-avg,-0.713 (0.997),-0.273 (0.832),0.024 (0.480),0.396 (0.221),0.694 (0.074),0.388 (0.331)
contextual,HT,mono-bert-avg-all-hidden-subword-first,-0.695 (0.996),-0.207 (0.775),-0.006 (0.505),-0.089 (0.568),0.464 (0.163),0.398 (0.267)
contextual,HT,mono-bert-avg-all-hidden-subword-avg,-0.695 (0.996),-0.207 (0.775),-0.006 (0.505),-0.089 (0.568),0.464 (0.163),0.398 (0.267)
static,ALL,fasttext,0.948 (0.000),1.006 (0.000),-0.191 (0.639),-0.303 (0.768),-0.955 (0.992),1.081 (0.009)
static,ALL,mono-bert-layer-0-subword-first,-0.618 (0.995),-0.247 (0.808),-0.400 (0.783),-0.119 (0.613),0.202 (0.318),0.217 (0.426)
static,ALL,mono-bert-layer-0-subword-avg,-0.618 (0.995),-0.247 (0.808),-0.400 (0.783),-0.119 (0.613),0.202 (0.318),0.217 (0.426)
static,GT,fasttext,0.595 (0.017),0.943 (0.000),-0.409 (0.784),0.299 (0.283),-0.213 (0.677),1.032 (0.021)
static,GT,mono-bert-layer-0-subword-first,-0.666 (0.992),0.091 (0.377),-0.119 (0.599),0.014 (0.494),0.285 (0.278),0.415 (0.203)
static,GT,mono-bert-layer-0-subword-avg,-0.666 (0.992),0.091 (0.377),-0.119 (0.599),0.014 (0.494),0.285 (0.278),0.415 (0.203)
static,HT,fasttext,0.840 (0.001),0.994 (0.000),-0.054 (0.540),-0.506 (0.835),-0.858 (0.969),0.973 (0.028)
static,HT,mono-bert-layer-0-subword-first,-0.681 (0.993),-0.148 (0.686),-0.053 (0.540),-0.536 (0.853),0.233 (0.315),0.415 (0.203)
static,HT,mono-bert-layer-0-subword-avg,-0.681 (0.993),-0.148 (0.686),-0.053 (0.540),-0.536 (0.853),0.233 (0.315),0.415 (0.203)
