Type,DataSource,Method,weat1,weat2,weat6,weat7,weat8,weat9
contextual,ALL,mono-bert-CLS,1.375 (0.000),1.331 (0.000),0.844 (0.045),-0.110 (0.606),-0.445 (0.875),0.556 (0.098)
contextual,ALL,mono-bert-last-hidden-subword-first,0.457 (0.039),0.123 (0.319),0.186 (0.361),0.474 (0.113),0.284 (0.232),0.862 (0.021)
contextual,ALL,mono-bert-last-hidden-subword-avg,0.195 (0.230),0.113 (0.332),0.275 (0.293),-0.558 (0.925),-0.018 (0.521),1.337 (0.000)
contextual,ALL,mono-bert-2nd-last-layer-subword-first,0.228 (0.190),0.458 (0.038),0.308 (0.277),0.024 (0.476),-0.027 (0.528),0.847 (0.021)
contextual,ALL,mono-bert-2nd-last-layer-subword-avg,0.225 (0.197),0.001 (0.498),0.193 (0.285),-0.785 (0.976),-0.270 (0.751),1.288 (0.001)
contextual,ALL,mono-bert-avg-all-hidden-subword-first,0.900 (0.000),0.686 (0.003),0.302 (0.279),0.533 (0.085),0.233 (0.276),1.266 (0.001)
contextual,ALL,mono-bert-avg-all-hidden-subword-avg,0.692 (0.003),0.533 (0.018),0.226 (0.317),-0.662 (0.958),0.028 (0.472),1.326 (0.000)
contextual,GT,mono-bert-CLS,1.287 (0.000),0.938 (0.000),1.023 (0.019),0.527 (0.153),-1.324 (0.999),0.417 (0.246)
contextual,GT,mono-bert-last-hidden-subword-first,0.474 (0.047),0.038 (0.448),0.772 (0.063),0.337 (0.260),0.164 (0.377),0.930 (0.057)
contextual,GT,mono-bert-last-hidden-subword-avg,0.189 (0.257),0.242 (0.199),0.993 (0.020),-0.259 (0.690),0.548 (0.147),1.291 (0.014)
contextual,GT,mono-bert-2nd-last-layer-subword-first,0.268 (0.174),0.289 (0.157),1.175 (0.006),0.365 (0.252),0.333 (0.267),1.177 (0.010)
contextual,GT,mono-bert-2nd-last-layer-subword-avg,0.036 (0.450),0.046 (0.439),1.117 (0.011),-0.390 (0.789),0.552 (0.176),1.353 (0.010)
contextual,GT,mono-bert-avg-all-hidden-subword-first,0.875 (0.001),0.617 (0.014),0.687 (0.087),0.410 (0.216),0.193 (0.353),1.169 (0.017)
contextual,GT,mono-bert-avg-all-hidden-subword-avg,0.695 (0.006),0.776 (0.002),0.917 (0.036),-0.182 (0.636),0.852 (0.035),1.306 (0.013)
contextual,HT,mono-bert-CLS,1.280 (0.000),1.119 (0.000),1.089 (0.013),0.193 (0.355),-1.324 (0.999),0.428 (0.236)
contextual,HT,mono-bert-last-hidden-subword-first,0.519 (0.033),0.091 (0.377),0.772 (0.063),0.141 (0.392),0.164 (0.377),1.077 (0.035)
contextual,HT,mono-bert-last-hidden-subword-avg,0.368 (0.098),-0.171 (0.726),0.948 (0.027),-0.606 (0.881),0.548 (0.147),1.334 (0.011)
contextual,HT,mono-bert-2nd-last-layer-subword-first,0.296 (0.150),0.354 (0.108),1.175 (0.006),0.043 (0.466),0.333 (0.267),1.282 (0.005)
contextual,HT,mono-bert-2nd-last-layer-subword-avg,0.275 (0.170),-0.232 (0.793),0.896 (0.036),-0.654 (0.928),0.552 (0.176),1.344 (0.012)
contextual,HT,mono-bert-avg-all-hidden-subword-first,0.910 (0.000),0.610 (0.015),0.687 (0.087),0.125 (0.407),0.193 (0.353),1.302 (0.010)
contextual,HT,mono-bert-avg-all-hidden-subword-avg,0.621 (0.013),-0.008 (0.513),0.969 (0.025),-0.602 (0.880),0.852 (0.035),1.323 (0.013)
static,ALL,fasttext,1.569 (0.000),1.481 (0.000),1.367 (0.002),-0.030 (0.531),-0.280 (0.763),1.002 (0.007)
static,ALL,mono-bert-layer-0-subword-first,0.763 (0.001),0.477 (0.032),0.749 (0.070),0.298 (0.224),-0.310 (0.787),0.901 (0.016)
static,ALL,mono-bert-layer-0-subword-avg,0.691 (0.002),0.523 (0.020),0.366 (0.245),-0.597 (0.939),-0.149 (0.652),1.267 (0.001)
static,GT,fasttext,1.550 (0.000),1.290 (0.000),1.690 (0.000),0.434 (0.198),-0.111 (0.583),0.785 (0.111)
static,GT,mono-bert-layer-0-subword-first,0.690 (0.007),0.410 (0.075),0.835 (0.048),-0.125 (0.592),-0.673 (0.906),0.613 (0.156)
static,GT,mono-bert-layer-0-subword-avg,0.701 (0.005),0.707 (0.006),1.019 (0.020),-0.329 (0.735),0.726 (0.094),1.151 (0.030)
static,HT,fasttext,1.599 (0.000),1.508 (0.000),1.722 (0.000),0.639 (0.110),-0.111 (0.583),1.170 (0.010)
static,HT,mono-bert-layer-0-subword-first,0.721 (0.005),0.336 (0.120),0.835 (0.048),-0.619 (0.884),-0.673 (0.906),0.866 (0.073)
static,HT,mono-bert-layer-0-subword-avg,0.628 (0.012),0.074 (0.398),1.051 (0.016),-0.729 (0.927),0.726 (0.094),1.249 (0.024)
