Type,DataSource,Method,weat1,weat2,weat6,weat7,weat8,weat9
contextual,ALL,xlmr-CLS,-0.436 (0.937),0.413 (0.074),0.596 (0.120),1.021 (0.017),0.891 (0.033),0.766 (0.104)
contextual,ALL,xlmr-last-hidden-subword-first,-0.220 (0.742),-0.259 (0.814),-0.770 (0.952),0.389 (0.211),-0.010 (0.508),0.632 (0.166)
contextual,ALL,xlmr-last-hidden-subword-avg,-0.392 (0.916),-0.096 (0.630),-0.598 (0.805),0.271 (0.294),-0.531 (0.857),0.512 (0.207)
contextual,ALL,xlmr-2nd-last-layer-subword-first,-0.230 (0.758),-0.268 (0.841),-0.754 (0.921),0.580 (0.125),0.709 (0.076),0.550 (0.268)
contextual,ALL,xlmr-2nd-last-layer-subword-avg,-0.361 (0.899),-0.114 (0.651),-0.592 (0.819),0.502 (0.152),0.411 (0.207),0.332 (0.391)
contextual,ALL,xlmr-avg-all-hidden-subword-first,-0.227 (0.724),-0.266 (0.850),-0.699 (0.810),0.555 (0.129),0.743 (0.065),0.674 (0.077)
contextual,ALL,xlmr-avg-all-hidden-subword-avg,-0.457 (0.947),-0.166 (0.715),-0.187 (0.632),-0.215 (0.664),-0.524 (0.855),0.898 (0.061)
contextual,GT,xlmr-CLS,-0.120 (0.661),-0.099 (0.624),0.143 (0.393),1.086 (0.012),0.935 (0.027),0.964 (0.051)
contextual,GT,xlmr-last-hidden-subword-first,-0.086 (0.619),-0.456 (0.946),-0.066 (0.614),-0.530 (0.817),0.688 (0.087),0.683 (0.105)
contextual,GT,xlmr-last-hidden-subword-avg,-0.245 (0.806),-0.131 (0.674),-0.053 (0.532),-0.374 (0.766),-0.195 (0.646),0.546 (0.182)
contextual,GT,xlmr-2nd-last-layer-subword-first,0.048 (0.437),-0.474 (0.955),0.013 (0.470),0.508 (0.154),1.102 (0.014),0.640 (0.175)
contextual,GT,xlmr-2nd-last-layer-subword-avg,-0.284 (0.840),-0.034 (0.544),-0.064 (0.546),0.198 (0.352),0.436 (0.194),0.390 (0.251)
contextual,GT,xlmr-avg-all-hidden-subword-first,0.053 (0.427),-0.458 (0.947),0.060 (0.373),0.495 (0.164),1.070 (0.015),0.667 (0.087)
contextual,GT,xlmr-avg-all-hidden-subword-avg,-0.299 (0.853),-0.151 (0.694),0.061 (0.456),0.011 (0.491),-0.571 (0.868),0.584 (0.171)
contextual,HT,xlmr-CLS,-0.537 (0.972),0.360 (0.103),0.596 (0.120),0.460 (0.186),1.205 (0.003),0.766 (0.104)
contextual,HT,xlmr-last-hidden-subword-first,-0.300 (0.851),-0.347 (0.889),-0.770 (0.952),-0.489 (0.787),0.351 (0.247),0.632 (0.166)
contextual,HT,xlmr-last-hidden-subword-avg,-0.276 (0.833),-0.084 (0.616),-0.598 (0.805),-0.230 (0.673),-0.308 (0.723),0.512 (0.207)
contextual,HT,xlmr-2nd-last-layer-subword-first,-0.209 (0.765),-0.327 (0.875),-0.754 (0.921),0.547 (0.147),0.851 (0.044),0.550 (0.268)
contextual,HT,xlmr-2nd-last-layer-subword-avg,-0.308 (0.863),-0.193 (0.743),-0.592 (0.819),0.762 (0.063),0.377 (0.232),0.332 (0.391)
contextual,HT,xlmr-avg-all-hidden-subword-first,-0.166 (0.719),-0.339 (0.884),-0.699 (0.810),0.510 (0.156),0.870 (0.040),0.674 (0.077)
contextual,HT,xlmr-avg-all-hidden-subword-avg,-0.425 (0.934),-0.265 (0.820),-0.187 (0.632),0.039 (0.471),-0.728 (0.925),0.898 (0.061)
static,ALL,fasttext,1.469 (0.000),1.476 (0.000),0.948 (0.025),0.923 (0.025),0.398 (0.218),-0.455 (0.776)
static,ALL,xlmr-layer-0-subword-first,-0.066 (0.598),-0.284 (0.841),-0.699 (0.857),0.137 (0.398),-0.528 (0.857),1.010 (0.012)
static,ALL,xlmr-layer-0-subword-avg,-0.403 (0.923),-0.007 (0.512),-0.653 (0.900),-0.801 (0.950),-0.716 (0.929),0.713 (0.105)
static,GT,fasttext,1.463 (0.000),1.458 (0.000),0.584 (0.130),0.599 (0.126),0.499 (0.176),1.138 (0.022)
static,GT,xlmr-layer-0-subword-first,0.571 (0.020),-0.239 (0.795),0.047 (0.459),0.249 (0.314),-0.622 (0.888),0.705 (0.087)
static,GT,xlmr-layer-0-subword-avg,-0.133 (0.679),0.006 (0.492),0.277 (0.295),-0.293 (0.717),-0.881 (0.962),1.452 (0.001)
static,HT,fasttext,1.419 (0.000),1.420 (0.000),0.948 (0.025),0.847 (0.045),0.500 (0.171),-0.455 (0.776)
static,HT,xlmr-layer-0-subword-first,0.349 (0.109),-0.332 (0.876),-0.699 (0.857),0.085 (0.432),-0.589 (0.875),1.010 (0.012)
static,HT,xlmr-layer-0-subword-avg,-0.331 (0.878),-0.086 (0.620),-0.653 (0.900),-0.683 (0.913),-0.877 (0.962),0.713 (0.105)
