Type,DataSource,Method,weat1,weat2,weat6,weat7,weat8,weat9
contextual,ALL,xlmr-CLS,-0.126 (0.658),-0.128 (0.535),-0.458 (0.573),-0.214 (0.725),0.354 (0.150),-0.287 (0.778)
contextual,ALL,xlmr-last-hidden-subword-first,0.113 (0.325),0.315 (0.096),0.328 (0.257),-0.064 (0.573),-0.310 (0.816),-0.280 (0.783)
contextual,ALL,xlmr-last-hidden-subword-avg,0.329 (0.096),0.364 (0.066),0.226 (0.331),-0.169 (0.673),0.052 (0.442),-0.327 (0.817)
contextual,ALL,xlmr-2nd-last-layer-subword-first,-0.034 (0.555),0.370 (0.062),0.281 (0.292),-0.016 (0.517),-0.465 (0.909),-0.596 (0.954)
contextual,ALL,xlmr-2nd-last-layer-subword-avg,0.425 (0.045),0.293 (0.112),0.116 (0.411),0.085 (0.407),0.040 (0.457),-0.689 (0.975)
contextual,ALL,xlmr-avg-all-hidden-subword-first,-0.031 (0.551),0.334 (0.084),0.168 (0.373),-0.024 (0.529),-0.330 (0.813),-0.447 (0.893)
contextual,ALL,xlmr-avg-all-hidden-subword-avg,0.175 (0.250),0.359 (0.069),-0.052 (0.539),-0.117 (0.626),0.287 (0.203),-0.015 (0.517)
contextual,GT,xlmr-CLS,-0.064 (0.574),-0.151 (0.538),-0.144 (0.606),0.434 (0.198),0.856 (0.044),-0.937 (0.942)
contextual,GT,xlmr-last-hidden-subword-first,-0.193 (0.742),0.008 (0.490),-0.266 (0.704),0.302 (0.278),0.104 (0.421),0.008 (0.498)
contextual,GT,xlmr-last-hidden-subword-avg,-0.020 (0.526),-0.254 (0.812),-0.288 (0.713),0.234 (0.328),0.243 (0.319),-0.641 (0.860)
contextual,GT,xlmr-2nd-last-layer-subword-first,-0.047 (0.622),0.057 (0.465),-0.200 (0.690),0.514 (0.160),-0.204 (0.629),0.191 (0.488)
contextual,GT,xlmr-2nd-last-layer-subword-avg,0.274 (0.168),-0.079 (0.605),-0.117 (0.588),0.697 (0.089),0.114 (0.413),-1.064 (0.965)
contextual,GT,xlmr-avg-all-hidden-subword-first,-0.029 (0.604),0.097 (0.463),-0.301 (0.712),0.617 (0.120),0.456 (0.192),0.305 (0.492)
contextual,GT,xlmr-avg-all-hidden-subword-avg,0.182 (0.266),0.068 (0.407),-0.860 (0.948),0.476 (0.187),0.575 (0.141),-0.023 (0.513)
contextual,HT,xlmr-CLS,-0.171 (0.698),-0.167 (0.563),0.680 (0.094),0.435 (0.198),0.856 (0.044),-0.929 (0.931)
contextual,HT,xlmr-last-hidden-subword-first,-0.284 (0.836),0.242 (0.199),-0.044 (0.529),0.350 (0.243),0.104 (0.421),0.060 (0.489)
contextual,HT,xlmr-last-hidden-subword-avg,0.215 (0.226),0.480 (0.045),-0.224 (0.667),0.156 (0.382),0.243 (0.319),-0.538 (0.825)
contextual,HT,xlmr-2nd-last-layer-subword-first,-0.159 (0.744),0.263 (0.178),0.097 (0.449),0.523 (0.153),-0.204 (0.629),0.198 (0.488)
contextual,HT,xlmr-2nd-last-layer-subword-avg,0.195 (0.249),0.372 (0.096),0.006 (0.496),0.630 (0.113),0.114 (0.413),-0.937 (0.946)
contextual,HT,xlmr-avg-all-hidden-subword-first,-0.151 (0.737),0.294 (0.161),0.300 (0.362),0.568 (0.137),0.456 (0.192),0.309 (0.492)
contextual,HT,xlmr-avg-all-hidden-subword-avg,0.146 (0.313),0.275 (0.171),0.096 (0.437),0.369 (0.244),0.575 (0.141),0.734 (0.113)
static,ALL,fasttext,0.565 (0.010),1.337 (0.000),1.375 (0.002),0.223 (0.267),0.473 (0.081),-0.360 (0.835)
static,ALL,xlmr-layer-0-subword-first,0.216 (0.198),0.114 (0.321),0.359 (0.243),-0.271 (0.776),-0.234 (0.751),0.369 (0.157)
static,ALL,xlmr-layer-0-subword-avg,0.014 (0.479),0.469 (0.025),0.285 (0.292),-0.246 (0.755),0.492 (0.073),0.250 (0.246)
static,GT,fasttext,0.679 (0.007),1.199 (0.000),1.450 (0.001),0.943 (0.028),0.825 (0.049),-0.684 (0.874)
static,GT,xlmr-layer-0-subword-first,0.180 (0.265),-0.089 (0.623),0.658 (0.097),0.339 (0.279),-0.049 (0.535),1.043 (0.038)
static,GT,xlmr-layer-0-subword-avg,-0.123 (0.664),0.212 (0.228),-0.317 (0.730),-0.181 (0.637),0.414 (0.214),0.743 (0.106)
static,HT,fasttext,0.708 (0.005),1.306 (0.000),1.423 (0.001),0.851 (0.045),0.825 (0.049),-0.601 (0.851)
static,HT,xlmr-layer-0-subword-first,0.091 (0.376),0.255 (0.185),0.633 (0.111),0.389 (0.244),-0.049 (0.535),0.848 (0.084)
static,HT,xlmr-layer-0-subword-avg,-0.130 (0.672),0.495 (0.040),0.731 (0.075),-0.146 (0.611),0.414 (0.214),0.644 (0.144)
