Type,DataSource,Method,weat11,weat12,weat13,weat14,weat15
contextual,NEW_HT,distilbert-CLS,0.177 (0.351),-0.480 (0.849),0.556 (0.109),-0.311 (0.750),-0.232 (0.689)
contextual,NEW_HT,distilbert-last-hidden-subword-first,-0.241 (0.701),0.105 (0.411),0.599 (0.094),-0.861 (0.974),-0.302 (0.745)
contextual,NEW_HT,distilbert-last-hidden-subword-avg,-0.922 (0.983),0.112 (0.424),0.602 (0.090),0.203 (0.330),-0.093 (0.577)
contextual,NEW_HT,distilbert-2nd-last-layer-subword-first,0.254 (0.305),0.401 (0.189),0.421 (0.178),-0.976 (0.988),-0.023 (0.521)
contextual,NEW_HT,distilbert-2nd-last-layer-subword-avg,-0.717 (0.945),0.321 (0.249),0.567 (0.106),0.181 (0.348),0.070 (0.437)
contextual,NEW_HT,distilbert-avg-all-hidden-subword-first,0.470 (0.166),0.761 (0.044),0.044 (0.467),-0.802 (0.964),0.573 (0.109)
contextual,NEW_HT,distilbert-avg-all-hidden-subword-avg,-0.583 (0.897),0.494 (0.150),0.525 (0.126),0.214 (0.322),0.210 (0.321)
static,NEW_HT,fasttext,0.130 (0.393),-0.126 (0.607),0.593 (0.095),1.497 (0.000),1.029 (0.009)
static,NEW_HT,distilbert-layer-0-subword-first,0.731 (0.054),0.856 (0.025),-0.197 (0.663),-0.547 (0.886),0.924 (0.010)
static,NEW_HT,distilbert-layer-0-subword-avg,-0.494 (0.851),0.493 (0.150),0.550 (0.115),0.301 (0.256),0.573 (0.105)
