Type,DataSource,Method,weat11,weat12,weat13,weat14,weat15
contextual,NEW_HT,distilbert-CLS,1.213 (0.001),0.881 (0.021),0.360 (0.214),0.854 (0.026),0.202 (0.329)
contextual,NEW_HT,distilbert-last-hidden-subword-first,1.140 (0.002),1.219 (0.002),0.237 (0.296),0.143 (0.378),-0.593 (0.903)
contextual,NEW_HT,distilbert-last-hidden-subword-avg,1.338 (0.000),1.335 (0.001),-0.387 (0.806),0.783 (0.042),0.322 (0.242)
contextual,NEW_HT,distilbert-2nd-last-layer-subword-first,1.124 (0.003),1.228 (0.001),0.496 (0.129),0.327 (0.242),-0.830 (0.970)
contextual,NEW_HT,distilbert-2nd-last-layer-subword-avg,1.380 (0.000),1.324 (0.001),-0.464 (0.849),0.790 (0.043),0.025 (0.478)
contextual,NEW_HT,distilbert-avg-all-hidden-subword-first,0.701 (0.048),0.993 (0.008),1.261 (0.001),0.407 (0.190),-0.182 (0.654)
contextual,NEW_HT,distilbert-avg-all-hidden-subword-avg,1.383 (0.000),1.339 (0.001),-0.403 (0.815),0.893 (0.021),0.472 (0.154)
static,NEW_HT,fasttext,0.235 (0.289),0.726 (0.048),0.394 (0.190),0.994 (0.011),0.089 (0.422)
static,NEW_HT,distilbert-layer-0-subword-first,0.311 (0.240),0.294 (0.256),1.205 (0.001),0.970 (0.012),0.052 (0.456)
static,NEW_HT,distilbert-layer-0-subword-avg,1.355 (0.000),1.311 (0.001),-0.242 (0.705),1.294 (0.000),0.362 (0.224)
