Type,DataSource,Method,weat11,weat12,weat13,weat14,weat15
contextual,NEW_HT,xlmr-CLS,-0.628 (0.917),-0.308 (0.748),-0.215 (0.680),-0.435 (0.815),0.482 (0.120)
contextual,NEW_HT,xlmr-last-hidden-subword-first,-0.755 (0.954),-1.066 (0.993),0.385 (0.203),-0.529 (0.879),0.007 (0.496)
contextual,NEW_HT,xlmr-last-hidden-subword-avg,0.058 (0.453),0.127 (0.391),0.425 (0.177),-0.207 (0.674),0.269 (0.280)
contextual,NEW_HT,xlmr-2nd-last-layer-subword-first,-0.718 (0.943),-1.142 (0.996),0.682 (0.073),-1.028 (0.991),-0.025 (0.524)
contextual,NEW_HT,xlmr-2nd-last-layer-subword-avg,-0.312 (0.751),0.336 (0.233),0.647 (0.078),-0.524 (0.872),0.072 (0.439)
contextual,NEW_HT,xlmr-avg-all-hidden-subword-first,-0.700 (0.939),-0.474 (0.849),0.788 (0.032),-0.369 (0.785),0.145 (0.375)
contextual,NEW_HT,xlmr-avg-all-hidden-subword-avg,0.346 (0.227),0.326 (0.239),0.391 (0.202),-0.482 (0.854),0.274 (0.277)
static,NEW_HT,fasttext,-0.960 (0.985),-1.200 (0.998),1.162 (0.003),1.197 (0.003),1.058 (0.007)
static,NEW_HT,xlmr-layer-0-subword-first,0.425 (0.175),-0.324 (0.761),-0.154 (0.631),0.611 (0.089),0.302 (0.254)
static,NEW_HT,xlmr-layer-0-subword-avg,0.212 (0.324),-0.355 (0.780),-0.011 (0.510),-0.012 (0.510),0.406 (0.189)
