Type,DataSource,Method,weat11,weat12,weat13,weat14,weat15
contextual,NEW_HT,xlmr-CLS,-0.364 (0.782),-0.395 (0.807),-0.236 (0.697),-0.899 (0.983),0.494 (0.122)
contextual,NEW_HT,xlmr-last-hidden-subword-first,0.422 (0.176),0.031 (0.473),-0.402 (0.808),0.381 (0.204),0.679 (0.094)
contextual,NEW_HT,xlmr-last-hidden-subword-avg,0.286 (0.265),-1.047 (0.993),-0.383 (0.795),-0.599 (0.913),0.660 (0.082)
contextual,NEW_HT,xlmr-2nd-last-layer-subword-first,0.287 (0.267),-0.083 (0.572),-0.576 (0.897),-0.212 (0.639),0.736 (0.050)
contextual,NEW_HT,xlmr-2nd-last-layer-subword-avg,0.285 (0.266),-0.753 (0.954),-0.675 (0.925),-0.486 (0.864),0.663 (0.092)
contextual,NEW_HT,xlmr-avg-all-hidden-subword-first,0.495 (0.138),-0.205 (0.671),-0.216 (0.673),0.359 (0.214),0.728 (0.054)
contextual,NEW_HT,xlmr-avg-all-hidden-subword-avg,0.551 (0.114),-1.224 (0.999),-0.526 (0.868),0.235 (0.301),0.722 (0.043)
static,NEW_HT,fasttext,-0.306 (0.748),-1.112 (0.996),0.116 (0.403),1.260 (0.001),1.225 (0.001)
static,NEW_HT,xlmr-layer-0-subword-first,-0.655 (0.926),-0.730 (0.949),0.296 (0.264),0.493 (0.135),0.369 (0.191)
static,NEW_HT,xlmr-layer-0-subword-avg,0.312 (0.246),-1.091 (0.994),-0.426 (0.821),0.959 (0.013),0.354 (0.200)
