Type,DataSource,Method,weat16,weat17,weat18,weat19,weat20,weat21,weat22,weat23,weat24,weat25,weat26
contextual,HT,indic-bert-CLS,-0.655 (0.882),-0.026 (0.523),-0.264 (0.667),0.773 (0.039),-0.070 (0.544),0.010 (0.490),-0.542 (0.815),-0.993 (0.970),-0.812 (0.933),-0.607 (0.850),0.439 (0.220)
contextual,HT,indic-bert-last-hidden-subword-first,-0.528 (0.832),0.035 (0.469),-0.258 (0.706),0.014 (0.489),-0.055 (0.549),-0.988 (0.972),0.150 (0.388),0.716 (0.095),-0.629 (0.880),-0.058 (0.542),0.916 (0.042)
contextual,HT,indic-bert-last-hidden-subword-avg,0.286 (0.302),0.033 (0.475),0.236 (0.344),0.289 (0.280),0.579 (0.138),0.372 (0.251),0.061 (0.439),-0.638 (0.855),-0.330 (0.723),0.081 (0.443),0.624 (0.133)
contextual,HT,indic-bert-2nd-last-layer-subword-first,-0.327 (0.726),0.040 (0.465),-0.287 (0.724),-0.004 (0.503),-0.060 (0.546),-1.053 (0.979),0.331 (0.273),0.504 (0.181),-0.503 (0.818),-0.277 (0.695),0.960 (0.038)
contextual,HT,indic-bert-2nd-last-layer-subword-avg,0.080 (0.447),0.026 (0.476),0.216 (0.353),0.324 (0.258),0.637 (0.116),0.270 (0.309),0.108 (0.416),-0.749 (0.900),-0.026 (0.520),-0.323 (0.716),0.575 (0.151)
contextual,HT,indic-bert-avg-all-hidden-subword-first,-0.280 (0.696),0.092 (0.427),0.007 (0.496),-0.206 (0.661),-0.147 (0.615),-0.941 (0.960),-0.375 (0.752),0.113 (0.419),0.327 (0.278),-0.075 (0.553),0.768 (0.071)
contextual,HT,indic-bert-avg-all-hidden-subword-avg,-0.546 (0.835),0.219 (0.335),0.250 (0.325),-0.005 (0.505),0.744 (0.066),0.611 (0.140),-0.038 (0.534),-0.824 (0.941),-0.034 (0.524),-0.104 (0.569),0.560 (0.160)
static,HT,fasttext,1.415 (0.002),1.803 (0.000),1.684 (0.000),0.502 (0.161),0.418 (0.209),0.841 (0.061),0.568 (0.155),0.282 (0.305),1.182 (0.006),1.789 (0.000),-0.223 (0.652)
static,HT,indic-bert-layer-0-subword-first,-0.291 (0.701),0.005 (0.494),0.053 (0.456),-0.344 (0.759),-0.226 (0.681),-0.692 (0.897),-0.990 (0.980),-0.216 (0.651),0.739 (0.093),0.166 (0.384),0.685 (0.104)
static,HT,indic-bert-layer-0-subword-avg,-0.280 (0.693),-0.079 (0.553),0.205 (0.332),-0.187 (0.650),0.426 (0.208),0.266 (0.330),-0.081 (0.555),-0.769 (0.919),0.397 (0.235),0.096 (0.433),0.630 (0.120)
