Type,DataSource,Method,weat16,weat17,weat18,weat19,weat20,weat21,weat22,weat23,weat24,weat25,weat26
contextual,HT,mono-bert-CLS,0.540 (0.175),1.258 (0.004),1.596 (0.000),1.588 (0.000),1.381 (0.001),1.174 (0.012),1.092 (0.013),-0.832 (0.936),0.522 (0.181),0.465 (0.256),0.758 (0.042)
contextual,HT,mono-bert-last-hidden-subword-first,0.501 (0.186),1.220 (0.005),1.635 (0.000),1.357 (0.001),0.811 (0.054),1.026 (0.023),0.516 (0.183),-0.849 (0.942),0.097 (0.428),0.681 (0.113),0.668 (0.112)
contextual,HT,mono-bert-last-hidden-subword-avg,0.634 (0.126),1.333 (0.001),1.640 (0.000),1.375 (0.000),1.241 (0.004),0.792 (0.073),1.103 (0.020),-0.691 (0.893),0.269 (0.313),0.827 (0.065),0.989 (0.038)
contextual,HT,mono-bert-2nd-last-layer-subword-first,-0.143 (0.589),1.014 (0.017),1.380 (0.001),1.324 (0.000),0.673 (0.090),0.833 (0.061),0.515 (0.176),-0.779 (0.923),0.161 (0.386),0.420 (0.223),0.739 (0.089)
contextual,HT,mono-bert-2nd-last-layer-subword-avg,0.139 (0.403),0.987 (0.023),1.353 (0.001),1.315 (0.000),0.472 (0.181),0.801 (0.071),1.157 (0.011),-0.621 (0.866),-0.076 (0.551),0.478 (0.198),1.071 (0.018)
contextual,HT,mono-bert-avg-all-hidden-subword-first,-0.273 (0.683),1.175 (0.005),1.314 (0.001),1.399 (0.000),0.723 (0.080),0.942 (0.040),0.482 (0.196),-0.370 (0.749),0.158 (0.390),0.483 (0.193),1.062 (0.015)
contextual,HT,mono-bert-avg-all-hidden-subword-avg,-0.100 (0.568),1.131 (0.008),1.294 (0.002),1.371 (0.000),0.716 (0.082),0.594 (0.126),1.100 (0.018),-0.284 (0.696),0.124 (0.414),0.505 (0.184),1.120 (0.005)
static,HT,fasttext,1.606 (0.000),1.815 (0.000),1.770 (0.000),1.479 (0.000),1.786 (0.000),1.483 (0.000),1.785 (0.000),1.138 (0.013),1.103 (0.010),1.817 (0.000),1.157 (0.014)
static,HT,mono-bert-layer-0-subword-first,-0.838 (0.939),0.544 (0.145),0.291 (0.274),0.528 (0.138),0.631 (0.107),0.886 (0.045),0.377 (0.247),0.293 (0.301),0.428 (0.219),0.613 (0.133),0.557 (0.170)
static,HT,mono-bert-layer-0-subword-avg,-0.838 (0.939),0.666 (0.097),0.280 (0.284),0.493 (0.156),1.161 (0.008),0.611 (0.128),1.098 (0.015),0.043 (0.465),0.559 (0.159),0.543 (0.164),1.001 (0.040)
