Type,DataSource,Method,weat16,weat17,weat18,weat19,weat20,weat21,weat22,weat23,weat24,weat25,weat26
contextual,HT,xlmr-CLS,0.929 (0.039),-0.288 (0.559),-0.619 (0.908),-0.376 (0.774),-0.565 (0.864),0.423 (0.222),-0.027 (0.517),1.252 (0.008),-1.059 (0.979),-0.417 (0.773),1.160 (0.011)
contextual,HT,xlmr-last-hidden-subword-first,-0.719 (0.946),-0.147 (0.610),0.075 (0.437),-0.059 (0.516),0.345 (0.351),-0.191 (0.636),-0.390 (0.756),0.811 (0.065),-0.874 (0.947),-0.440 (0.757),-1.304 (0.994)
contextual,HT,xlmr-last-hidden-subword-avg,-0.701 (0.921),0.106 (0.424),-0.096 (0.580),-0.271 (0.679),0.368 (0.252),-0.650 (0.883),-1.011 (0.971),0.712 (0.103),-0.102 (0.573),-0.340 (0.726),-0.425 (0.776)
contextual,HT,xlmr-2nd-last-layer-subword-first,-0.566 (0.838),-0.153 (0.647),0.033 (0.474),-0.399 (0.629),0.492 (0.256),-0.150 (0.610),-1.224 (0.990),0.910 (0.000),0.897 (0.013),0.255 (0.314),-0.554 (0.859)
contextual,HT,xlmr-2nd-last-layer-subword-avg,-0.388 (0.750),0.097 (0.428),-0.121 (0.603),-0.538 (0.867),0.410 (0.216),-0.551 (0.843),-1.188 (0.989),1.314 (0.004),0.970 (0.034),-0.113 (0.571),0.289 (0.306)
contextual,HT,xlmr-avg-all-hidden-subword-first,-0.501 (0.659),0.589 (0.133),0.151 (0.375),-0.471 (0.761),0.499 (0.238),0.952 (0.036),0.762 (0.081),0.889 (0.003),0.883 (0.022),0.179 (0.371),-0.978 (0.967)
contextual,HT,xlmr-avg-all-hidden-subword-avg,-0.289 (0.696),0.209 (0.345),0.049 (0.456),-0.602 (0.896),0.572 (0.128),0.230 (0.343),-1.273 (0.992),1.341 (0.004),1.064 (0.021),-0.564 (0.846),0.521 (0.212)
static,HT,fasttext,1.729 (0.000),1.827 (0.000),0.497 (0.143),0.271 (0.302),0.671 (0.092),0.398 (0.236),0.418 (0.223),1.222 (0.011),1.161 (0.013),1.480 (0.002),1.390 (0.003)
static,HT,xlmr-layer-0-subword-first,-0.596 (0.840),0.277 (0.297),0.043 (0.465),-0.816 (0.967),0.563 (0.140),1.341 (0.002),-0.191 (0.630),1.100 (0.012),0.887 (0.050),0.104 (0.423),0.960 (0.036)
static,HT,xlmr-layer-0-subword-avg,-0.995 (0.971),0.072 (0.437),0.073 (0.374),-0.487 (0.845),0.989 (0.024),1.384 (0.003),-0.308 (0.713),1.446 (0.002),1.401 (0.002),-0.418 (0.765),1.258 (0.008)
