strategy,test,target1,target2,attr1,attr2
bert_0_sws_avg,weat1,0.1525990460426583,0.1054456225942708,0.16451707824477463,0.1571674132827014
bert_0_sws_first,weat1,0.15982868244491708,0.12280353500477932,0.19027667706766144,0.19008846837626214
bert_2nd_last_sws_avg,weat1,0.003944522895074171,0.002733776571775287,0.0039488468302433825,0.004027969888960277
bert_2nd_last_sws_first,weat1,0.004113287724498679,0.0034300044415032315,0.0046714899742564585,0.00494665427050835
bert_all_sws_avg,weat1,0.05504914284592082,0.03801774674794858,0.0552307798005489,0.053091531819640186
bert_all_sws_first,weat1,0.05457755375573434,0.04579608785502784,0.06132862263213254,0.06381648001785163
bert_last_CLS,weat1,0.0015407820456257622,0.001744054124861991,0.0015322771703648703,0.001742624897625761
bert_last_sws_avg,weat1,0.043882027628974966,0.030519782068052576,0.04419376915094344,0.04735842015834212
bert_last_sws_first,weat1,0.04901042193661581,0.03664102320569526,0.046507723484411546,0.05340002983249634
fasttext,weat1,0.0386292305040156,0.06459370658390776,0.02109859150807863,0.014465864622097159
bert_0_sws_avg,weat2,0.15477626351426207,0.1404561951246057,0.16451707824477463,0.1571674132827014
bert_0_sws_first,weat2,0.15551515332238228,0.17412460147965314,0.19027667706766144,0.19008846837626214
bert_2nd_last_sws_avg,weat2,0.003938010578609249,0.0035316968054267556,0.0039488468302433825,0.004027969888960277
bert_2nd_last_sws_first,weat2,0.00414190213354362,0.004667478721870791,0.0046714899742564585,0.00494665427050835
bert_all_sws_avg,weat2,0.05586843811950557,0.048664623092786144,0.0552307798005489,0.053091531819640186
bert_all_sws_first,weat2,0.051616141439605405,0.05949328462063222,0.06132862263213254,0.06381648001785163
bert_last_CLS,weat2,0.001608383761242638,0.001583307793833516,0.0015322771703648703,0.001742624897625761
bert_last_sws_avg,weat2,0.04186907962814094,0.04092268500481377,0.04419376915094344,0.04735842015834212
bert_last_sws_first,weat2,0.04458433719682834,0.05217129282307639,0.046507723484411546,0.05340002983249634
fasttext,weat2,0.03806350801092632,0.023667739460480036,0.02109859150807863,0.014465864622097159
bert_0_sws_avg,weat6,0.15799707458718018,0.08679481826284333,0.16400229197003413,0.15690385865564255
bert_0_sws_first,weat6,0.18467375869177502,0.02857500756522611,0.19086180496388575,0.19022613666460977
bert_2nd_last_sws_avg,weat6,0.0036650283757006167,0.0021735370429295164,0.004451893621309064,0.003668408824010033
bert_2nd_last_sws_first,weat6,0.0050135228932581275,0.001010527701102498,0.005957470523045226,0.004267731742659557
bert_all_sws_avg,weat6,0.05448312040599771,0.026121171243690556,0.06083167339898642,0.053927493029395424
bert_all_sws_first,weat6,0.06802506436590613,0.010175945072112088,0.06941765551081698,0.06154902089742171
bert_last_CLS,weat6,0.001615128892458446,0.0004740129766156196,0.002781676798874859,0.0019204848730100517
bert_last_sws_avg,weat6,0.040831060960551946,0.02934321264362317,0.05142082891973476,0.040515563052159205
bert_last_sws_first,weat6,0.0531041398890059,0.011623828008662398,0.059279926647350004,0.045856006323564825
fasttext,weat6,0.006204872605825946,0.0060386697232398265,0.009159487405532773,0.010962262505722775
bert_0_sws_avg,weat7,0.13024419562229853,0.15423936700628713,0.14599565358549096,0.12049430004023734
bert_0_sws_first,weat7,0.1211532322548808,0.18721253417938333,0.16922456736511646,0.12327523334599277
bert_2nd_last_sws_avg,weat7,0.003424332832972497,0.0035066648110059213,0.003771668233597379,0.0032759393918852927
bert_2nd_last_sws_first,weat7,0.003142565392704684,0.005184279712125848,0.00498022357752251,0.0034194110896846727
bert_all_sws_avg,weat7,0.04664001818538285,0.05144656543894342,0.050653794436486134,0.04417523954434292
bert_all_sws_first,weat7,0.040575877843285785,0.06638298327671956,0.06054021624325199,0.04289548153888367
bert_last_CLS,weat7,0.0014824730092301175,0.0018612401492321834,0.001872961821206549,0.001600128978936257
bert_last_sws_avg,weat7,0.038987752455878405,0.04039440209236192,0.04302148124122443,0.036591887286072766
bert_last_sws_first,weat7,0.03376898966908388,0.05598899463071267,0.05579161280319995,0.03792464608619429
fasttext,weat7,0.012772168907144988,0.008682995275875618,0.02961046466484957,0.025366885165680295
bert_0_sws_avg,weat8,0.1369604432324664,0.15423936700628713,0.14599565358549096,0.12049430004023734
bert_0_sws_first,weat8,0.13664860968241158,0.18721253417938333,0.16922456736511646,0.12327523334599277
bert_2nd_last_sws_avg,weat8,0.003643398690440475,0.0035066648110059213,0.003771668233597379,0.0032759393918852927
bert_2nd_last_sws_first,weat8,0.00362999623386115,0.005184279712125848,0.00498022357752251,0.0034194110896846727
bert_all_sws_avg,weat8,0.04893292783996279,0.05144656543894342,0.050653794436486134,0.04417523954434292
bert_all_sws_first,weat8,0.04558870942449148,0.06638298327671956,0.06054021624325199,0.04289548153888367
bert_last_CLS,weat8,0.0015386882735185594,0.0018612401492321834,0.001872961821206549,0.001600128978936257
bert_last_sws_avg,weat8,0.04043973342674495,0.04039440209236192,0.04302148124122443,0.036591887286072766
bert_last_sws_first,weat8,0.03660099454020077,0.05598899463071267,0.05579161280319995,0.03792464608619429
fasttext,weat8,0.01152204949850437,0.008682995275875618,0.02961046466484957,0.025366885165680295
bert_0_sws_avg,weat9,0.09141390529270794,0.14715707892370486,0.13991178974374108,0.006104248053601193
bert_0_sws_first,weat9,0.11554245443905252,0.16795806545560563,0.1716803391115264,0.014346363120076684
bert_2nd_last_sws_avg,weat9,0.0020907220566621855,0.003696265161082748,0.0031826317313460605,0.00016462845794142992
bert_2nd_last_sws_first,weat9,0.0025339446438686505,0.004526920573952687,0.005056686192454719,0.00033565005774729745
bert_all_sws_avg,weat9,0.029932190829271767,0.05157880920637808,0.04531631894826665,0.0019384378135742055
bert_all_sws_first,weat9,0.03906530922958155,0.05278843094676633,0.06187322176377192,0.0038195447541117646
bert_last_CLS,weat9,0.0008895077300478922,0.001391504214735796,0.0020112889614303272,0.00033560843283567007
bert_last_sws_avg,weat9,0.02796344197423848,0.04200400383144888,0.03875726649797272,0.000959418458673429
bert_last_sws_first,weat9,0.03403004290166086,0.04604339711364189,0.053973329058897374,0.0023774832193023724
fasttext,weat9,0.02746848576009461,0.02436294979801893,0.008006007835991607,0.0738193688287186
