strategy,test,target1,target2,attr1,attr2
bert_0_sws_avg,weat1,0.056386540324180064,0.038882571799276955,0.10227540388697609,0.09318726610934873
bert_0_sws_first,weat1,0.006797040144347972,0.0102582395692989,0.01236971334807239,0.01570189092834805
bert_2nd_last_sws_avg,weat1,0.0012229290429889535,0.000813675023012148,0.0024495045065697153,0.0015138474545364784
bert_2nd_last_sws_first,weat1,0.000907820811029864,0.0007968522769186277,0.0015265345638142125,0.0012886382457031578
bert_all_sws_avg,weat1,0.018802574238786122,0.012790032929836456,0.029790649533916247,0.027526258005429457
bert_all_sws_first,weat1,0.005841088885061201,0.005438575289920692,0.007583865675075514,0.00711033926421982
bert_last_CLS,weat1,0.00028842420982915255,0.00028145719007668035,0.00046981853223236635,0.0005975729457035302
bert_last_sws_avg,weat1,0.02376339178748514,0.009991121786847194,0.03559012005216316,0.029990032200953268
bert_last_sws_first,weat1,0.010362469674250226,0.009463282700160672,0.014273347585089797,0.013325411897616133
fasttext,weat1,0.016133297937364063,0.011989269428428902,0.015502680953267624,0.01423687997933767
bert_0_sws_avg,weat2,0.07344651429035078,0.0712571846824347,0.10227540388697609,0.09318726610934873
bert_0_sws_first,weat2,0.014863682324307757,0.010140310611547871,0.01236971334807239,0.01570189092834805
bert_2nd_last_sws_avg,weat2,0.0020754882568179314,0.0014184348096553028,0.0024495045065697153,0.0015138474545364784
bert_2nd_last_sws_first,weat2,0.0015022290280824336,0.0008630485527167411,0.0015265345638142125,0.0012886382457031578
bert_all_sws_avg,weat2,0.026693525082651336,0.01978569433004465,0.029790649533916247,0.027526258005429457
bert_all_sws_first,weat2,0.010622916795555472,0.007384321540766054,0.007583865675075514,0.00711033926421982
bert_last_CLS,weat2,0.0007781592391694064,0.0007535630209452423,0.00046981853223236635,0.0005975729457035302
bert_last_sws_avg,weat2,0.038489226686044604,0.027533402782099974,0.03559012005216316,0.029990032200953268
bert_last_sws_first,weat2,0.0204078933706774,0.010204616987907554,0.014273347585089797,0.013325411897616133
fasttext,weat2,0.009655818312533454,0.018568134421820072,0.015502680953267624,0.01423687997933767
bert_0_sws_avg,weat6,0.0028781616822709725,0.0036070094319929865,0.10988977371324193,0.1402345532953457
bert_0_sws_first,weat6,0.004193088710245782,0.00425995102887539,0.023938225400244078,0.013238580133620016
bert_2nd_last_sws_avg,weat6,0.0004282323313735364,0.0004535226807828844,0.0018301856258536285,0.00371007865912275
bert_2nd_last_sws_first,weat6,0.0006011602382262465,0.0008467013209501955,0.0013677474371690463,0.0012925052049665277
bert_all_sws_avg,weat6,0.002143188501687039,0.0036968556944212763,0.027422377016833883,0.04661996593746093
bert_all_sws_first,weat6,0.0035946652440485443,0.005518835375722259,0.010057534091491712,0.008931213968353316
bert_last_CLS,weat6,0.00019476133624901998,0.00018486503509907852,0.00016225738352470585,0.0003538880579862967
bert_last_sws_avg,weat6,0.005894334092885719,0.010161306969698249,0.03494837273196659,0.05648456391693046
bert_last_sws_first,weat6,0.00671745641561703,0.010212224132700648,0.01724014036549563,0.013646889231147468
fasttext,weat6,0.01428762950456308,0.00463577307464068,0.015216760148035205,0.015231127835888677
bert_0_sws_avg,weat7,0.06410739394559883,0.03191602409300346,0.027555240205338005,0.058519936862900024
bert_0_sws_first,weat7,0.004256593866894134,0.006169631216287692,0.01850761139407351,0.016433001886936176
bert_2nd_last_sws_avg,weat7,0.0018560934719735636,0.00091482546775039,0.0008609872151484242,0.0014437979355860012
