strategy,test,target1,target2,attr1,attr2
bert_0_sws_avg,weat1,0.06483241426357395,0.05534798410503234,0.09555442004578381,0.1159000875948787
bert_0_sws_first,weat1,0.00669531595063131,0.013996312389586428,0.015019080937486167,0.011714471325656143
bert_2nd_last_sws_avg,weat1,0.0015945371163561728,0.0010286056427662518,0.0021254149049843053,0.0022529660928984284
bert_2nd_last_sws_first,weat1,0.0006147754046354481,0.0005937507409217222,0.0012695466067264407,0.0012237706385413328
bert_all_sws_avg,weat1,0.025170913763170998,0.015734627811215346,0.033684922328777074,0.03480292815284841
bert_all_sws_first,weat1,0.004225845974362845,0.006247288739944268,0.009599452040582858,0.007897298638281425
bert_last_CLS,weat1,0.00032942508679306676,0.0003109117880099387,0.0006779283369677241,0.00034066321727878074
bert_last_sws_avg,weat1,0.03530214379255682,0.022552857236622852,0.043690768688560644,0.04588594457028032
bert_last_sws_first,weat1,0.006740651013927539,0.008394593552876424,0.013575941197927448,0.013394825442917896
fasttext,weat1,0.009475550267782991,0.01587566016143558,0.015601988836257784,0.01501775130198253
bert_0_sws_avg,weat2,0.10204170422437094,0.06353334608194659,0.09555442004578381,0.1159000875948787
bert_0_sws_first,weat2,0.013115459982624367,0.015307681148073954,0.015019080937486167,0.011714471325656143
bert_2nd_last_sws_avg,weat2,0.0024632999024655025,0.0012951265382802482,0.0021254149049843053,0.0022529660928984284
bert_2nd_last_sws_first,weat2,0.0007087210807506885,0.0007062881321174732,0.0012695466067264407,0.0012237706385413328
bert_all_sws_avg,weat2,0.03545672516866409,0.023535948048037204,0.033684922328777074,0.03480292815284841
bert_all_sws_first,weat2,0.005968488626488656,0.00652596909163134,0.009599452040582858,0.007897298638281425
bert_last_CLS,weat2,0.00085788137393834,0.0003532742424091583,0.0006779283369677241,0.00034066321727878074
bert_last_sws_avg,weat2,0.04607788128506666,0.031109945732741433,0.043690768688560644,0.04588594457028032
bert_last_sws_first,weat2,0.00993686223571701,0.010747942862091082,0.013575941197927448,0.013394825442917896
fasttext,weat2,0.023799275878885907,0.018913689673714693,0.015601988836257784,0.01501775130198253
bert_0_sws_avg,weat6,0.006259377143640524,0.0036521649712512798,0.07940321900973207,0.0663471324404829
bert_0_sws_first,weat6,0.007390613122280281,0.005874311436393993,0.03876430780055974,0.02355929086589942
bert_2nd_last_sws_avg,weat6,0.0006449432972160239,0.00015414556728728253,0.0019003787289687457,0.0013615352500787167
bert_2nd_last_sws_first,weat6,0.0005708879928130594,0.00021631970726091753,0.0018801385005982585,0.0009600882272769965
bert_all_sws_avg,weat6,0.005078288353836095,0.0016029359027675538,0.028916448056027038,0.02287483298939445
bert_all_sws_first,weat6,0.006076082071737374,0.0025953315385105315,0.01692885153583495,0.011274882305390399
bert_last_CLS,weat6,8.918402314040426e-05,0.00024667318833318476,0.0013014518381076555,0.00042734407458439597
bert_last_sws_avg,weat6,0.008649658500548956,0.003914890940610436,0.040495426373455774,0.03258285156819312
bert_last_sws_first,weat6,0.0060234157916768125,0.004828299958347819,0.02247413179555127,0.014573532904070326
fasttext,weat6,0.011526201981005261,0.008409225037321198,0.012637570660494547,0.02430307283276056
bert_0_sws_avg,weat7,0.09319089821814727,0.06449575502590006,0.014966307872073682,0.024175490808617067
bert_0_sws_first,weat7,0.009732524089405836,0.004772935232701568,0.009841262046522992,0.010569322612052375
bert_2nd_last_sws_avg,weat7,0.0021235666001835087,0.001492225393838975,0.0003882963562430359,0.0006653396540887491
bert_2nd_last_sws_first,weat7,0.0007120830364238703,0.0006759474369755432,0.00036079010887056143,0.0006655667549927153
bert_all_sws_avg,weat7,0.033899065594357985,0.027228161285915587,0.007161315023643619,0.010643933757511208
bert_all_sws_first,weat7,0.006654787384870204,0.004006423678806353,0.005342284771466879,0.0074422745576478285
bert_last_CLS,weat7,0.0025845129664879875,0.0011173514075199602,0.00045235424853091533,0.0007257412682075521
bert_last_sws_avg,weat7,0.0460889758079156,0.03531734800664099,0.008749493049193324,0.01603452906290998
bert_last_sws_first,weat7,0.009941844071673147,0.007922890064268617,0.007286450979278295,0.01239564068387827
fasttext,weat7,0.01926682427591981,0.017353786629080957,0.05169542515741133,0.038874501340034916
bert_0_sws_avg,weat8,0.023795580668512596,0.06449575502590006,0.014966307872073682,0.024175490808617067
bert_0_sws_first,weat8,0.009084390381707216,0.004772935232701568,0.009841262046522992,0.010569322612052375
bert_2nd_last_sws_avg,weat8,0.0005980229525630881,0.001492225393838975,0.0003882963562430359,0.0006653396540887491
bert_2nd_last_sws_first,weat8,0.0005322104203350455,0.0006759474369755432,0.00036079010887056143,0.0006655667549927153
bert_all_sws_avg,weat8,0.009983079871492564,0.027228161285915587,0.007161315023643619,0.010643933757511208
bert_all_sws_first,weat8,0.005286328901489933,0.004006423678806353,0.005342284771466879,0.0074422745576478285
bert_last_CLS,weat8,0.0010431989291621933,0.0011173514075199602,0.00045235424853091533,0.0007257412682075521
bert_last_sws_avg,weat8,0.016060737835271212,0.03531734800664099,0.008749493049193324,0.01603452906290998
bert_last_sws_first,weat8,0.010601475494001715,0.007922890064268617,0.007286450979278295,0.01239564068387827
fasttext,weat8,0.019579631274837382,0.017353786629080957,0.05169542515741133,0.038874501340034916
bert_0_sws_avg,weat9,0.010564406731431672,0.15056425473761792,0.10117431805145485,0.08705642968865379
bert_0_sws_first,weat9,0.005332907460837798,0.006553157183586919,0.03914753582505753,0.006061653297102962
bert_2nd_last_sws_avg,weat9,0.00014540709277571722,0.00305625836845633,0.0018676353630814341,0.0018670855441924256
