strategy,test,target1,target2,attr1,attr2
bert_0_sws_avg,weat1,0.0010502285821721137,0.0012629222481082769,0.038001917354134725,0.004923936928662569
bert_0_sws_first,weat1,0.038801031225034845,0.05133675129703387,0.046909666124574666,0.04074782259843563
bert_2nd_last_sws_avg,weat1,1.3437265326710588e-05,2.1839760076237225e-05,0.0009611488067036571,9.785483793353183e-05
bert_2nd_last_sws_first,weat1,0.0008710917362668153,0.0008605973605381268,0.0017314923504761098,0.0017942300382210012
bert_all_sws_avg,weat1,0.0001624748171366937,0.00028470854925527955,0.011089322332882371,0.0007364106463186811
bert_all_sws_first,weat1,0.009128295853018241,0.011926632471704232,0.011973559146548036,0.011112741777554289
bert_last_CLS,weat1,0.00011960565012358733,0.00028720112276395097,8.289214744181717e-05,7.882295490437356e-05
bert_last_sws_avg,weat1,0.0002022080483347327,0.00022404430330104225,0.014295307944058725,0.001057773293949459
bert_last_sws_first,weat1,0.010231746966406042,0.00933774643551737,0.024120494446620545,0.02856189790933425
fasttext,weat1,0.013079803806218803,0.014964749961144169,0.019206587912439725,0.014100841506507065
bert_0_sws_avg,weat2,0.001202626454995948,0.0009109239089314189,0.038001917354134725,0.004923936928662569
bert_0_sws_first,weat2,0.0404638469806837,0.03696733003067432,0.046909666124574666,0.04074782259843563
bert_2nd_last_sws_avg,weat2,1.9539333296182422e-05,1.258909788829543e-05,0.0009611488067036571,9.785483793353183e-05
bert_2nd_last_sws_first,weat2,0.0016537480950873779,0.0011623698817803982,0.0017314923504761098,0.0017942300382210012
bert_all_sws_avg,weat2,0.00018269646622342997,0.00014975251253557628,0.011089322332882371,0.0007364106463186811
bert_all_sws_first,weat2,0.010531856047069082,0.009503418181960509,0.011973559146548036,0.011112741777554289
bert_last_CLS,weat2,0.00012816047244144517,8.921988730373247e-05,8.289214744181717e-05,7.882295490437356e-05
bert_last_sws_avg,weat2,0.000258406281356107,0.00016747054403659347,0.014295307944058725,0.001057773293949459
bert_last_sws_first,weat2,0.02424950103277223,0.014321830385138753,0.024120494446620545,0.02856189790933425
fasttext,weat2,0.01334143485390072,0.014912885915708086,0.019206587912439725,0.014100841506507065
