strategy,test,target1,target2,attr1,attr2
bert_0_sws_avg,weat1,0.09038475571833444,0.046384364793271876,0.08321374429214433,0.07060158128830087
bert_0_sws_first,weat1,0.006908475822571988,0.011317274064328428,0.013618613979159871,0.008596318715324121
bert_2nd_last_sws_avg,weat1,0.0020147830760974365,0.0005062490964337328,0.0018225727040346714,0.0015562396962947509
bert_2nd_last_sws_first,weat1,0.0012239729640891623,0.0016919285710702537,0.001152264506811314,0.0012302917490064904
bert_all_sws_avg,weat1,0.0287589309109087,0.007802293663252903,0.02447728500346468,0.021704283304079624
bert_all_sws_first,weat1,0.006311447551443792,0.010820864605187013,0.006323250147750738,0.006326959446129961
bert_last_CLS,weat1,0.0005474426821651139,0.00023754393542122716,0.0007027918169282352,0.0005664026314881915
bert_last_sws_avg,weat1,0.040054637246746225,0.009437324058182659,0.03655679753232147,0.03139483049116846
bert_last_sws_first,weat1,0.013301654822797415,0.0134447249048576,0.014038997744211044,0.012713661109463549
fasttext,weat1,0.019897745987898265,0.02276529036681757,0.015517981859319465,0.01503763755342564
bert_0_sws_avg,weat2,0.0740574398835811,0.07875206529658055,0.08321374429214433,0.07060158128830087
bert_0_sws_first,weat2,0.022389604136473427,0.009031826371773211,0.013618613979159871,0.008596318715324121
bert_2nd_last_sws_avg,weat2,0.0019046129358418454,0.0014474571032567528,0.0018225727040346714,0.0015562396962947509
bert_2nd_last_sws_first,weat2,0.0020922169680111825,0.0008672780367215012,0.001152264506811314,0.0012302917490064904
bert_all_sws_avg,weat2,0.025302654291490125,0.02389644031950441,0.02447728500346468,0.021704283304079624
bert_all_sws_first,weat2,0.013474249843338093,0.0069932427874769155,0.006323250147750738,0.006326959446129961
bert_last_CLS,weat2,0.0007167129316738243,0.0007572584637381,0.0007027918169282352,0.0005664026314881915
bert_last_sws_avg,weat2,0.034341182790190286,0.027530470111524832,0.03655679753232147,0.03139483049116846
bert_last_sws_first,weat2,0.022784133531113672,0.0097176879500677,0.014038997744211044,0.012713661109463549
fasttext,weat2,0.032957154451336595,0.019512473989101903,0.015517981859319465,0.01503763755342564
bert_0_sws_avg,weat6,0.003021181469472061,0.004516348455208133,0.0076531382323365834,0.038266349163980785
bert_0_sws_first,weat6,0.004908857200466463,0.004708935589071137,0.008804820677221818,0.03770562134990281
bert_2nd_last_sws_avg,weat6,0.00027472440481036286,0.0006240414806039388,0.0003265090175850882,0.0006702301796218589
bert_2nd_last_sws_first,weat6,0.00043327590897959065,0.0009199666407355931,0.0003028979484538845,0.0006729321735374769
bert_all_sws_avg,weat6,0.0019830118184900516,0.0039877461193719805,0.004424768770340951,0.006806003523502536
bert_all_sws_first,weat6,0.004317532918259973,0.004197576755134642,0.005270023382942518,0.006654831277336867
bert_last_CLS,weat6,9.241201734769508e-05,0.0004264183644661679,0.00014800073786117325,0.0008414741761537381
bert_last_sws_avg,weat6,0.008373402352628208,0.01133286759823717,0.010499364480919772,0.010699577717675842
bert_last_sws_first,weat6,0.007919117254385594,0.00963395154313331,0.008592898242206133,0.009402330498151954
fasttext,weat6,0.006562770092833835,0.0008948600901455886,0.011548880146918345,0.040805131901016534
bert_0_sws_avg,weat7,0.10072017534996426,0.012167034171839168,0.02305284715806873,0.03896006519212207
