strategy,test,target1,target2,attr1,attr2
bert_0_sws_avg,weat1,0.007556546871052599,0.007499700243694059,0.035439664658432124,0.042376062437820564
bert_0_sws_first,weat1,0.020322959293833556,0.0553918803945619,0.04014073967071733,0.014315295035749064
bert_2nd_last_sws_avg,weat1,6.425977000562555e-05,5.5462436985405847e-05,0.0006418412597407424,0.0004966054813395041
bert_2nd_last_sws_first,weat1,0.0003534069495680027,0.0008131406807998453,0.0007331905484731643,0.00048809221343313854
bert_all_sws_avg,weat1,0.0013207477741812889,0.0013304530365643853,0.009181098404114215,0.00837263954081365
bert_all_sws_first,weat1,0.0053166720701062304,0.014065927409265114,0.011244110260810618,0.004998900672614372
bert_last_CLS,weat1,0.0001454048265339175,0.00010293917117361123,0.00010634733920395524,0.00011792507548095586
bert_last_sws_avg,weat1,0.0007876702761273277,0.000905176249678895,0.010131841435152769,0.008836377297000512
bert_last_sws_first,weat1,0.004969336588086837,0.011141328991523453,0.011504146623948922,0.006384570222973951
fasttext,weat1,0.008576587146593926,0.01702481758833437,0.02196339868725563,0.011628441189559427
bert_0_sws_avg,weat2,0.00476349879224014,0.03373095502378867,0.035439664658432124,0.042376062437820564
bert_0_sws_first,weat2,0.029848351270775543,0.016775412245312392,0.04014073967071733,0.014315295035749064
bert_2nd_last_sws_avg,weat2,4.275502285063376e-05,0.0005952731122800593,0.0006418412597407424,0.0004966054813395041
bert_2nd_last_sws_first,weat2,0.0005477279775868415,0.0005569197702024845,0.0007331905484731643,0.00048809221343313854
bert_all_sws_avg,weat2,0.0005009495520139972,0.00841455188842204,0.009181098404114215,0.00837263954081365
bert_all_sws_first,weat2,0.00757583630949855,0.005476548132110051,0.011244110260810618,0.004998900672614372
bert_last_CLS,weat2,0.0003034383136684137,0.00016684989272372364,0.00010634733920395524,0.00011792507548095586
bert_last_sws_avg,weat2,0.0004685584087633829,0.010165375765547118,0.010131841435152769,0.008836377297000512
bert_last_sws_first,weat2,0.007227346345142673,0.008239607970190854,0.011504146623948922,0.006384570222973951
fasttext,weat2,0.016371691341991103,0.015863669076820765,0.02196339868725563,0.011628441189559427
bert_0_sws_avg,weat6,0.17223690705631603,0.11106477019498119,0.008256470764988486,0.14504010652366348
bert_0_sws_first,weat6,0.06175648718787354,0.003731138564974677,0.04541313056374157,0.03290594184989703
bert_2nd_last_sws_avg,weat6,0.003108151091235587,0.0014174083829743324,5.0443563532560756e-05,0.0025290635126817918
bert_2nd_last_sws_first,weat6,0.0009073832255057873,0.00038371264022297156,0.0010019046756090698,0.0007643239954435056
bert_all_sws_avg,weat6,0.05004604340663414,0.026091980722858562,0.0010351401070274233,0.03766312560638844
bert_all_sws_first,weat6,0.014808381407192208,0.0023416806416562655,0.012126042556811026,0.009526901038212144
bert_last_CLS,weat6,0.0001891880675463534,0.00012477903928975723,5.48712579394872e-05,0.0001250589327251423
bert_last_sws_avg,weat6,0.05603975024073532,0.021736189554909933,0.000590745617941416,0.04117843222979295
bert_last_sws_first,weat6,0.021321249306405752,0.005775935168164719,0.015145545409396275,0.014234477386630442
fasttext,weat6,0.010789858586948201,0.0062164386217764935,0.007934924270482582,0.03146045084106764
bert_0_sws_avg,weat7,0.08471751049679754,0.09910971263681594,0.087230058432058,0.07207634214257215
bert_0_sws_first,weat7,0.025391593077695118,0.01072885451416985,0.019622808079514147,0.03117563830085961
bert_2nd_last_sws_avg,weat7,0.001848530183775628,0.0018767379372477563,0.001569629823314638,0.0010837870636564199
bert_2nd_last_sws_first,weat7,0.0007300169796058145,0.000708329795138859,0.0006896659439258976,0.0007362911056676291
bert_all_sws_avg,weat7,0.021919290707233096,0.028076104499191987,0.022202153309609157,0.016493758590570083
bert_all_sws_first,weat7,0.006571967291636212,0.005657228658743148,0.007978422169983027,0.009460661108990697
bert_last_CLS,weat7,0.0022799569934306616,0.00017005126729731544,0.00021291955454784872,0.00026836584666394377
bert_last_sws_avg,weat7,0.03665560879623399,0.027394595615268743,0.023581200196793148,0.02020826021781546
bert_last_sws_first,weat7,0.017602621905969583,0.008991395964441309,0.009757950245283763,0.011333078297554845
