strategy,test,target1,target2,attr1,attr2
bert_0_sws_avg,weat1,0.03760657302043897,0.06393150914349445,0.009748987639407935,0.05394402146688627
bert_0_sws_first,weat1,0.006884571459172122,0.012770998342334132,0.017771404400872715,0.019485533109186413
bert_2nd_last_sws_avg,weat1,0.0009258540014609951,0.0010306167177488894,4.101754966946388e-05,0.0006555441641624428
bert_2nd_last_sws_first,weat1,0.0006413720647359024,0.00037163647012007905,0.0003248416042621499,0.000482231540017377
bert_all_sws_avg,weat1,0.013016825299750805,0.019059902963452443,0.00094756546484423,0.014065363334963416
bert_all_sws_first,weat1,0.0037205767239980865,0.003239232044461732,0.004802716259943279,0.005684684039323518
bert_last_CLS,weat1,0.0002797722687891717,3.849861327449761e-05,9.843600812615073e-05,9.298165529758302e-05
bert_last_sws_avg,weat1,0.010478286327635719,0.011785515213206366,0.0007858363459826445,0.011449678970477217
bert_last_sws_first,weat1,0.005558444209886654,0.005295058523790947,0.005795543790478165,0.0063467155518144676
fasttext,weat1,0.013674100085118032,NaN,0.019971475744434388,0.018392304375329686
bert_0_sws_avg,weat2,0.08486656929732796,0.07450867960035006,0.009748987639407935,0.05394402146688627
bert_0_sws_first,weat2,0.016465353881346234,0.008536890850773348,0.017771404400872715,0.019485533109186413
bert_2nd_last_sws_avg,weat2,0.001184498207322974,0.0010248436407343767,4.101754966946388e-05,0.0006555441641624428
bert_2nd_last_sws_first,weat2,0.0004569892244517727,0.0003956524660314916,0.0003248416042621499,0.000482231540017377
bert_all_sws_avg,weat2,0.02372004799480953,0.02020449739022967,0.00094756546484423,0.014065363334963416
bert_all_sws_first,weat2,0.0038945605485119737,0.002870280921998598,0.004802716259943279,0.005684684039323518
bert_last_CLS,weat2,6.580290789221168e-05,9.04990908059337e-05,9.843600812615073e-05,9.298165529758302e-05
bert_last_sws_avg,weat2,0.017892152650152215,0.017075855322582018,0.0007858363459826445,0.011449678970477217
bert_last_sws_first,weat2,0.004662555437025321,0.005985066448344129,0.005795543790478165,0.0063467155518144676
fasttext,weat2,0.013297671848028452,0.01323090078194894,0.019971475744434388,0.018392304375329686
bert_0_sws_avg,weat6,0.008994243061233783,0.0056884795323073,0.007249489068054697,0.07628906066322802
bert_0_sws_first,weat6,0.04379384171523614,0.025520451887000455,0.02591010284559799,0.025879017051191933
bert_2nd_last_sws_avg,weat6,2.930086729393493e-05,3.08954776169717e-05,2.2537242913755406e-05,0.0006218371865411992
bert_2nd_last_sws_first,weat6,0.0003880430739887255,0.0004086987204780453,0.00043305888938983207,0.00042484640175738056
bert_all_sws_avg,weat6,0.0008905432262528224,0.0006372832377084012,0.0005991284713389395,0.01657058417855522
bert_all_sws_first,weat6,0.008265404688480598,0.005560151298284114,0.005635194687407953,0.005553969291043469
bert_last_CLS,weat6,3.295370267534116e-05,2.6643251384766172e-05,4.268542697546957e-05,7.1367704607911e-05
bert_last_sws_avg,weat6,0.000372335335355247,0.0006133957605746495,0.0002826632787092624,0.012534359960992903
bert_last_sws_first,weat6,0.005270786862283218,0.0060771400336616195,0.005833181542772626,0.006603528860815057
fasttext,weat6,0.020374104145357917,0.01689983712356795,0.005964220419783013,0.018060898012550237
bert_0_sws_avg,weat7,0.005103519468676702,0.10205750974078934,0.04311828180895547,0.045245816644307116
bert_0_sws_first,weat7,0.0033925020831077927,0.0038990530086261926,0.015125072058927588,0.01614325953111861
bert_2nd_last_sws_avg,weat7,4.84409783588179e-05,0.0013134889691947015,0.0007831579843162013,0.0007473502890026023
bert_2nd_last_sws_first,weat7,0.0003640644496183978,0.00024019359594334308,0.0003258614011159232,0.0006285718975422156
bert_all_sws_avg,weat7,0.0006335639250507081,0.027077534744065494,0.012301757572642782,0.011978328327202395
bert_all_sws_first,weat7,0.0017150427582232795,0.0015882395732437777,0.005044443181487758,0.004251039337784181
