strategy,test,target1,target2,attr1,attr2
bert_0_sws_avg,weat1,0.006807963098084568,0.04027658331252936,0.006732335206144313,0.029758554040907798
bert_0_sws_first,weat1,0.02038506099842461,0.023177126810617406,0.04221141554287762,0.016317109549973393
bert_2nd_last_sws_avg,weat1,6.147073133742265e-05,0.000689347096504097,5.9161585429317875e-05,0.00042831029951445555
bert_2nd_last_sws_first,weat1,0.00036120547965713635,0.0005067736361742568,0.0005758376199149554,0.0004092951933450716
bert_all_sws_avg,weat1,0.0011556827291060326,0.011562128284892424,0.0013030374263634224,0.007087851686269211
bert_all_sws_first,weat1,0.004939981772171022,0.006527883883572189,0.011979559510922166,0.0049243259145997234
bert_last_CLS,weat1,0.0001055493238444548,0.00014315326991068845,8.828361053947916e-05,0.00010722523712026811
bert_last_sws_avg,weat1,0.0008067777145301418,0.010488272734701029,0.000768145036466856,0.007782613836998861
bert_last_sws_first,weat1,0.005160634376693591,0.007369391447738749,0.007896250168345787,0.006386800145734188
fasttext,weat1,0.020572813433103868,0.023524600780149445,0.022236641968074868,0.013114886062751654
bert_0_sws_avg,weat2,0.006154840941173235,0.0066911733509468245,0.006732335206144313,0.029758554040907798
bert_0_sws_first,weat2,0.03618277282806133,0.030590508072634224,0.04221141554287762,0.016317109549973393
bert_2nd_last_sws_avg,weat2,5.881583510945487e-05,5.6829529163892176e-05,5.9161585429317875e-05,0.00042831029951445555
bert_2nd_last_sws_first,weat2,0.0006097391280164309,0.0005116056960267263,0.0005758376199149554,0.0004092951933450716
bert_all_sws_avg,weat2,0.0008066690483355184,0.001171214152619853,0.0013030374263634224,0.007087851686269211
bert_all_sws_first,weat2,0.008564783529214247,0.0088062421172066,0.011979559510922166,0.0049243259145997234
bert_last_CLS,weat2,0.00033942748710419563,0.0001509403273154221,8.828361053947916e-05,0.00010722523712026811
bert_last_sws_avg,weat2,0.0006021324020542173,0.00075146473919409,0.000768145036466856,0.007782613836998861
bert_last_sws_first,weat2,0.008651702708738907,0.006891173009115012,0.007896250168345787,0.006386800145734188
fasttext,weat2,0.02493678471936195,0.021909763508342773,0.022236641968074868,0.013114886062751654
bert_0_sws_avg,weat6,0.10951785170380816,0.007744619605192909,0.008533527754712942,0.0010613733201632629
bert_0_sws_first,weat6,0.006063116456058359,0.02268913354103618,0.036052462735561425,0.020991373802623007
bert_2nd_last_sws_avg,weat6,0.0022269609991384318,5.990464634765561e-05,7.560199758716043e-05,8.835500896284098e-06
bert_2nd_last_sws_first,weat6,0.00034497755987125477,0.0004107418790571542,0.0007484978756006097,0.0004978878543864012
