strategy,test,target1,target2,attr1,attr2
bert_0_sws_avg,weat1,0.03792003972951672,0.04212138750503596,0.07573113914172884,0.0804740631489343
bert_0_sws_first,weat1,0.017005659182136954,0.02306112536166261,0.025488741747959842,0.015415075111497648
bert_2nd_last_sws_avg,weat1,0.0009023769634776476,0.0009444889949442696,0.0013110958920602854,0.0014128588588218243
bert_2nd_last_sws_first,weat1,0.0006813758017728089,0.00083435808715097,0.0007261700036581216,0.0006547941269687403
bert_all_sws_avg,weat1,0.012657051759404911,0.013202554164841401,0.019321142996274677,0.021190503152655995
bert_all_sws_first,weat1,0.0068901342220768075,0.0089241010541026,0.008263096872632466,0.006390485256302238
bert_last_CLS,weat1,0.0004192576369408463,0.0004063696190879397,0.00021124162039583728,0.00019530056574818726
bert_last_sws_avg,weat1,0.010143099751386513,0.010754111250698922,0.028561415944919812,0.024118276122520946
bert_last_sws_first,weat1,0.009158624256417983,0.009116259319980365,0.012545550346871662,0.009600410122243792
fasttext,weat1,0.010643665086709104,0.01667842033122359,0.01877780092185597,0.011954709972698978
bert_0_sws_avg,weat2,0.007172500483876568,0.005190683238628921,0.07573113914172884,0.0804740631489343
bert_0_sws_first,weat2,0.02138859024951014,0.008032796492755552,0.025488741747959842,0.015415075111497648
bert_2nd_last_sws_avg,weat2,6.724262867934744e-05,6.157440390819018e-05,0.0013110958920602854,0.0014128588588218243
bert_2nd_last_sws_first,weat2,0.0006385540426647899,0.0003937801480085792,0.0007261700036581216,0.0006547941269687403
bert_all_sws_avg,weat2,0.0012248282419799906,0.0009395567482733921,0.019321142996274677,0.021190503152655995
bert_all_sws_first,weat2,0.007141670520384737,0.003910665782508152,0.008263096872632466,0.006390485256302238
bert_last_CLS,weat2,0.0001383103724680065,0.0001658645787699359,0.00021124162039583728,0.00019530056574818726
bert_last_sws_avg,weat2,0.0013208580994640514,0.0010053763389190839,0.028561415944919812,0.024118276122520946
bert_last_sws_first,weat2,0.01116274517783784,0.0049662768958198605,0.012545550346871662,0.009600410122243792
fasttext,weat2,0.023670532600340147,0.01340069926730481,0.01877780092185597,0.011954709972698978
bert_0_sws_avg,weat6,0.07809261818804446,0.00366489880846039,0.113947928464868,0.06237218057175592
bert_0_sws_first,weat6,0.011890890932581792,0.0029051151495570952,0.025018989739043505,0.004540855979002237
bert_2nd_last_sws_avg,weat6,0.001333705011261567,2.793937856185559e-05,0.0019505458721785622,0.0014617714031566662
