Type,DataSource,Method,weat1,weat2,weat6,weat7,weat8,weat9
contextual,ALL,mono-bert-CLS,0.266 (0.139),0.315 (0.118),0.037 (0.477),1.022 (0.009),0.139 (0.381),-0.623 (0.905)
contextual,ALL,mono-bert-last-hidden-subword-first,0.744 (0.001),0.622 (0.009),-0.378 (0.768),1.179 (0.003),0.525 (0.122),1.168 (0.005)
contextual,ALL,mono-bert-last-hidden-subword-avg,0.230 (0.177),-0.128 (0.686),-0.375 (0.768),1.007 (0.010),0.200 (0.329),1.513 (0.000)
contextual,ALL,mono-bert-2nd-last-layer-subword-first,0.723 (0.001),0.674 (0.005),-0.503 (0.844),1.103 (0.005),0.338 (0.226),1.248 (0.003)
contextual,ALL,mono-bert-2nd-last-layer-subword-avg,0.160 (0.262),-0.103 (0.651),-0.564 (0.867),0.995 (0.011),0.097 (0.412),1.440 (0.000)
contextual,ALL,mono-bert-avg-all-hidden-subword-first,0.892 (0.000),0.485 (0.033),0.075 (0.442),0.945 (0.016),0.336 (0.229),1.012 (0.015)
contextual,ALL,mono-bert-avg-all-hidden-subword-avg,0.378 (0.060),-0.126 (0.681),0.020 (0.485),0.906 (0.021),0.317 (0.241),1.415 (0.000)
contextual,GT,mono-bert-CLS,0.284 (0.159),0.277 (0.167),0.477 (0.183),0.032 (0.476),-0.269 (0.675),-0.551 (0.812)
contextual,GT,mono-bert-last-hidden-subword-first,0.609 (0.015),0.456 (0.054),-0.967 (0.975),0.984 (0.022),0.492 (0.170),0.737 (0.107)
contextual,GT,mono-bert-last-hidden-subword-avg,0.241 (0.199),-0.042 (0.558),-1.132 (0.990),0.905 (0.032),0.492 (0.170),1.642 (0.000)
contextual,GT,mono-bert-2nd-last-layer-subword-first,0.596 (0.016),0.632 (0.012),-1.082 (0.986),0.842 (0.045),0.303 (0.294),0.899 (0.066)
contextual,GT,mono-bert-2nd-last-layer-subword-avg,0.236 (0.205),-0.050 (0.569),-1.234 (0.995),0.790 (0.056),0.303 (0.294),1.680 (0.000)
contextual,GT,mono-bert-avg-all-hidden-subword-first,0.588 (0.018),0.502 (0.038),-0.450 (0.811),0.707 (0.083),-0.034 (0.527),0.607 (0.155)
contextual,GT,mono-bert-avg-all-hidden-subword-avg,0.357 (0.106),0.023 (0.468),-0.642 (0.897),0.657 (0.100),-0.034 (0.527),1.651 (0.001)
contextual,HT,mono-bert-CLS,0.169 (0.276),0.352 (0.109),0.046 (0.468),0.689 (0.087),-0.148 (0.608),-0.969 (0.952)
contextual,HT,mono-bert-last-hidden-subword-first,0.770 (0.003),0.708 (0.006),-0.689 (0.912),0.942 (0.028),0.652 (0.102),0.762 (0.102)
contextual,HT,mono-bert-last-hidden-subword-avg,0.427 (0.065),0.135 (0.319),-0.676 (0.908),0.828 (0.049),0.652 (0.102),1.722 (0.000)
contextual,HT,mono-bert-2nd-last-layer-subword-first,0.739 (0.004),0.761 (0.003),-0.766 (0.935),1.037 (0.017),0.727 (0.077),0.785 (0.095)
contextual,HT,mono-bert-2nd-last-layer-subword-avg,0.358 (0.104),0.235 (0.205),-0.801 (0.945),1.091 (0.012),0.727 (0.077),1.720 (0.000)
contextual,HT,mono-bert-avg-all-hidden-subword-first,0.844 (0.001),0.551 (0.025),-0.257 (0.691),0.773 (0.063),0.244 (0.322),0.384 (0.259)
contextual,HT,mono-bert-avg-all-hidden-subword-avg,0.696 (0.006),0.170 (0.278),-0.340 (0.745),0.729 (0.076),0.244 (0.322),1.681 (0.000)
static,ALL,fasttext,1.048 (0.000),1.179 (0.000),1.629 (0.000),0.308 (0.245),-0.581 (0.905),0.131 (0.391)
static,ALL,mono-bert-layer-0-subword-first,0.868 (0.000),0.712 (0.003),1.234 (0.005),0.952 (0.016),-0.010 (0.499),0.566 (0.119)
static,ALL,mono-bert-layer-0-subword-avg,0.360 (0.070),0.054 (0.420),1.159 (0.008),0.922 (0.020),0.155 (0.358),1.425 (0.000)
static,GT,fasttext,1.128 (0.000),0.887 (0.001),1.727 (0.000),0.762 (0.066),-0.347 (0.745),0.969 (0.047)
static,GT,mono-bert-layer-0-subword-first,0.743 (0.003),0.647 (0.010),0.994 (0.020),1.030 (0.017),-0.085 (0.565),0.797 (0.087)
static,GT,mono-bert-layer-0-subword-avg,0.550 (0.025),0.240 (0.199),0.932 (0.029),0.982 (0.021),-0.085 (0.565),1.638 (0.001)
static,HT,fasttext,1.105 (0.000),1.035 (0.000),1.497 (0.001),0.727 (0.076),-0.434 (0.798),0.691 (0.110)
static,HT,mono-bert-layer-0-subword-first,0.923 (0.000),0.676 (0.007),0.980 (0.023),0.853 (0.044),-0.161 (0.621),0.615 (0.149)
static,HT,mono-bert-layer-0-subword-avg,0.843 (0.001),0.497 (0.039),0.848 (0.046),0.747 (0.070),-0.161 (0.621),1.646 (0.001)
