Type,DataSource,Method,weat1,weat2,weat6,weat7,weat8,weat9
contextual,ALL,mono-bert-CLS,0.643 (0.004),0.454 (0.028),0.794 (0.014),0.227 (0.266),0.459 (0.091),0.311 (0.198)
contextual,ALL,mono-bert-last-hidden-subword-first,0.437 (0.039),-0.257 (0.855),0.613 (0.113),0.552 (0.058),0.622 (0.033),0.565 (0.059)
contextual,ALL,mono-bert-last-hidden-subword-avg,0.070 (0.389),-0.090 (0.641),1.077 (0.014),0.525 (0.067),0.753 (0.011),0.302 (0.199)
contextual,ALL,mono-bert-2nd-last-layer-subword-first,0.609 (0.006),0.310 (0.097),0.831 (0.048),0.553 (0.056),0.687 (0.020),1.172 (0.000)
contextual,ALL,mono-bert-2nd-last-layer-subword-avg,0.171 (0.247),0.313 (0.095),1.339 (0.002),0.557 (0.054),0.804 (0.007),0.525 (0.073)
contextual,ALL,mono-bert-avg-all-hidden-subword-first,0.364 (0.073),0.301 (0.104),0.962 (0.024),0.716 (0.018),0.649 (0.026),0.909 (0.005)
contextual,ALL,mono-bert-avg-all-hidden-subword-avg,0.005 (0.491),0.239 (0.159),1.221 (0.006),0.751 (0.013),0.829 (0.005),0.408 (0.127)
contextual,GT,mono-bert-CLS,0.801 (0.001),0.073 (0.401),0.529 (0.168),-0.061 (0.541),0.208 (0.284),0.436 (0.236)
contextual,GT,mono-bert-last-hidden-subword-first,0.572 (0.021),-0.490 (0.959),0.123 (0.404),0.261 (0.311),0.415 (0.209),0.739 (0.142)
contextual,GT,mono-bert-last-hidden-subword-avg,0.011 (0.489),-0.614 (0.985),0.437 (0.194),0.340 (0.258),0.513 (0.159),0.613 (0.150)
contextual,GT,mono-bert-2nd-last-layer-subword-first,0.739 (0.004),0.029 (0.461),0.692 (0.087),0.401 (0.220),0.674 (0.092),1.025 (0.018)
contextual,GT,mono-bert-2nd-last-layer-subword-avg,0.014 (0.484),-0.353 (0.894),0.909 (0.034),0.357 (0.247),0.786 (0.057),0.923 (0.040)
contextual,GT,mono-bert-avg-all-hidden-subword-first,0.598 (0.017),0.226 (0.217),0.841 (0.046),0.754 (0.068),0.458 (0.189),1.123 (0.012)
contextual,GT,mono-bert-avg-all-hidden-subword-avg,-0.163 (0.715),-0.353 (0.894),0.873 (0.040),0.771 (0.063),0.573 (0.131),0.937 (0.048)
contextual,HT,mono-bert-CLS,0.747 (0.003),0.534 (0.028),1.033 (0.002),0.051 (0.468),0.208 (0.284),0.837 (0.074)
contextual,HT,mono-bert-last-hidden-subword-first,0.627 (0.012),-0.328 (0.875),0.616 (0.112),0.254 (0.314),0.415 (0.209),0.545 (0.211)
contextual,HT,mono-bert-last-hidden-subword-avg,-0.019 (0.529),-0.288 (0.846),1.084 (0.014),0.334 (0.258),0.513 (0.159),0.519 (0.207)
contextual,HT,mono-bert-2nd-last-layer-subword-first,0.764 (0.003),0.204 (0.237),1.051 (0.017),0.393 (0.225),0.674 (0.092),0.826 (0.057)
contextual,HT,mono-bert-2nd-last-layer-subword-avg,-0.018 (0.528),-0.094 (0.630),1.440 (0.001),0.351 (0.249),0.786 (0.057),0.719 (0.114)
contextual,HT,mono-bert-avg-all-hidden-subword-first,0.584 (0.019),0.371 (0.097),1.278 (0.003),0.660 (0.098),0.458 (0.189),0.741 (0.120)
contextual,HT,mono-bert-avg-all-hidden-subword-avg,-0.191 (0.748),-0.121 (0.665),1.345 (0.002),0.674 (0.093),0.573 (0.131),0.675 (0.141)
static,ALL,fasttext,0.565 (0.010),1.337 (0.000),1.375 (0.002),0.223 (0.267),0.473 (0.081),-0.360 (0.835)
static,ALL,mono-bert-layer-0-subword-first,0.322 (0.100),-0.144 (0.725),0.478 (0.178),0.306 (0.192),-0.530 (0.942),-0.004 (0.505)
static,ALL,mono-bert-layer-0-subword-avg,-0.057 (0.588),-0.039 (0.562),1.214 (0.006),0.452 (0.096),-0.274 (0.789),0.255 (0.243)
static,GT,fasttext,0.679 (0.007),1.199 (0.000),1.450 (0.001),0.943 (0.028),0.825 (0.049),-0.684 (0.874)
static,GT,mono-bert-layer-0-subword-first,0.399 (0.081),0.043 (0.443),0.334 (0.257),0.807 (0.056),-0.483 (0.802),0.915 (0.061)
static,GT,mono-bert-layer-0-subword-avg,-0.315 (0.864),-0.349 (0.891),0.545 (0.145),0.809 (0.055),-0.205 (0.681),0.805 (0.079)
static,HT,fasttext,0.708 (0.005),1.306 (0.000),1.423 (0.001),0.851 (0.045),0.825 (0.049),-0.601 (0.851)
static,HT,mono-bert-layer-0-subword-first,0.401 (0.080),-0.169 (0.724),0.438 (0.201),0.853 (0.044),-0.483 (0.802),0.625 (0.170)
static,HT,mono-bert-layer-0-subword-avg,-0.296 (0.849),-0.219 (0.781),1.207 (0.007),0.826 (0.049),-0.205 (0.681),0.654 (0.145)
