Type,DataSource,Method,weat1,weat2,weat6,weat7,weat8,weat9
contextual,ALL,mono-bert-CLS,0.780 (0.002),0.622 (0.012),0.488 (0.171),-0.096 (0.575),-0.176 (0.637),0.336 (0.287)
contextual,ALL,mono-bert-last-hidden-subword-first,0.298 (0.148),0.289 (0.158),0.151 (0.384),-0.074 (0.556),0.480 (0.192),0.134 (0.417)
contextual,ALL,mono-bert-last-hidden-subword-avg,0.350 (0.110),0.170 (0.277),0.540 (0.172),-0.418 (0.798),0.486 (0.167),0.636 (0.177)
contextual,ALL,mono-bert-2nd-last-layer-subword-first,0.200 (0.241),0.405 (0.077),0.122 (0.407),-0.128 (0.597),0.509 (0.166),0.054 (0.460)
contextual,ALL,mono-bert-2nd-last-layer-subword-avg,0.312 (0.136),0.166 (0.281),0.540 (0.169),-0.604 (0.888),0.457 (0.178),0.318 (0.286)
contextual,ALL,mono-bert-avg-all-hidden-subword-first,0.021 (0.471),0.481 (0.045),0.193 (0.354),-0.134 (0.605),0.564 (0.130),0.581 (0.162)
contextual,ALL,mono-bert-avg-all-hidden-subword-avg,0.314 (0.135),0.096 (0.369),0.622 (0.125),-0.568 (0.859),0.444 (0.182),0.799 (0.082)
contextual,GT,mono-bert-CLS,1.049 (0.000),0.651 (0.010),-0.328 (0.736),0.438 (0.206),-0.600 (0.873),0.522 (0.190)
contextual,GT,mono-bert-last-hidden-subword-first,0.482 (0.044),-0.259 (0.813),0.057 (0.456),0.351 (0.251),-0.147 (0.607),0.861 (0.077)
contextual,GT,mono-bert-last-hidden-subword-avg,0.266 (0.175),0.039 (0.447),-0.036 (0.528),0.064 (0.451),0.017 (0.488),0.475 (0.237)
contextual,GT,mono-bert-2nd-last-layer-subword-first,0.456 (0.054),-0.163 (0.711),-0.012 (0.510),0.351 (0.248),-0.089 (0.568),0.782 (0.111)
contextual,GT,mono-bert-2nd-last-layer-subword-avg,0.291 (0.152),0.109 (0.353),0.001 (0.499),0.110 (0.417),0.056 (0.458),0.338 (0.288)
contextual,GT,mono-bert-avg-all-hidden-subword-first,0.331 (0.124),0.036 (0.452),0.132 (0.400),0.237 (0.320),-0.033 (0.525),0.729 (0.118)
contextual,GT,mono-bert-avg-all-hidden-subword-avg,0.265 (0.174),0.272 (0.171),0.105 (0.418),0.047 (0.465),0.121 (0.400),1.200 (0.014)
contextual,HT,mono-bert-CLS,0.681 (0.007),0.717 (0.004),0.488 (0.171),-0.032 (0.523),-0.645 (0.897),0.336 (0.287)
contextual,HT,mono-bert-last-hidden-subword-first,0.296 (0.149),0.155 (0.298),0.151 (0.384),0.082 (0.441),-0.029 (0.519),0.134 (0.417)
contextual,HT,mono-bert-last-hidden-subword-avg,0.373 (0.094),0.326 (0.127),0.540 (0.172),-0.210 (0.656),0.312 (0.271),0.636 (0.177)
contextual,HT,mono-bert-2nd-last-layer-subword-first,0.214 (0.226),0.290 (0.158),0.122 (0.407),0.112 (0.419),-0.068 (0.552),0.054 (0.460)
contextual,HT,mono-bert-2nd-last-layer-subword-avg,0.327 (0.124),0.431 (0.065),0.540 (0.169),-0.318 (0.723),0.347 (0.249),0.318 (0.286)
contextual,HT,mono-bert-avg-all-hidden-subword-first,0.023 (0.466),0.455 (0.054),0.193 (0.354),0.149 (0.390),0.033 (0.474),0.581 (0.162)
contextual,HT,mono-bert-avg-all-hidden-subword-avg,0.274 (0.168),0.619 (0.014),0.622 (0.125),-0.449 (0.780),0.424 (0.209),0.799 (0.082)
static,ALL,fasttext,1.086 (0.000),1.294 (0.000),1.068 (0.015),0.891 (0.033),0.494 (0.167),0.838 (0.078)
static,ALL,mono-bert-layer-0-subword-first,0.000 (0.000),0.000 (0.000),0.000 (0.000),0.000 (0.000),0.000 (0.000),0.000 (0.000)
static,ALL,mono-bert-layer-0-subword-avg,0.000 (0.000),0.000 (0.000),0.000 (0.000),0.000 (0.000),0.000 (0.000),0.000 (0.000)
static,GT,fasttext,1.149 (0.000),1.321 (0.000),1.265 (0.004),1.006 (0.021),0.989 (0.022),-0.248 (0.670)
static,GT,mono-bert-layer-0-subword-first,0.000 (0.000),0.000 (0.000),0.000 (0.000),0.000 (0.000),0.000 (0.000),0.000 (0.000)
static,GT,mono-bert-layer-0-subword-avg,0.000 (0.000),0.000 (0.000),0.000 (0.000),0.000 (0.000),0.000 (0.000),0.000 (0.000)
static,HT,fasttext,1.030 (0.000),1.305 (0.000),1.068 (0.015),0.939 (0.030),0.921 (0.023),0.838 (0.078)
static,HT,mono-bert-layer-0-subword-first,0.000 (0.000),0.000 (0.000),0.000 (0.000),0.000 (0.000),0.000 (0.000),0.000 (0.000)
static,HT,mono-bert-layer-0-subword-avg,0.000 (0.000),0.000 (0.000),0.000 (0.000),0.000 (0.000),0.000 (0.000),0.000 (0.000)
