Type,DataSource,Method,weat1,weat2,weat6,weat7,weat8,weat9
contextual,ALL,distilbert-CLS,0.355 (0.090),1.063 (0.000),0.759 (0.065),0.965 (0.004),0.070 (0.430),-0.235 (0.708)
contextual,ALL,distilbert-last-hidden-subword-first,0.453 (0.042),0.140 (0.305),-0.044 (0.533),0.852 (0.012),0.301 (0.224),-0.029 (0.528)
contextual,ALL,distilbert-last-hidden-subword-avg,0.092 (0.369),0.318 (0.124),-0.083 (0.539),-0.035 (0.535),0.437 (0.131),0.449 (0.153)
contextual,ALL,distilbert-2nd-last-layer-subword-first,0.489 (0.030),0.208 (0.223),-0.407 (0.779),0.703 (0.033),0.373 (0.175),-0.055 (0.551)
contextual,ALL,distilbert-2nd-last-layer-subword-avg,0.054 (0.422),0.217 (0.219),-0.195 (0.627),-0.114 (0.614),0.493 (0.101),0.400 (0.182)
contextual,ALL,distilbert-avg-all-hidden-subword-first,0.494 (0.029),0.218 (0.213),0.460 (0.196),0.638 (0.048),0.203 (0.310),-0.100 (0.592)
contextual,ALL,distilbert-avg-all-hidden-subword-avg,0.023 (0.468),0.197 (0.241),0.335 (0.321),-0.078 (0.579),0.426 (0.135),0.583 (0.090)
contextual,GT,distilbert-CLS,0.460 (0.052),0.843 (0.001),1.417 (0.000),0.946 (0.028),0.777 (0.062),-0.115 (0.568)
contextual,GT,distilbert-last-hidden-subword-first,0.567 (0.022),0.405 (0.079),1.251 (0.003),1.067 (0.015),0.855 (0.043),-0.552 (0.816)
contextual,GT,distilbert-last-hidden-subword-avg,0.447 (0.057),0.555 (0.023),1.250 (0.000),1.243 (0.005),0.819 (0.053),1.099 (0.022)
contextual,GT,distilbert-2nd-last-layer-subword-first,0.546 (0.026),0.386 (0.089),0.798 (0.057),0.764 (0.065),0.711 (0.079),-0.030 (0.525)
contextual,GT,distilbert-2nd-last-layer-subword-avg,0.389 (0.086),0.485 (0.043),1.030 (0.011),0.904 (0.034),0.686 (0.098),1.060 (0.035)
contextual,GT,distilbert-avg-all-hidden-subword-first,0.466 (0.051),0.409 (0.077),1.486 (0.000),0.730 (0.075),0.580 (0.141),-0.054 (0.527)
contextual,GT,distilbert-avg-all-hidden-subword-avg,0.290 (0.158),0.366 (0.101),1.284 (0.000),0.794 (0.058),0.617 (0.134),1.129 (0.026)
contextual,HT,distilbert-CLS,0.460 (0.052),0.843 (0.001),1.329 (0.000),0.946 (0.028),0.777 (0.062),-0.115 (0.568)
contextual,HT,distilbert-last-hidden-subword-first,0.567 (0.022),0.405 (0.079),1.017 (0.012),1.067 (0.015),0.855 (0.043),-0.552 (0.816)
contextual,HT,distilbert-last-hidden-subword-avg,0.447 (0.057),0.555 (0.023),0.352 (0.278),1.243 (0.005),0.819 (0.053),1.099 (0.022)
contextual,HT,distilbert-2nd-last-layer-subword-first,0.546 (0.026),0.386 (0.089),0.698 (0.079),0.764 (0.065),0.711 (0.079),-0.030 (0.525)
contextual,HT,distilbert-2nd-last-layer-subword-avg,0.389 (0.086),0.485 (0.043),0.092 (0.468),0.904 (0.034),0.686 (0.098),1.060 (0.035)
contextual,HT,distilbert-avg-all-hidden-subword-first,0.466 (0.051),0.409 (0.077),0.943 (0.021),0.730 (0.075),0.580 (0.141),-0.054 (0.527)
contextual,HT,distilbert-avg-all-hidden-subword-avg,0.290 (0.158),0.366 (0.101),0.325 (0.272),0.794 (0.058),0.617 (0.134),1.129 (0.026)
static,ALL,fasttext,1.329 (0.000),1.609 (0.000),1.289 (0.003),-0.578 (0.932),-0.202 (0.686),0.975 (0.009)
static,ALL,distilbert-layer-0-subword-first,0.476 (0.033),0.099 (0.359),0.795 (0.058),0.367 (0.180),0.088 (0.417),0.104 (0.408)
static,ALL,distilbert-layer-0-subword-avg,0.019 (0.473),0.165 (0.278),0.535 (0.171),-0.168 (0.664),0.405 (0.148),0.670 (0.063)
static,GT,fasttext,1.353 (0.000),1.594 (0.000),1.536 (0.000),-0.450 (0.804),-0.280 (0.687),1.300 (0.008)
static,GT,distilbert-layer-0-subword-first,0.345 (0.114),0.314 (0.138),1.511 (0.000),0.334 (0.262),0.512 (0.191),0.383 (0.269)
static,GT,distilbert-layer-0-subword-avg,0.195 (0.250),0.157 (0.296),1.266 (0.000),0.129 (0.400),0.610 (0.145),1.128 (0.026)
static,HT,fasttext,1.353 (0.000),1.594 (0.000),1.259 (0.004),-0.450 (0.804),-0.280 (0.687),1.300 (0.008)
static,HT,distilbert-layer-0-subword-first,0.345 (0.114),0.314 (0.138),0.965 (0.024),0.334 (0.262),0.512 (0.191),0.383 (0.269)
static,HT,distilbert-layer-0-subword-avg,0.195 (0.250),0.157 (0.296),0.336 (0.253),0.129 (0.400),0.610 (0.145),1.128 (0.026)
