Type,DataSource,Method,weat1,weat2,weat6,weat7,weat8,weat9
contextual,ALL,distilbert-CLS,0.640 (0.011),0.457 (0.046),1.500 (0.001),1.350 (0.001),0.573 (0.122),-0.020 (0.516)
contextual,ALL,distilbert-last-hidden-subword-first,0.406 (0.077),0.127 (0.323),0.862 (0.042),1.080 (0.011),0.717 (0.072),-0.702 (0.885)
contextual,ALL,distilbert-last-hidden-subword-avg,0.585 (0.018),-0.149 (0.707),0.965 (0.026),0.507 (0.153),0.230 (0.324),-1.101 (0.976)
contextual,ALL,distilbert-2nd-last-layer-subword-first,0.462 (0.052),0.127 (0.322),0.663 (0.096),0.711 (0.074),0.591 (0.115),-0.754 (0.905)
contextual,ALL,distilbert-2nd-last-layer-subword-avg,0.560 (0.023),-0.135 (0.689),0.787 (0.060),0.146 (0.382),0.154 (0.379),-1.125 (0.977)
contextual,ALL,distilbert-avg-all-hidden-subword-first,0.621 (0.014),0.237 (0.194),0.914 (0.033),0.789 (0.056),0.374 (0.229),-0.583 (0.811)
contextual,ALL,distilbert-avg-all-hidden-subword-avg,0.621 (0.012),-0.127 (0.679),1.123 (0.010),-0.002 (0.501),-0.066 (0.551),-0.540 (0.811)
contextual,GT,distilbert-CLS,0.782 (0.002),0.876 (0.001),1.363 (0.001),1.235 (0.005),0.144 (0.393),-1.144 (0.979)
contextual,GT,distilbert-last-hidden-subword-first,0.351 (0.111),0.398 (0.081),0.740 (0.069),1.206 (0.006),0.039 (0.473),-1.104 (0.972)
contextual,GT,distilbert-last-hidden-subword-avg,0.502 (0.039),-0.101 (0.643),0.887 (0.037),0.764 (0.065),-0.310 (0.717),-0.732 (0.886)
contextual,GT,distilbert-2nd-last-layer-subword-first,0.378 (0.095),0.245 (0.196),0.533 (0.172),0.958 (0.026),-0.027 (0.521),-0.935 (0.944)
contextual,GT,distilbert-2nd-last-layer-subword-avg,0.468 (0.052),-0.063 (0.591),0.769 (0.055),0.577 (0.127),-0.221 (0.663),-1.035 (0.965)
contextual,GT,distilbert-avg-all-hidden-subword-first,0.600 (0.016),0.285 (0.161),0.807 (0.037),1.057 (0.015),-0.209 (0.636),-0.921 (0.945)
contextual,GT,distilbert-avg-all-hidden-subword-avg,0.482 (0.046),-0.130 (0.679),0.912 (0.035),0.468 (0.176),-0.295 (0.714),0.140 (0.412)
contextual,HT,distilbert-CLS,0.787 (0.002),0.820 (0.002),1.500 (0.001),1.540 (0.000),0.322 (0.267),-0.020 (0.516)
contextual,HT,distilbert-last-hidden-subword-first,0.304 (0.145),0.524 (0.032),0.862 (0.042),1.433 (0.001),-0.370 (0.757),-0.702 (0.885)
contextual,HT,distilbert-last-hidden-subword-avg,0.612 (0.013),-0.024 (0.536),0.965 (0.026),1.501 (0.000),-0.540 (0.849),-1.101 (0.976)
contextual,HT,distilbert-2nd-last-layer-subword-first,0.382 (0.091),0.440 (0.060),0.663 (0.096),1.387 (0.001),-0.411 (0.769),-0.754 (0.905)
contextual,HT,distilbert-2nd-last-layer-subword-avg,0.565 (0.021),0.011 (0.486),0.787 (0.060),1.450 (0.000),-0.542 (0.848),-1.125 (0.977)
contextual,HT,distilbert-avg-all-hidden-subword-first,0.679 (0.007),0.466 (0.050),0.914 (0.033),1.027 (0.018),-0.350 (0.745),-0.583 (0.811)
contextual,HT,distilbert-avg-all-hidden-subword-avg,0.616 (0.013),-0.005 (0.509),1.123 (0.010),1.160 (0.008),-0.531 (0.849),-0.540 (0.811)
static,ALL,fasttext,1.479 (0.000),1.467 (0.000),1.162 (0.009),0.734 (0.067),0.354 (0.239),0.941 (0.056)
static,ALL,distilbert-layer-0-subword-first,0.691 (0.006),0.169 (0.270),1.010 (0.020),0.439 (0.195),0.207 (0.340),-0.580 (0.841)
static,ALL,distilbert-layer-0-subword-avg,0.704 (0.004),-0.103 (0.648),1.213 (0.006),-0.262 (0.699),-0.127 (0.599),0.407 (0.249)
static,GT,fasttext,1.319 (0.000),1.344 (0.000),1.318 (0.001),0.727 (0.076),-0.152 (0.618),1.032 (0.036)
static,GT,distilbert-layer-0-subword-first,0.663 (0.009),0.066 (0.411),0.927 (0.012),0.784 (0.061),0.029 (0.478),-1.135 (0.976)
static,GT,distilbert-layer-0-subword-avg,0.516 (0.035),-0.159 (0.716),0.889 (0.037),0.365 (0.237),-0.193 (0.646),0.605 (0.155)
static,HT,fasttext,1.463 (0.000),1.446 (0.000),1.162 (0.009),1.054 (0.016),0.182 (0.364),0.941 (0.056)
static,HT,distilbert-layer-0-subword-first,0.682 (0.007),0.265 (0.178),1.010 (0.020),0.448 (0.199),0.059 (0.456),-0.580 (0.841)
static,HT,distilbert-layer-0-subword-avg,0.664 (0.007),-0.023 (0.536),1.213 (0.006),0.391 (0.230),-0.423 (0.792),0.407 (0.249)
