Type,DataSource,Method,weat1,weat2,weat6,weat7,weat8,weat9
contextual,ALL,distilbert-CLS,0.572 (0.013),0.019 (0.472),-0.544 (0.855),-0.215 (0.699),-0.310 (0.771),0.311 (0.258)
contextual,ALL,distilbert-last-hidden-subword-first,0.504 (0.023),-0.084 (0.625),0.049 (0.466),0.126 (0.382),-0.556 (0.911),-1.034 (0.988)
contextual,ALL,distilbert-last-hidden-subword-avg,1.114 (0.000),-0.186 (0.762),-0.329 (0.735),0.704 (0.035),0.103 (0.404),0.471 (0.161)
contextual,ALL,distilbert-2nd-last-layer-subword-first,0.612 (0.007),-0.162 (0.730),-0.009 (0.506),0.134 (0.377),-0.497 (0.881),-1.047 (0.989)
contextual,ALL,distilbert-2nd-last-layer-subword-avg,1.041 (0.000),-0.218 (0.799),-0.852 (0.958),0.788 (0.023),0.107 (0.401),0.495 (0.155)
contextual,ALL,distilbert-avg-all-hidden-subword-first,0.666 (0.002),0.019 (0.474),0.028 (0.480),0.265 (0.264),-0.386 (0.824),-0.922 (0.976)
contextual,ALL,distilbert-avg-all-hidden-subword-avg,1.062 (0.000),-0.165 (0.738),-0.310 (0.721),0.629 (0.059),-0.204 (0.684),-0.238 (0.688)
contextual,GT,distilbert-CLS,0.098 (0.366),-0.019 (0.525),0.808 (0.054),-0.227 (0.669),0.233 (0.308),0.102 (0.428)
contextual,GT,distilbert-last-hidden-subword-first,0.023 (0.467),0.110 (0.353),0.323 (0.317),0.041 (0.477),-0.426 (0.819),-0.878 (0.955)
contextual,GT,distilbert-last-hidden-subword-avg,0.725 (0.004),-0.143 (0.692),-0.338 (0.740),0.274 (0.315),0.204 (0.333),-0.028 (0.519)
contextual,GT,distilbert-2nd-last-layer-subword-first,0.190 (0.262),-0.067 (0.593),0.459 (0.228),0.069 (0.455),-0.264 (0.710),-0.919 (0.957)
contextual,GT,distilbert-2nd-last-layer-subword-avg,0.813 (0.001),-0.066 (0.591),-0.312 (0.724),0.395 (0.224),0.429 (0.178),0.011 (0.489)
contextual,GT,distilbert-avg-all-hidden-subword-first,0.114 (0.365),0.130 (0.329),0.465 (0.249),0.079 (0.445),-0.377 (0.796),-0.785 (0.934)
contextual,GT,distilbert-avg-all-hidden-subword-avg,0.785 (0.002),0.119 (0.340),-0.215 (0.650),0.184 (0.378),0.028 (0.475),-0.510 (0.835)
contextual,HT,distilbert-CLS,0.255 (0.186),0.094 (0.371),-0.657 (0.902),-0.359 (0.757),-0.142 (0.616),0.265 (0.310)
contextual,HT,distilbert-last-hidden-subword-first,0.326 (0.137),0.417 (0.072),-0.554 (0.856),0.426 (0.205),-0.474 (0.842),-1.066 (0.981)
contextual,HT,distilbert-last-hidden-subword-avg,0.973 (0.000),0.005 (0.494),0.297 (0.287),0.498 (0.172),0.358 (0.225),0.079 (0.440)
contextual,HT,distilbert-2nd-last-layer-subword-first,0.434 (0.063),0.213 (0.232),-0.712 (0.918),0.482 (0.172),-0.315 (0.743),-1.107 (0.983)
contextual,HT,distilbert-2nd-last-layer-subword-avg,0.954 (0.000),-0.021 (0.529),0.603 (0.117),0.664 (0.096),0.459 (0.162),0.029 (0.476)
contextual,HT,distilbert-avg-all-hidden-subword-first,0.181 (0.276),0.443 (0.060),-0.603 (0.876),0.522 (0.161),-0.263 (0.701),-1.004 (0.976)
contextual,HT,distilbert-avg-all-hidden-subword-avg,0.863 (0.001),0.151 (0.300),0.700 (0.086),0.434 (0.216),0.201 (0.333),-0.684 (0.906)
static,ALL,fasttext,0.948 (0.000),1.006 (0.000),-0.191 (0.639),-0.303 (0.768),-0.955 (0.992),1.081 (0.009)
static,ALL,distilbert-layer-0-subword-first,0.761 (0.000),0.009 (0.490),0.135 (0.402),0.324 (0.216),-0.102 (0.594),-0.858 (0.967)
static,ALL,distilbert-layer-0-subword-avg,1.059 (0.000),-0.084 (0.624),0.420 (0.214),0.526 (0.098),-0.206 (0.687),-0.744 (0.941)
static,GT,fasttext,0.595 (0.017),0.943 (0.000),-0.409 (0.784),0.299 (0.283),-0.213 (0.677),1.032 (0.021)
static,GT,distilbert-layer-0-subword-first,0.195 (0.270),0.040 (0.445),0.618 (0.144),0.123 (0.407),-0.274 (0.715),-0.762 (0.927)
static,GT,distilbert-layer-0-subword-avg,0.527 (0.030),0.202 (0.246),-0.036 (0.527),-0.072 (0.539),-0.186 (0.651),-0.875 (0.949)
static,HT,fasttext,0.840 (0.001),0.994 (0.000),-0.054 (0.540),-0.506 (0.835),-0.858 (0.969),0.973 (0.028)
static,HT,distilbert-layer-0-subword-first,0.209 (0.245),0.383 (0.090),-0.492 (0.829),0.572 (0.126),-0.092 (0.578),-1.011 (0.975)
static,HT,distilbert-layer-0-subword-avg,0.669 (0.007),0.347 (0.113),0.668 (0.093),0.169 (0.378),0.022 (0.534),-1.076 (0.982)
