Type,DataSource,Method,weat11,weat12,weat13,weat14,weat15
contextual,NEW_HT,distilbert-CLS,-0.670 (0.932),0.039 (0.467),0.005 (0.495),-0.019 (0.517),0.622 (0.085)
contextual,NEW_HT,distilbert-last-hidden-subword-first,0.638 (0.082),0.493 (0.141),-0.669 (0.925),0.205 (0.329),0.634 (0.079)
contextual,NEW_HT,distilbert-last-hidden-subword-avg,-0.142 (0.620),0.186 (0.349),-0.558 (0.891),-0.546 (0.882),0.547 (0.115)
contextual,NEW_HT,distilbert-2nd-last-layer-subword-first,0.652 (0.074),0.595 (0.096),-0.535 (0.878),0.218 (0.317),0.607 (0.088)
contextual,NEW_HT,distilbert-2nd-last-layer-subword-avg,-0.027 (0.525),0.296 (0.269),-0.404 (0.811),-0.365 (0.782),0.915 (0.018)
contextual,NEW_HT,distilbert-avg-all-hidden-subword-first,0.818 (0.030),0.474 (0.150),-0.820 (0.969),0.273 (0.284),0.547 (0.116)
contextual,NEW_HT,distilbert-avg-all-hidden-subword-avg,-0.317 (0.749),0.016 (0.492),-0.974 (0.988),-0.303 (0.654),0.716 (0.055)
static,NEW_HT,fasttext,-0.514 (0.871),-0.232 (0.693),-0.833 (0.968),0.623 (0.084),0.158 (0.367)
static,NEW_HT,distilbert-layer-0-subword-first,0.755 (0.045),0.455 (0.162),-0.886 (0.984),0.351 (0.232),0.503 (0.136)
static,NEW_HT,distilbert-layer-0-subword-avg,-0.090 (0.578),0.301 (0.327),-1.137 (0.997),-0.219 (0.545),0.480 (0.166)
