Type,DataSource,Method,weat16,weat17,weat18,weat19,weat20,weat21,weat22,weat23,weat24,weat25,weat26
contextual,HT,distilbert-CLS,0.574 (0.177),0.083 (0.435),-0.020 (0.517),0.709 (0.068),0.306 (0.274),0.975 (0.029),0.624 (0.140),0.710 (0.099),0.210 (0.353),1.229 (0.008),0.457 (0.220)
contextual,HT,distilbert-last-hidden-subword-first,0.619 (0.129),-0.011 (0.528),-0.202 (0.655),0.903 (0.026),-0.499 (0.834),0.193 (0.369),-0.437 (0.778),0.003 (0.497),0.004 (0.497),0.213 (0.354),-0.785 (0.923)
contextual,HT,distilbert-last-hidden-subword-avg,0.732 (0.090),-0.571 (0.858),-0.110 (0.594),0.356 (0.233),-0.777 (0.938),0.370 (0.253),-0.203 (0.640),-0.275 (0.642),0.590 (0.149),-0.709 (0.902),0.149 (0.479)
contextual,HT,distilbert-2nd-last-layer-subword-first,0.506 (0.174),0.041 (0.467),-0.222 (0.677),0.974 (0.018),-0.540 (0.854),0.154 (0.397),-0.481 (0.798),-0.156 (0.620),0.097 (0.425),0.318 (0.285),-0.590 (0.866)
contextual,HT,distilbert-2nd-last-layer-subword-avg,0.666 (0.106),0.096 (0.421),-0.097 (0.580),0.711 (0.078),-0.716 (0.948),0.395 (0.238),0.011 (0.492),-0.273 (0.673),0.467 (0.248),-0.491 (0.810),0.250 (0.462)
contextual,HT,distilbert-avg-all-hidden-subword-first,0.718 (0.096),0.050 (0.447),-0.227 (0.681),1.084 (0.008),-0.608 (0.882),0.252 (0.346),-0.629 (0.871),-0.175 (0.626),-0.159 (0.614),0.644 (0.139),-0.522 (0.828)
contextual,HT,distilbert-avg-all-hidden-subword-avg,0.932 (0.032),0.134 (0.400),-0.103 (0.597),0.778 (0.051),-0.777 (0.957),0.041 (0.472),-0.397 (0.761),-0.291 (0.671),0.215 (0.350),0.121 (0.416),0.218 (0.458)
static,HT,fasttext,0.734 (0.091),0.447 (0.191),-0.105 (0.582),0.338 (0.241),0.683 (0.092),0.898 (0.045),-0.684 (0.896),0.774 (0.075),0.865 (0.055),1.577 (0.000),0.707 (0.103)
static,HT,distilbert-layer-0-subword-first,0.760 (0.072),0.084 (0.388),-0.221 (0.674),1.037 (0.010),-0.557 (0.861),0.198 (0.396),-0.767 (0.920),-0.285 (0.706),-0.289 (0.693),0.682 (0.138),-0.248 (0.653)
static,HT,distilbert-layer-0-subword-avg,1.064 (0.020),0.333 (0.267),-0.114 (0.599),0.964 (0.011),-0.747 (0.930),0.319 (0.297),-0.749 (0.916),-0.500 (0.779),-0.185 (0.626),0.548 (0.163),0.288 (0.433)
