Type,DataSource,Method,weat16,weat17,weat18,weat19,weat20,weat21,weat22,weat23,weat24,weat25,weat26
contextual,HT,indic-bert-CLS,-0.123 (0.588),0.000 (0.498),0.192 (0.333),-0.036 (0.529),-0.009 (0.524),1.109 (0.019),-0.484 (0.806),0.197 (0.363),0.509 (0.184),-0.433 (0.786),-0.464 (0.802)
contextual,HT,indic-bert-last-hidden-subword-first,0.690 (0.097),-0.000 (0.503),0.434 (0.182),-0.610 (0.898),-0.580 (0.860),0.242 (0.330),-0.568 (0.835),0.502 (0.251),0.504 (0.261),0.302 (0.289),0.351 (0.265)
contextual,HT,indic-bert-last-hidden-subword-avg,0.004 (0.498),0.000 (0.490),0.458 (0.165),-0.782 (0.952),-0.336 (0.717),0.271 (0.316),-0.527 (0.821),0.779 (0.073),0.113 (0.456),0.336 (0.287),0.524 (0.177)
contextual,HT,indic-bert-2nd-last-layer-subword-first,0.706 (0.108),0.000 (0.490),0.305 (0.263),-0.607 (0.898),-0.672 (0.911),0.190 (0.366),-0.567 (0.833),0.492 (0.248),0.559 (0.191),0.279 (0.310),0.358 (0.258)
contextual,HT,indic-bert-2nd-last-layer-subword-avg,0.122 (0.420),-0.000 (0.507),0.414 (0.195),-0.816 (0.959),-0.487 (0.797),0.178 (0.377),-0.491 (0.799),0.769 (0.079),0.189 (0.402),0.374 (0.253),0.480 (0.199)
contextual,HT,indic-bert-avg-all-hidden-subword-first,0.219 (0.333),0.000 (0.495),0.167 (0.364),-0.049 (0.539),-0.603 (0.874),0.138 (0.404),-0.842 (0.940),0.788 (0.054),0.726 (0.094),0.530 (0.179),0.541 (0.163)
contextual,HT,indic-bert-avg-all-hidden-subword-avg,-0.818 (0.934),0.000 (0.495),0.006 (0.497),0.187 (0.350),-0.523 (0.814),0.343 (0.278),-0.469 (0.796),0.655 (0.116),0.152 (0.425),0.331 (0.286),0.321 (0.290)
static,HT,fasttext,1.729 (0.000),1.827 (0.000),0.497 (0.143),0.271 (0.302),0.671 (0.092),0.398 (0.236),0.418 (0.223),1.222 (0.011),1.161 (0.013),1.480 (0.002),1.390 (0.003)
static,HT,indic-bert-layer-0-subword-first,-0.547 (0.841),0.000 (0.498),-0.267 (0.716),0.525 (0.143),-0.478 (0.795),0.069 (0.450),-0.973 (0.970),1.100 (0.007),0.715 (0.091),0.698 (0.102),0.339 (0.271)
static,HT,indic-bert-layer-0-subword-avg,-0.986 (0.965),0.000 (0.496),-0.040 (0.535),0.443 (0.181),-0.437 (0.789),0.509 (0.176),-0.373 (0.744),0.843 (0.059),-0.020 (0.508),0.412 (0.226),0.161 (0.390)
