Type,DataSource,Method,weat16,weat17,weat18,weat19,weat20,weat21,weat22,weat23,weat24,weat25,weat26
contextual,HT,mono-bert-CLS,-0.087 (0.531),1.259 (0.001),0.184 (0.350),-0.666 (0.914),0.816 (0.053),0.559 (0.177),-0.405 (0.766),0.529 (0.180),0.157 (0.374),0.845 (0.049),-0.212 (0.697)
contextual,HT,mono-bert-last-hidden-subword-first,0.268 (0.313),1.501 (0.000),0.470 (0.159),0.775 (0.049),0.232 (0.321),1.056 (0.023),0.976 (0.032),-0.064 (0.545),0.323 (0.295),0.555 (0.172),0.556 (0.160)
contextual,HT,mono-bert-last-hidden-subword-avg,-0.053 (0.538),1.546 (0.000),0.425 (0.182),0.690 (0.068),0.448 (0.189),1.006 (0.030),0.698 (0.098),0.308 (0.292),0.045 (0.471),0.605 (0.149),0.716 (0.093)
contextual,HT,mono-bert-2nd-last-layer-subword-first,-0.049 (0.532),1.412 (0.001),0.464 (0.164),0.702 (0.071),0.579 (0.129),1.170 (0.011),0.525 (0.162),0.385 (0.243),0.226 (0.343),0.845 (0.061),0.252 (0.311)
contextual,HT,mono-bert-2nd-last-layer-subword-avg,-0.380 (0.752),1.358 (0.001),0.403 (0.196),0.560 (0.132),0.750 (0.067),0.814 (0.059),0.409 (0.216),0.742 (0.083),-0.069 (0.552),0.962 (0.037),0.413 (0.212)
contextual,HT,mono-bert-avg-all-hidden-subword-first,0.043 (0.463),1.496 (0.000),0.652 (0.080),0.899 (0.026),0.732 (0.075),1.178 (0.011),0.573 (0.157),-0.264 (0.690),-0.035 (0.523),0.608 (0.145),0.645 (0.127)
contextual,HT,mono-bert-avg-all-hidden-subword-avg,-0.289 (0.691),1.610 (0.000),0.572 (0.110),0.640 (0.093),0.884 (0.039),0.806 (0.054),0.390 (0.227),0.557 (0.156),-0.005 (0.505),0.771 (0.089),0.521 (0.125)
static,HT,fasttext,1.729 (0.000),1.827 (0.000),0.497 (0.143),0.271 (0.302),0.671 (0.092),0.398 (0.236),0.418 (0.223),1.222 (0.011),1.161 (0.013),1.480 (0.002),1.390 (0.003)
static,HT,mono-bert-layer-0-subword-first,-0.250 (0.669),0.990 (0.022),0.247 (0.298),-0.014 (0.512),0.574 (0.133),1.231 (0.008),0.895 (0.044),-0.031 (0.519),-0.572 (0.854),0.826 (0.062),0.829 (0.057)
static,HT,mono-bert-layer-0-subword-avg,-0.381 (0.711),1.062 (0.017),0.226 (0.319),-0.292 (0.725),0.822 (0.041),0.826 (0.051),0.433 (0.177),0.713 (0.094),-0.557 (0.843),0.821 (0.063),0.464 (0.179)
