strategy,test,target1,target2,attr1,attr2
bert_0_sws_avg,weat1,0.008111317442366902,0.005755489263783849,0.08525995965614634,0.1070742186276774
bert_0_sws_avg,weat2,0.012213486270948112,0.009825582959983868,0.08525995965614634,0.1070742186276774
bert_0_sws_avg,weat6,0.011035553758733057,0.005443300183452903,0.10675980390429482,0.11187462818010514
bert_0_sws_avg,weat7,0.09503046765415227,0.14002608740243738,0.04689870202489286,0.04173487862979945
bert_0_sws_avg,weat8,0.1311216551993484,0.14002608740243738,0.04689870202489286,0.04173487862979945
bert_0_sws_avg,weat9,0.014527036743672582,0.12227876324756899,0.02490916458707871,0.14472726236637973
bert_0_sws_first,weat1,0.11026577210425424,0.12511827181534377,0.02224142979122356,0.029789981019272774
bert_0_sws_first,weat2,0.12003767269606679,0.05053973206324291,0.02224142979122356,0.029789981019272774
bert_0_sws_first,weat6,0.00915813514298988,0.004116493759166324,0.026201137337239867,0.04105550085187223
bert_0_sws_first,weat7,0.04245253032122382,0.03880217593304089,0.02716631311255538,0.018519759624178764
bert_0_sws_first,weat8,0.02768507263964313,0.03880217593304089,0.02716631311255538,0.018519759624178764
bert_0_sws_first,weat9,0.022892178581530965,0.056779762575848075,0.05328208174004836,0.08005987403697588
bert_2nd_last_sws_avg,weat1,0.00010972358949717578,6.505562847360189e-05,0.0013685433308973502,0.001977819426657926
bert_2nd_last_sws_avg,weat2,0.00010611119876267695,0.00010753022366708028,0.0013685433308973502,0.001977819426657926
bert_2nd_last_sws_avg,weat6,0.00018019947623432495,4.3577883384642623e-05,0.0021075910827219957,0.0019806635498867257
bert_2nd_last_sws_avg,weat7,0.0016151249831245025,0.0025831705376781924,0.0006927407277226235,0.0008903171327141567
bert_2nd_last_sws_avg,weat8,0.002164180480384826,0.0025831705376781924,0.0006927407277226235,0.0008903171327141567
bert_2nd_last_sws_avg,weat9,5.827166064994983e-05,0.003052232898065771,0.00017355603839989934,0.0030196377707730885
bert_2nd_last_sws_first,weat1,0.0019684275214775426,0.0019206097299041026,0.0005431062163605544,0.000773786295369191
