strategy,test,target1,target2,attr1,attr2
bert_0_sws_avg,weat1,0.018533953469104032,0.021131424584248843,0.015654700408932222,0.00996777074344286
bert_0_sws_avg,weat2,0.02632085205610244,0.01620655028614685,0.015654700408932222,0.00996777074344286
bert_0_sws_avg,weat6,0.0041124347704343455,0.020033519144900112,0.025314464680376347,0.02076352299972794
bert_0_sws_avg,weat7,0.013735021289586317,0.004062606193447549,0.03604717393808739,0.03698871157521222
bert_0_sws_avg,weat8,0.015176514881376887,0.004062606193447549,0.03604717393808739,0.03698871157521222
bert_0_sws_avg,weat9,0.019651846638251553,0.046577472813799786,0.015094028577063968,0.01489568872026974
bert_0_sws_first,weat1,0.013540238698203439,0.014316452312538244,0.014211613226098438,0.012878746764956107
bert_0_sws_first,weat2,0.018949355935565255,0.013516310401158175,0.014211613226098438,0.012878746764956107
bert_0_sws_first,weat6,0.00152546857193046,0.002496982482518655,0.028516805693917957,0.04984993910305259
bert_0_sws_first,weat7,0.028260857698011788,0.0038073058244692667,0.06856031072462984,0.08420246975199326
bert_0_sws_first,weat8,0.0023016938967524284,0.0038073058244692667,0.06856031072462984,0.08420246975199326
bert_0_sws_first,weat9,0.0018456658331589247,0.04763304595916983,0.0025485379587492064,0.0036331934815811793
bert_2nd_last_sws_avg,weat1,0.0002665115608525001,0.001614543601484922,0.0005470373219433043,0.00027844902636696916
bert_2nd_last_sws_avg,weat2,0.0007862173240811331,0.00041019086892594763,0.0005470373219433043,0.00027844902636696916
bert_2nd_last_sws_avg,weat6,8.30889047894469e-05,0.00027261467037478944,0.0002889471997676138,0.0005212621678765143
bert_2nd_last_sws_avg,weat7,0.00013941533474617185,0.00018047837173816884,0.00037189922031523646,0.00046903298614118995
bert_2nd_last_sws_avg,weat8,0.00014261401959906244,0.00018047837173816884,0.00037189922031523646,0.00046903298614118995
bert_2nd_last_sws_avg,weat9,9.433405326085706e-05,0.00019758250358318323,0.00010714726197286874,0.00024474491821576056
bert_2nd_last_sws_first,weat1,0.0009287686617384009,0.0012771945518707981,0.0006521007016430122,0.0007735594160050851
