strategy,test,target1,target2,attr1,attr2
bert_0_sws_avg,weat1,0.00831664873119798,0.005820051254078909,0.11690598618573432,0.07893293247808537
bert_0_sws_first,weat1,0.01250204218168806,0.013644253574457395,0.02038807748948683,0.018099523692034134
bert_2nd_last_sws_avg,weat1,0.0001111926131045421,7.104836318386451e-05,0.0019402248704481772,0.0013194979365103714
bert_2nd_last_sws_first,weat1,0.000973521518836,0.0010119285330305815,0.0007606625301982084,0.0006591450659740652
bert_all_sws_avg,weat1,0.0019439016605746215,0.0010907406365578728,0.029112717885427856,0.019511127146499017
bert_all_sws_first,weat1,0.005978812186873309,0.00534670451807907,0.005156213253736771,0.004943425180544953
bert_last_CLS,weat1,0.0001497125864637756,0.00013048107794096103,0.0005106702591951132,0.0003458285420826573
bert_last_sws_avg,weat1,0.002129424937757745,0.0009820357280230947,0.03542467791600693,0.023130161773569406
bert_last_sws_first,weat1,0.011327961630109334,0.008944712695175244,0.010882144666386526,0.009827316729802764
bert_0_sws_avg,weat2,0.07640415230951957,0.0629454976381624,0.11690598618573432,0.07893293247808537
bert_0_sws_first,weat2,0.013166709537874056,0.006398832681826279,0.02038807748948683,0.018099523692034134
bert_2nd_last_sws_avg,weat2,0.0020617216399555936,0.0009837433989221122,0.0019402248704481772,0.0013194979365103714
bert_2nd_last_sws_first,weat2,0.0010986732211815404,0.0005380661822471366,0.0007606625301982084,0.0006591450659740652
bert_all_sws_avg,weat2,0.023156693506739462,0.01528268930665936,0.029112717885427856,0.019511127146499017
bert_all_sws_first,weat2,0.004365776750785064,0.002925240732830132,0.005156213253736771,0.004943425180544953
bert_last_CLS,weat2,0.0002592747796488538,0.0007417235540020397,0.0005106702591951132,0.0003458285420826573
bert_last_sws_avg,weat2,0.029292599861596505,0.01951327624510038,0.03542467791600693,0.023130161773569406
bert_last_sws_first,weat2,0.013586043428678767,0.0061318086589250385,0.010882144666386526,0.009827316729802764
bert_0_sws_avg,weat6,0.11882129584226907,0.08846166161427829,0.13459974003199485,0.05420986334406192
bert_0_sws_first,weat6,0.0323965198337895,0.003443644144647425,0.0040458005145814335,0.011785810563805671
bert_2nd_last_sws_avg,weat6,0.002589525916503367,0.0016620624240477762,0.0023084172437980058,0.00121408884962115
bert_2nd_last_sws_first,weat6,0.001323193918796773,0.0004499115471074167,0.0004226749127204973,0.0005173964747334887
bert_all_sws_avg,weat6,0.0369527151657149,0.02772380273768318,0.03533215192476692,0.014692462846243008
bert_all_sws_first,weat6,0.01160649701170566,0.0028486853105866784,0.001987126487758247,0.004792751215031705
bert_last_CLS,weat6,0.0001723514556868032,8.006925918905923e-05,0.00026212383007250467,0.00026496925292480576
bert_last_sws_avg,weat6,0.04692333791186539,0.03087085060529571,0.04300215790400065,0.0199929774877425
bert_last_sws_first,weat6,0.021785516602289577,0.0054824357456609105,0.006045260809834501,0.008269559986689505
bert_0_sws_avg,weat7,0.12873814464442937,0.10464099455282896,0.050349721668977665,0.041422068362970146
bert_0_sws_first,weat7,0.008239689886054868,0.007636691824587742,0.0063309829029931765,0.021517258927449826
bert_2nd_last_sws_avg,weat7,0.0023626955405805605,0.0022935937605656543,0.0008326354197428149,0.0008073436174365671
bert_2nd_last_sws_first,weat7,0.0007677498066906806,0.0006204044971440123,0.0006789001351433786,0.0005557123239114772
bert_all_sws_avg,weat7,0.036532013040427455,0.030475322112445438,0.013940485043656355,0.01091916115683812
bert_all_sws_first,weat7,0.0065262479775766834,0.0053032435715336295,0.004615844544277037,0.005971598290667825
bert_last_CLS,weat7,0.0020841895006568694,0.0004445671314302221,0.0004454091224843339,0.0001578663338137063
bert_last_sws_avg,weat7,0.04419866632263962,0.041045504850495046,0.014867408548573092,0.0148959057970215
bert_last_sws_first,weat7,0.010227175964252048,0.012080247818186342,0.008225785201432126,0.010152627065393834
bert_0_sws_avg,weat8,0.06596378005808419,0.10464099455282896,0.050349721668977665,0.041422068362970146
bert_0_sws_first,weat8,0.017457962488451093,0.007636691824587742,0.0063309829029931765,0.021517258927449826
bert_2nd_last_sws_avg,weat8,0.0020461936729529225,0.0022935937605656543,0.0008326354197428149,0.0008073436174365671
bert_2nd_last_sws_first,weat8,0.0013746814598119689,0.0006204044971440123,0.0006789001351433786,0.0005557123239114772
bert_all_sws_avg,weat8,0.02261481856251741,0.030475322112445438,0.013940485043656355,0.01091916115683812
bert_all_sws_first,weat8,0.01027054870441332,0.0053032435715336295,0.004615844544277037,0.005971598290667825
bert_last_CLS,weat8,0.00032829012917799514,0.0004445671314302221,0.0004454091224843339,0.0001578663338137063
