strategy,test,target1,target2,attr1,attr2
bert_0_sws_avg,weat1,0.008109855671775482,0.0057548467029929174,0.08521880247447085,0.10702103535932701
bert_0_sws_first,weat1,0.1102802422916399,0.12512624870386943,0.02224069601422792,0.02979349905193798
bert_2nd_last_sws_avg,weat1,0.00010929123081529615,6.479815003156128e-05,0.0013635201807588944,0.001970574120640586
bert_2nd_last_sws_first,weat1,0.0019612936433109403,0.0019136213352541258,0.0005411686748236928,0.0007710177241256527
bert_all_sws_avg,weat1,0.0014573351408768702,0.0014697212219700977,0.02140954246779409,0.028411198666926634
bert_all_sws_first,weat1,0.032074116686301016,0.03921066973003259,0.007421463602423625,0.008794390259764138
bert_last_CLS,weat1,0.0008964245848053159,0.00042566498983403567,0.00017562628357053737,0.00010043711305424819
bert_last_sws_avg,weat1,0.0009332680802157231,0.0009317053679668281,0.023137537817911336,0.03288205765598174
bert_last_sws_first,weat1,0.032594350684545643,0.028005222636935157,0.00883074816184748,0.013210615092684468
fasttext,weat1,0.013908308845238327,0.013025697105014356,0.01677354413076367,0.01680274105660851
bert_0_sws_avg,weat2,0.012210635669242055,0.009822666434938265,0.08521880247447085,0.10702103535932701
bert_0_sws_first,weat2,0.1200549024541719,0.05054482056495545,0.02224069601422792,0.02979349905193798
bert_2nd_last_sws_avg,weat2,0.00010569065585753404,0.00010710412296880254,0.0013635201807588944,0.001970574120640586
bert_2nd_last_sws_first,weat2,0.0016407822638668205,0.000931398905527294,0.0005411686748236928,0.0007710177241256527
bert_all_sws_avg,weat2,0.002416411997230602,0.001960299349326309,0.02140954246779409,0.028411198666926634
bert_all_sws_first,weat2,0.032697410933286784,0.01589187499614332,0.007421463602423625,0.008794390259764138
bert_last_CLS,weat2,0.000689236786595016,0.00018333237724417752,0.00017562628357053737,0.00010043711305424819
bert_last_sws_avg,weat2,0.0016069315665034904,0.0014363245190586488,0.023137537817911336,0.03288205765598174
bert_last_sws_first,weat2,0.025603838675987655,0.013861682802547893,0.00883074816184748,0.013210615092684468
fasttext,weat2,0.016144321131271334,0.019888352944752705,0.01677354413076367,0.01680274105660851
bert_0_sws_avg,weat6,0.011029831770220738,0.005442796751731539,0.10672227902685098,0.11183047730075803
bert_0_sws_first,weat6,0.009157095790053768,0.004116244938955546,0.026206718921666653,0.04105946547383693
bert_2nd_last_sws_avg,weat6,0.00017951695865234341,4.340561774183728e-05,0.0020998963225101253,0.0019733566213018046
bert_2nd_last_sws_first,weat6,0.00014406276500465698,0.00022019128491222771,0.0008067863860725144,0.0010589685341732588
bert_all_sws_avg,weat6,0.003409139284265093,0.0008365568336249931,0.0333094965389325,0.02982967619255711
bert_all_sws_first,weat6,0.0026599636621380323,0.001873220271932961,0.009328573755804814,0.013816763256886183
bert_last_CLS,weat6,6.427783589182561e-05,6.767072781648916e-05,8.622154810602025e-05,8.799727197984519e-05
bert_last_sws_avg,weat6,0.004049692539444553,0.0007948977179139466,0.03526491520827403,0.03490289019701449
bert_last_sws_first,weat6,0.0048339073848265145,0.005570747730832998,0.011492035241951876,0.017602364182814263
fasttext,weat6,0.010760224116145732,0.008225429423199426,0.013732114478981131,0.008466023469977369
bert_0_sws_avg,weat7,0.09497434700046896,0.13997188473987696,0.046890457695552376,0.04172263997713123
bert_0_sws_first,weat7,0.04246456034524033,0.038817585384189765,0.027163703486409542,0.018531246541061894
bert_2nd_last_sws_avg,weat7,0.0016093810034779334,0.0025735706262535064,0.0006902194962077525,0.0008870539750729682
bert_2nd_last_sws_first,weat7,0.0009476158151341934,0.0010776922293906763,0.000583182709686645,0.0008589556367390892
bert_all_sws_avg,weat7,0.025382559249581167,0.03495949415714921,0.013501039925596873,0.011201472196680983
bert_all_sws_first,weat7,0.013215444263021084,0.012468616615584344,0.008671652184062514,0.007904147025056625
bert_last_CLS,weat7,0.00029271199805131875,0.00021708287919615122,6.47565641138102e-05,0.000258791871165529
bert_last_sws_avg,weat7,0.02568477058247287,0.03881545477666156,0.012399323026907653,0.014964566609300381
bert_last_sws_first,weat7,0.012842262753451336,0.017732198348092306,0.009294356838755256,0.010362300962844222
fasttext,weat7,0.021450936643143174,0.01034045819511853,0.027291281442450185,0.03312956195413387
bert_0_sws_avg,weat8,0.1310537803264428,0.13997188473987696,0.046890457695552376,0.04172263997713123
bert_0_sws_first,weat8,0.02769475423293438,0.038817585384189765,0.027163703486409542,0.018531246541061894
bert_2nd_last_sws_avg,weat8,0.002156366556915317,0.0025735706262535064,0.0006902194962077525,0.0008870539750729682
bert_2nd_last_sws_first,weat8,0.0006756709544069716,0.0010776922293906763,0.000583182709686645,0.0008589556367390892
bert_all_sws_avg,weat8,0.035177666984099305,0.03495949415714921,0.013501039925596873,0.011201472196680983
bert_all_sws_first,weat8,0.007348788602174561,0.012468616615584344,0.008671652184062514,0.007904147025056625
bert_last_CLS,weat8,0.0003074994279865605,0.00021708287919615122,6.47565641138102e-05,0.000258791871165529
bert_last_sws_avg,weat8,0.03823250866372197,0.03881545477666156,0.012399323026907653,0.014964566609300381
bert_last_sws_first,weat8,0.009451091743532569,0.017732198348092306,0.009294356838755256,0.010362300962844222
fasttext,weat8,0.015309584360610431,0.01034045819511853,0.027291281442450185,0.03312956195413387
bert_0_sws_avg,weat9,0.014523351016333924,0.12222439769426527,0.024900544786390526,0.14465417055425625
bert_0_sws_first,weat9,0.02288659528561451,0.05682232612411767,0.05328544056862117,0.08007922716503146
bert_2nd_last_sws_avg,weat9,5.8035327239127745e-05,0.00304110789631957,0.00017286732877004282,0.00300876253978277
bert_2nd_last_sws_first,weat9,0.00047645390366390315,0.0015645863920982813,0.00068228407848759,0.001631459620161733
bert_all_sws_avg,weat9,0.0019884239886606074,0.03477041455748402,0.0037204227145270054,0.03954327358626469
bert_all_sws_first,weat9,0.00805089539123782,0.017348926417086376,0.014565064285057664,0.021896552395234376
bert_last_CLS,weat9,2.386905947078671e-05,0.0004478555415204772,7.300251285727193e-05,0.0034028709593809064
bert_last_sws_avg,weat9,0.0008782648749211311,0.04595057392665921,0.0020489495374290574,0.051076729684908055
bert_last_sws_first,weat9,0.006519480886160109,0.027579092547161458,0.013084709948202,0.030090860807552026
fasttext,weat9,0.0262099403344898,0.03118787769183693,0.01901611709060444,0.007810177704030394
