strategy,test,target1,target2,attr1,attr2
bert_0_sws_avg,weat1,0.004108013660773068,0.07906345968782279,0.0346821168327606,0.04023343605785813
bert_0_sws_first,weat1,0.023779449469840414,0.035734583688478844,0.03450120150309484,0.04031331814020675
bert_2nd_last_sws_avg,weat1,4.006824431956479e-05,0.0016506141699547828,0.0005711486486349715,0.0006367971957957131
bert_2nd_last_sws_first,weat1,0.000427234755079553,0.000846582947039922,0.0005946590013448168,0.0005308919478876075
bert_all_sws_avg,weat1,0.0006982818636287922,0.026194887302337377,0.00882365874882789,0.010641822127979289
bert_all_sws_first,weat1,0.005972259116107273,0.010838275292000571,0.008434316496033475,0.00964004327915454
bert_last_CLS,weat1,9.367320120488455e-05,0.0005367864718719773,0.00011567176722839344,0.0001252806518734362
bert_last_sws_avg,weat1,0.0003361359861551054,0.024871700448528468,0.008832986881050558,0.010485177089802898
bert_last_sws_first,weat1,0.005493266495083053,0.012181291667653962,0.008148437103662892,0.008143031689506974
fasttext,weat1,0.00908857969238198,0.01945728226041772,0.018496116781496822,0.010090198673979771
bert_0_sws_avg,weat2,0.007953223423515827,0.005928006912983733,0.0346821168327606,0.04023343605785813
bert_0_sws_first,weat2,0.026344174320023055,0.02893413647990961,0.03450120150309484,0.04031331814020675
bert_2nd_last_sws_avg,weat2,7.472250716944245e-05,4.391682479270084e-05,0.0005711486486349715,0.0006367971957957131
bert_2nd_last_sws_first,weat2,0.0004881815212312764,0.00046361749082174137,0.0005946590013448168,0.0005308919478876075
bert_all_sws_avg,weat2,0.0012790283654163352,0.0011356817171008725,0.00882365874882789,0.010641822127979289
bert_all_sws_first,weat2,0.006673977092036497,0.008086333328523322,0.008434316496033475,0.00964004327915454
bert_last_CLS,weat2,9.435965021220402e-05,7.935398968606064e-05,0.00011567176722839344,0.0001252806518734362
bert_last_sws_avg,weat2,0.0009169865856281693,0.0006496273525521794,0.008832986881050558,0.010485177089802898
bert_last_sws_first,weat2,0.007315713956881583,0.007020566638686108,0.008148437103662892,0.008143031689506974
fasttext,weat2,0.015504563441525532,0.014313940115840487,0.018496116781496822,0.010090198673979771
bert_0_sws_avg,weat6,0.1051902642643019,0.15013262239650021,0.09697336859078687,0.06669164536346803
bert_0_sws_first,weat6,0.07949674418814057,0.05764775165590847,0.07256029155469966,0.03362125472484437
bert_2nd_last_sws_avg,weat6,0.002710589668639037,0.003980520617406853,0.002565271760982956,0.00176621470411556
bert_2nd_last_sws_first,weat6,0.0022256026179439873,0.002372666093972132,0.001742662929077987,0.001249804451035428
bert_all_sws_avg,weat6,0.03784684838546807,0.05578312294368679,0.03585663130583219,0.024080526430241563
bert_all_sws_first,weat6,0.025325697925477914,0.022424959703720472,0.022768724565790904,0.012692646671243027
bert_last_CLS,weat6,0.0009232896029284681,0.0015690488495840042,0.0010080892139830632,0.0007107645767564882
bert_last_sws_avg,weat6,0.030070644985762892,0.04334228786685542,0.027781844265135656,0.019586928170325903
bert_last_sws_first,weat6,0.02105852365129099,0.02141670446869285,0.017712667325828966,0.01353393192795192
fasttext,weat6,0.012963751788817689,0.009893686778760572,0.007646398643604314,0.012690394483408302
bert_0_sws_avg,weat7,0.12560758799468666,0.004054133496180842,0.11134898091507157,0.10079460992831192
bert_0_sws_first,weat7,0.03152288731604205,0.02984053855989088,0.03621563677220238,0.023368593044268846
bert_2nd_last_sws_avg,weat7,0.0016631342421731395,2.073600524257876e-05,0.0015765558347484979,0.0013960537729663985
bert_2nd_last_sws_first,weat7,0.0004852346307382938,0.0004066759616731167,0.0008231661116298877,0.0006323065401265788
bert_all_sws_avg,weat7,0.030834564956545848,0.0006932401410897969,0.02847002389610355,0.02892848043525735
bert_all_sws_first,weat7,0.007519562231444811,0.0072734946013066565,0.009223049969903597,0.005593871803689776
bert_last_CLS,weat7,0.0003152330984932351,9.624705616836849e-05,0.00014722899319382295,0.00014817553465564816
bert_last_sws_avg,weat7,0.02503961640532814,0.00024338470046870165,0.02180434638774843,0.02173517982049646
bert_last_sws_first,weat7,0.008580729265848411,0.0067754997852593314,0.00996368926037195,0.008019019194046472
fasttext,weat7,0.012033691890266178,0.013627013298376735,0.01476856126602216,0.028146346795743994
bert_0_sws_avg,weat8,0.00606009855358042,0.004054133496180842,0.11134898091507157,0.10079460992831192
bert_0_sws_first,weat8,0.03729602817226845,0.02984053855989088,0.03621563677220238,0.023368593044268846
bert_2nd_last_sws_avg,weat8,5.473992454745877e-05,2.073600524257876e-05,0.0015765558347484979,0.0013960537729663985
bert_2nd_last_sws_first,weat8,0.00039857641816401355,0.0004066759616731167,0.0008231661116298877,0.0006323065401265788
bert_all_sws_avg,weat8,0.001061238172719209,0.0006932401410897969,0.02847002389610355,0.02892848043525735
bert_all_sws_first,weat8,0.008491492180575055,0.0072734946013066565,0.009223049969903597,0.005593871803689776
bert_last_CLS,weat8,0.00014296208817928072,9.624705616836849e-05,0.00014722899319382295,0.00014817553465564816
bert_last_sws_avg,weat8,0.0004617503843985157,0.00024338470046870165,0.02180434638774843,0.02173517982049646
bert_last_sws_first,weat8,0.00488756042191161,0.0067754997852593314,0.00996368926037195,0.008019019194046472
fasttext,weat8,0.017423580199289575,0.013627013298376735,0.01476856126602216,0.028146346795743994
bert_0_sws_avg,weat9,0.0005769915969546487,0.008147395008759219,0.0014213698487725531,0.11936252997782726
bert_0_sws_first,weat9,0.03821994679072162,0.031111946025392852,0.03845066774041189,0.04985025935030698
bert_2nd_last_sws_avg,weat9,7.235115784284938e-06,7.058107591358398e-05,1.5253200393698322e-05,0.0032451829628084928
bert_2nd_last_sws_first,weat9,0.0003647160002631725,0.0003012661538932692,0.0005441249177666929,0.0017982344830205252
bert_all_sws_avg,weat9,0.00012703575158982925,0.0015489203446470488,0.0002814239325152696,0.044620476330742356
bert_all_sws_first,weat9,0.00947214836070493,0.007919655520135861,0.009765275874176008,0.017465158876397505
bert_last_CLS,weat9,3.2872718593047926e-05,6.0681098250925994e-05,0.0008812440341292857,0.0010793865736606495
bert_last_sws_avg,weat9,0.00013607215760145228,0.0007359781500850986,0.0003169234632517018,0.03347854433279393
bert_last_sws_first,weat9,0.00437407142320648,0.004032173197484989,0.007314309527681961,0.018349123347133543
fasttext,weat9,0.013340806858762516,0.01442366069293705,0.005154857747939687,0.008089024654555887
