strategy,test,target1,target2,attr1,attr2
bert_0_sws_avg,weat1,0.06856465184264647,0.03401285959585973,0.08602641828766638,0.07765834756617158
bert_0_sws_first,weat1,0.007644159837302166,0.014498629160051449,0.014182934621848041,0.010279653953585393
bert_2nd_last_sws_avg,weat1,0.0013312843562158527,0.0006943551866583327,0.0017250863892686351,0.0014864196014619882
bert_2nd_last_sws_first,weat1,0.000935662510261509,0.0008796853700586126,0.0011630619046837565,0.0011094873770625768
bert_all_sws_avg,weat1,0.019981698666516404,0.010238087467657808,0.025057920995654088,0.02159553757438941
bert_all_sws_first,weat1,0.005425798242169329,0.006420970146970595,0.006938262187081792,0.007358079006207678
bert_last_CLS,weat1,0.0003675736478693779,0.0003534089670942322,0.0004203270715594697,0.00034636732819570156
bert_last_sws_avg,weat1,0.0255012765247444,0.012294901889645517,0.03112314450972126,0.03199954340514789
bert_last_sws_first,weat1,0.01014409237624279,0.010992391075713844,0.012110911377752068,0.01183769556431157
fasttext,weat1,0.016786357086318468,0.019548316763242358,0.016865031225987807,0.017130158424241333
bert_0_sws_avg,weat2,0.07978855880393984,0.06724333824653947,0.08602641828766638,0.07765834756617158
bert_0_sws_first,weat2,0.017156223335361313,0.015857443057707976,0.014182934621848041,0.010279653953585393
bert_2nd_last_sws_avg,weat2,0.0020591378932078323,0.0014479102741680981,0.0017250863892686351,0.0014864196014619882
bert_2nd_last_sws_first,weat2,0.0014044567215747113,0.0013172723495665673,0.0011630619046837565,0.0011094873770625768
bert_all_sws_avg,weat2,0.02765696996322318,0.02034974911285157,0.025057920995654088,0.02159553757438941
bert_all_sws_first,weat2,0.010795249455856307,0.01094279393755341,0.006938262187081792,0.007358079006207678
bert_last_CLS,weat2,0.0006629939074135362,0.00040793884129908736,0.0004203270715594697,0.00034636732819570156
bert_last_sws_avg,weat2,0.038413489831536335,0.03209907726564301,0.03112314450972126,0.03199954340514789
bert_last_sws_first,weat2,0.019517246094632495,0.015577774064948553,0.012110911377752068,0.01183769556431157
fasttext,weat2,0.02373282008329565,0.02332137022439579,0.016865031225987807,0.017130158424241333
bert_0_sws_avg,weat6,0.020057195669447008,0.0028085253094011944,0.027215049890365658,0.0666362425451392
bert_0_sws_first,weat6,0.006297369151768267,0.0029704431690974194,0.019537095842479625,0.004908433616843706
bert_2nd_last_sws_avg,weat6,0.0006727028802283511,0.00018704585455580377,0.0006057836550442359,0.0015380005977818122
bert_2nd_last_sws_first,weat6,0.0006454992573087765,0.00023736526905598004,0.00043471584404384297,0.0005391634545000428
bert_all_sws_avg,weat6,0.008420022043332595,0.0016104509294469272,0.009934610867646711,0.02044429212326106
bert_all_sws_first,weat6,0.007190013780984676,0.001843656905542689,0.006902619400670434,0.004191527609870727
bert_last_CLS,weat6,0.0006691503253184574,0.00023355583345303612,0.0004668239926593696,0.0002542121078664942
bert_last_sws_avg,weat6,0.013025770852182973,0.004465643515121754,0.014870484464508506,0.027634290015326267
bert_last_sws_first,weat6,0.008430784845895935,0.00562392287312142,0.01041613369571105,0.007746623865483438
fasttext,weat6,0.009902179793197277,0.015798963229927687,0.014071275326338895,0.02495874818494948
bert_0_sws_avg,weat7,0.07835688783467876,0.02928615574560253,0.03840620694047817,0.025549900358751647
bert_0_sws_first,weat7,0.005801787272771699,0.0038286672834093,0.016256338617819704,0.009091638347922041
bert_2nd_last_sws_avg,weat7,0.001438315454721505,0.0007340360214123798,0.0013677534534790464,0.0009614113916067915
bert_2nd_last_sws_first,weat7,0.0005664554036450328,0.0004807135366467401,0.000782358868533764,0.000905907646692183
bert_all_sws_avg,weat7,0.025203653696548655,0.012531238671134462,0.013645417578855356,0.010604972926401368
bert_all_sws_first,weat7,0.004501481197647027,0.003433783766366437,0.006700457515886669,0.006557295656059244
bert_last_CLS,weat7,0.002392821626356996,0.0021219880009676452,0.0008359597175207337,0.00042417154232249457
bert_last_sws_avg,weat7,0.03345843523636123,0.017302470491594175,0.02246053169640739,0.01721893363355683
bert_last_sws_first,weat7,0.006379546631231753,0.010742541479313267,0.0115061442371764,0.012998895401734462
fasttext,weat7,0.010856460000443888,0.019721055183637554,0.04869440579324844,0.03752364505284719
bert_0_sws_avg,weat8,0.06272223832905138,0.02928615574560253,0.03840620694047817,0.025549900358751647
bert_0_sws_first,weat8,0.006733785571789163,0.0038286672834093,0.016256338617819704,0.009091638347922041
bert_2nd_last_sws_avg,weat8,0.0015433164102973916,0.0007340360214123798,0.0013677534534790464,0.0009614113916067915
bert_2nd_last_sws_first,weat8,0.0005738643392358156,0.0004807135366467401,0.000782358868533764,0.000905907646692183
bert_all_sws_avg,weat8,0.025595583903879487,0.012531238671134462,0.013645417578855356,0.010604972926401368
bert_all_sws_first,weat8,0.005241264982217336,0.003433783766366437,0.006700457515886669,0.006557295656059244
bert_last_CLS,weat8,0.0012641219725401142,0.0021219880009676452,0.0008359597175207337,0.00042417154232249457
bert_last_sws_avg,weat8,0.037572539484726705,0.017302470491594175,0.02246053169640739,0.01721893363355683
bert_last_sws_first,weat8,0.008103484897508211,0.010742541479313267,0.0115061442371764,0.012998895401734462
fasttext,weat8,0.015545543274612153,0.019721055183637554,0.04869440579324844,0.03752364505284719
bert_0_sws_avg,weat9,0.009640530837638122,0.05166250081152715,0.09394707024178188,0.05996461355385019
bert_0_sws_first,weat9,0.0020766021462660135,0.05021375742788289,0.006722696151273315,0.015453864846977396
bert_2nd_last_sws_avg,weat9,8.569256001441466e-05,0.0017257999135503823,0.0013940027892728709,0.0016498562746654515
bert_2nd_last_sws_first,weat9,0.00056689143659546,0.0015155482285365445,0.0007720529702089853,0.001523799044729288
bert_all_sws_avg,weat9,0.0021109164950124746,0.018271118914595198,0.0282593701555514,0.018842488709469744
bert_all_sws_first,weat9,0.0025254835969708484,0.014748690716283866,0.004046842189841092,0.00932458229554373
bert_last_CLS,weat9,0.0007219735541232897,0.0007616783253682806,0.0007638834197814131,0.002891487757205946
bert_last_sws_avg,weat9,0.0015747335333058414,0.030804707240665363,0.030933874165698958,0.025420121755362613
bert_last_sws_first,weat9,0.004028592776571816,0.029769536876418732,0.01083664084520643,0.011842446475431987
fasttext,weat9,0.013034631573004267,0.02552331830938344,0.01432757311254526,0.021674241820191467
