strategy,test,target1,target2,attr1,attr2
bert_0_sws_avg,weat1,0.020498675936914915,0.03662066837919599,0.0820566579504832,0.09667767497404706
bert_0_sws_first,weat1,0.0280020987111467,0.01847261104991317,0.02363296846539155,0.013446803919351841
bert_2nd_last_sws_avg,weat1,0.0001528498660309123,0.0004713610626910037,0.0012963185474617145,0.0016144055450840128
bert_2nd_last_sws_first,weat1,0.0006768862912415636,0.0005927481851332692,0.0005933489549680608,0.0006629137225434594
bert_all_sws_avg,weat1,0.003919099890016288,0.00849313630916832,0.019707917630295755,0.02362687096117986
bert_all_sws_first,weat1,0.010319987721959929,0.008302596579845101,0.007815829693062624,0.006204611557624687
bert_last_CLS,weat1,0.00020590828110309074,6.940491995597182e-05,0.00010524833607167345,0.00013104986853591878
bert_last_sws_avg,weat1,0.0025453331579258364,0.007711112659845621,0.023907400292354317,0.027686539954189307
bert_last_sws_first,weat1,0.009225752308362175,0.00783739081059365,0.01062024007240376,0.009890098511104508
fasttext,weat1,0.040873471522348236,0.020291974879159316,0.01551086216704593,0.012101653572384397
bert_0_sws_avg,weat2,0.04925305780041243,0.014867696206375153,0.0820566579504832,0.09667767497404706
bert_0_sws_first,weat2,0.019094300526238242,0.03947214225782068,0.02363296846539155,0.013446803919351841
bert_2nd_last_sws_avg,weat2,0.0005385719671826394,0.00011803067735717203,0.0012963185474617145,0.0016144055450840128
bert_2nd_last_sws_first,weat2,0.0004937899546856332,0.000795791826833771,0.0005933489549680608,0.0006629137225434594
bert_all_sws_avg,weat2,0.010803128189229195,0.0022614921686230725,0.019707917630295755,0.02362687096117986
bert_all_sws_first,weat2,0.006372204618159234,0.013224568206702796,0.007815829693062624,0.006204611557624687
bert_last_CLS,weat2,0.00035592832818189896,0.00013502338493480892,0.00010524833607167345,0.00013104986853591878
bert_last_sws_avg,weat2,0.009305940168973025,0.0017627886167275084,0.023907400292354317,0.027686539954189307
bert_last_sws_first,weat2,0.007556868899558822,0.012456539608079468,0.01062024007240376,0.009890098511104508
fasttext,weat2,0.01980188758121162,0.014004362508293539,0.01551086216704593,0.012101653572384397
bert_0_sws_avg,weat6,0.05344437006224262,0.06351420304217323,0.06119909123625413,0.056705009474377795
bert_0_sws_first,weat6,0.0021099267895670526,0.0037070478679240744,0.010406484113928518,0.04711932492020783
bert_2nd_last_sws_avg,weat6,0.000866168557127839,0.0009314161993236636,0.0009718978240032436,0.0011419633511036474
bert_2nd_last_sws_first,weat6,0.0002904936303898242,0.0003574486255797581,0.0005080885741849881,0.0011578190963016973
bert_all_sws_avg,weat6,0.01415098352157797,0.018456215971022576,0.017132300968263275,0.015306831997941419
bert_all_sws_first,weat6,0.002135343062611921,0.00316544458799219,0.006600164437980284,0.01499992418726341
bert_last_CLS,weat6,4.7426533016853144e-05,0.00012877348442953118,0.00023133387387984052,0.00019052642782210952
bert_last_sws_avg,weat6,0.014267075626626281,0.01994074703333082,0.022846552503465,0.02054451480006119
bert_last_sws_first,weat6,0.0030885711556011652,0.00530698977525112,0.006405294574054065,0.01713835989978072
fasttext,weat6,0.011795634326023116,0.011761505867050713,0.012704210820308344,0.04844475794023841
bert_0_sws_avg,weat7,0.08731712829964523,0.10691199444865651,0.06762407406171517,0.07563962950975281
bert_0_sws_first,weat7,0.032030071907872035,0.016842171057398717,0.03441773034629978,0.043125852331249076
bert_2nd_last_sws_avg,weat7,0.0013588552381013249,0.00206918526223011,0.001462862012875561,0.0015023290008599683
bert_2nd_last_sws_first,weat7,0.0008847543395021049,0.0008332309676034516,0.0010334616450495934,0.001120023170987215
bert_all_sws_avg,weat7,0.026586169605636572,0.030846529673702487,0.01958711331017947,0.02119272337340207
bert_all_sws_first,weat7,0.009507456533876094,0.00812949266938959,0.011869371533271639,0.013454452084540472
bert_last_CLS,weat7,0.000310782707603358,0.0003063843961714632,0.00020538551089071912,0.0002649306638078611
