strategy,test,target1,target2,attr1,attr2
bert_0_sws_avg,weat1,0.13953902814105187,0.11703859154481065,0.04177675427525326,0.01711826482477069
bert_0_sws_first,weat1,0.01274300120502231,0.01782490764524555,0.015209745532780303,0.014682304103247962
bert_2nd_last_sws_avg,weat1,0.0027888767612341725,0.0022897791383815046,0.001140043542252485,0.0006148436864730555
bert_2nd_last_sws_first,weat1,0.0008140657287844126,0.0008047581987819974,0.0007788848142560255,0.0008338404709113472
bert_all_sws_avg,weat1,0.044934300123333965,0.03319785260506183,0.01550789964745748,0.007085590835338258
bert_all_sws_first,weat1,0.00664883024226665,0.007229757656610471,0.005915495177942452,0.005775488722046355
bert_last_CLS,weat1,0.002109098412375389,0.0009108153272367616,0.0009031136153491931,0.0011028097500182243
bert_last_sws_avg,weat1,0.041763148342893235,0.03421531035608869,0.013434721247160485,0.008173049687980452
bert_last_sws_first,weat1,0.011273909160170084,0.011878981224949124,0.008550154976334054,0.010074860304803921
fasttext,weat1,0.013349854026837285,0.031476562012116426,0.020987058733112542,0.02509113684732449
bert_0_sws_avg,weat2,0.1203982320569662,0.03465876084054432,0.04177675427525326,0.01711826482477069
bert_0_sws_first,weat2,0.028425825875682435,0.012657467055180597,0.015209745532780303,0.014682304103247962
bert_2nd_last_sws_avg,weat2,0.0022277593341855067,0.0014077218504512158,0.001140043542252485,0.0006148436864730555
bert_2nd_last_sws_first,weat2,0.0013680405914051007,0.0008734052542515508,0.0007788848142560255,0.0008338404709113472
bert_all_sws_avg,weat2,0.034090995873692215,0.016023883290071757,0.01550789964745748,0.007085590835338258
bert_all_sws_first,weat2,0.010367333467998794,0.006068977184182995,0.005915495177942452,0.005775488722046355
bert_last_CLS,weat2,0.0010011624357661075,0.001991628274529349,0.0009031136153491931,0.0011028097500182243
bert_last_sws_avg,weat2,0.03302093666483529,0.01955429123455563,0.013434721247160485,0.008173049687980452
bert_last_sws_first,weat2,0.01451529090986621,0.011763280570623891,0.008550154976334054,0.010074860304803921
fasttext,weat2,0.03899919181928147,0.027553653746463794,0.020987058733112542,0.02509113684732449
bert_0_sws_avg,weat6,0.005406745600038362,0.00513814099384268,0.03812773932870019,0.03650883002968453
bert_0_sws_first,weat6,0.022283122713244948,0.005006261051315753,0.003649011526399206,0.0424349516616509
bert_2nd_last_sws_avg,weat6,4.3575748831488254e-05,6.207377330335234e-05,0.0007730812258114106,0.0005769772686229323
bert_2nd_last_sws_first,weat6,0.0004163950829328277,0.0013174466503262164,0.00043462530729789645,0.0009263987822136532
bert_all_sws_avg,weat6,0.0010837018050130283,0.0004728741549760683,0.012195229579400887,0.009112646241163794
bert_all_sws_first,weat6,0.006128510710895022,0.0025903365032104693,0.0036591454797900665,0.01280928715611074
bert_last_CLS,weat6,6.954262948136451e-05,9.931609755067457e-05,0.0011169462782660545,0.0007185143371320239
bert_last_sws_avg,weat6,0.0007686580267622783,0.0010065019269627298,0.012187448533563539,0.010758058572732335
bert_last_sws_first,weat6,0.006075612177084857,0.01703370758930015,0.0072519603200804795,0.013559272349421062
fasttext,weat6,0.022899574053965196,NaN,0.015931392086712504,0.036036718741710994
bert_0_sws_avg,weat7,0.015855454072006583,0.013541879766419351,0.039911446446521635,0.0481433558430706
bert_0_sws_first,weat7,0.0022583054564260688,0.01210215972403953,0.08076565502612482,0.07348669701759428
bert_2nd_last_sws_avg,weat7,0.00044708472435935314,0.00035338663834158057,0.0008481015830681308,0.000905534710975605
bert_2nd_last_sws_first,weat7,0.0008429997110904234,0.00048529316305256394,0.0011071090593079082,0.0010423532812051605
bert_all_sws_avg,weat7,0.005621797589067311,0.004812592899880375,0.01252215088886151,0.015184509700250814
