strategy,test,target1,target2,attr1,attr2
bert_0_sws_avg,weat1,0.04673353992277759,0.07461324346316374,0.03630371623716268,0.07797536390668847
bert_0_sws_first,weat1,0.022671956035555243,0.041139857350938586,0.043272038212655954,0.031691433367532065
bert_2nd_last_sws_avg,weat1,0.0012619390792446175,0.001930005983938526,0.0009053313642450279,0.0020945537043271737
bert_2nd_last_sws_first,weat1,0.0007283526161241418,0.0012830185594082605,0.0008758119070127105,0.0012649312573346804
bert_all_sws_avg,weat1,0.017755824420647128,0.02755099399480395,0.012727914516792563,0.02894528756397754
bert_all_sws_first,weat1,0.007156467299638009,0.01399272928332051,0.011757739832283858,0.011493268237663619
bert_last_CLS,weat1,0.0004916183388008039,0.0007608730070613335,0.00033077004413814413,0.0007366908208827449
bert_last_sws_avg,weat1,0.013682041839681297,0.021821222197778656,0.010174869228362748,0.023008380997417487
bert_last_sws_first,weat1,0.007763072999309972,0.013236169435191535,0.01068143908110664,0.011597930284391843
fasttext,weat1,0.07123475225350782,0.02667079885039519,0.014999849442021368,0.013448405062107292
bert_0_sws_avg,weat2,0.04725149370808771,0.04542644294275805,0.03630371623716268,0.07797536390668847
bert_0_sws_first,weat2,0.027328270986943366,0.03820165938171376,0.043272038212655954,0.031691433367532065
bert_2nd_last_sws_avg,weat2,0.001195041133879719,0.0011673452243248837,0.0009053313642450279,0.0020945537043271737
bert_2nd_last_sws_first,weat2,0.0007662184007799219,0.000847048870922781,0.0008758119070127105,0.0012649312573346804
bert_all_sws_avg,weat2,0.016767601614048746,0.016556049970980945,0.012727914516792563,0.02894528756397754
bert_all_sws_first,weat2,0.008594171140856553,0.010959152413621937,0.011757739832283858,0.011493268237663619
bert_last_CLS,weat2,0.0004244356839699233,0.00045127498810401115,0.00033077004413814413,0.0007366908208827449
bert_last_sws_avg,weat2,0.013346041380284935,0.012832363830692695,0.010174869228362748,0.023008380997417487
bert_last_sws_first,weat2,0.00834833461719586,0.009267823569984594,0.01068143908110664,0.011597930284391843
fasttext,weat2,0.03731171137684753,0.012399555055887489,0.014999849442021368,0.013448405062107292
bert_0_sws_avg,weat6,0.0002077932529423699,0.0005900099974100293,0.0011924697558875154,0.09972489833830134
bert_0_sws_first,weat6,0.022651868648028456,0.02094900273963283,0.10617297464123192,0.009248565082027154
bert_2nd_last_sws_avg,weat6,1.3984811416208334e-06,1.1041731224358964e-05,1.1826716277171996e-05,0.0026206688558284633
bert_2nd_last_sws_first,weat6,0.0002533854859250565,0.0003165003233799638,0.000755384535159541,0.0014284312856945778
bert_all_sws_avg,weat6,1.9351075884232114e-05,6.853096020985535e-05,0.00021737600484646242,0.03714334429196558
bert_all_sws_first,weat6,0.004768107094445392,0.004194524476984754,0.02058868441671304,0.00850805060073664
bert_last_CLS,weat6,7.195185889481911e-05,1.3419411061732792e-05,6.31872363220146e-05,0.0010144757741070195
bert_last_sws_avg,weat6,2.7195793665487944e-05,0.00015821730514036536,0.00024301072569708548,0.030019264936747145
bert_last_sws_first,weat6,0.004650488865039472,0.005785836792002029,0.012775836409203848,0.011379625788768123
fasttext,weat6,0.003945783845344705,0.010737888289429811,0.003211116230966467,0.009198902191610165
bert_0_sws_avg,weat7,0.007387453828001343,0.10596605540509431,0.09728950438384185,0.08077406721189735
