strategy,test,target1,target2,attr1,attr2
bert_0_sws_avg,weat1,0.00024899083672144564,0.003127020952507428,0.0004330284647173222,0.006626848162633765
bert_0_sws_first,weat1,0.08958111751429042,0.05478660421955334,0.07109678565025078,0.044647881979322436
bert_2nd_last_sws_avg,weat1,3.3861417961749492e-06,2.431314806406267e-05,4.669496378704316e-06,6.833769507606962e-05
bert_2nd_last_sws_first,weat1,0.0007708067794084058,0.00046842654785821976,0.0006618325959517938,0.0004278797748853593
bert_all_sws_avg,weat1,4.626055007641373e-05,0.0005461222956383529,8.308398616787535e-05,0.0014374606758484044
bert_all_sws_first,weat1,0.021284565203740745,0.012760140631143639,0.016323898531179732,0.01063752810841464
bert_last_CLS,weat1,5.336324806154608e-05,3.515287684843453e-05,4.532428626430988e-05,6.080764339816095e-05
bert_last_sws_avg,weat1,6.630528117353741e-05,0.0003309244977616343,7.894121658557448e-05,0.0008146920576075513
bert_last_sws_first,weat1,0.012469836110562914,0.007612181630095727,0.01048301459076263,0.006213871089211285
fasttext,weat1,0.0343466070186009,0.015154914668971493,0.03591283157172575,0.03241539592856201
bert_0_sws_avg,weat2,0.008751898531605644,0.0029413426320154677,0.0004330284647173222,0.006626848162633765
bert_0_sws_first,weat2,0.027946298696080486,0.031574204030413666,0.07109678565025078,0.044647881979322436
bert_2nd_last_sws_avg,weat2,8.89410718831444e-05,2.0952738059917844e-05,4.669496378704316e-06,6.833769507606962e-05
bert_2nd_last_sws_first,weat2,0.0005495669273110325,0.0003733512767234545,0.0006618325959517938,0.0004278797748853593
bert_all_sws_avg,weat2,0.0015520655508924116,0.0005122120967893253,8.308398616787535e-05,0.0014374606758484044
bert_all_sws_first,weat2,0.006417132152428375,0.007695007820093358,0.016323898531179732,0.01063752810841464
bert_last_CLS,weat2,8.777053368831795e-05,5.0405831572985496e-05,4.532428626430988e-05,6.080764339816095e-05
bert_last_sws_avg,weat2,0.0010887465821249464,0.0003614285055437484,7.894121658557448e-05,0.0008146920576075513
bert_last_sws_first,weat2,0.007552150812973953,0.005716190479380965,0.01048301459076263,0.006213871089211285
fasttext,weat2,0.02517575136105435,0.02515623106424779,0.03591283157172575,0.03241539592856201
bert_0_sws_avg,weat6,0.005988362252161996,0.006571808602779651,0.09965701310367439,0.007144341438126641
bert_0_sws_first,weat6,0.018305261329496277,0.06437454437364462,0.01680537333542884,0.03220508685293516
bert_2nd_last_sws_avg,weat6,2.060948488889104e-05,3.402920004458405e-05,0.0021377260649622664,4.72035816219222e-05
bert_2nd_last_sws_first,weat6,0.0001954801186450008,0.0005323949718710351,0.0002808580769352045,0.00040796111905546593
bert_all_sws_avg,weat6,0.0006753903502541031,0.0008758502024876749,0.031603136708504315,0.001112091818178578
bert_all_sws_first,weat6,0.004586906997616907,0.014333807285064299,0.0039152087579530535,0.007664967390580914
bert_last_CLS,weat6,5.6435302738201896e-05,7.481768649792724e-05,0.00020308613834380999,5.7713037881930314e-05
bert_last_sws_avg,weat6,0.0003153706168047602,0.00048799332502784013,0.03086312168208945,0.0006852697882558749
bert_last_sws_first,weat6,0.0028390121438001113,0.008340468604845603,0.005983460188699569,0.005821457910098162
fasttext,weat6,0.0046877449445290546,0.006916821320742099,0.011185331671855044,0.021305616434826636
bert_0_sws_avg,weat7,0.008039197836262247,0.0009015967486571582,0.009555268414944543,0.00965922411591547
bert_0_sws_first,weat7,0.015023837344087054,0.02367642792123988,0.03437220844506024,0.04133816362434317
bert_2nd_last_sws_avg,weat7,6.788352594400383e-05,9.77663326080273e-06,7.364913941949656e-05,0.00010450435604307515
bert_2nd_last_sws_first,weat7,0.0001840775009249875,0.0002420410180612228,0.00046431743115710205,0.00043917357274739173
bert_all_sws_avg,weat7,0.0015904630570433816,0.00017632697179049904,0.0016531781094770732,0.0016445263587894527
