strategy,test,target1,target2,attr1,attr2
bert_0_sws_avg,weat1,0.03292325586820803,0.00796962663000513,0.03144193860595086,0.07196199281413711
bert_0_sws_first,weat1,0.005258315288687013,0.011267852899658209,0.01007192628174124,0.010827123625839753
bert_2nd_last_sws_avg,weat1,0.0006473330592666107,7.538247760802789e-05,0.0006409785489684358,0.0010857761604789505
bert_2nd_last_sws_first,weat1,0.0007714224602640898,0.0006314523345084036,0.0009106950357162108,0.0006105447549650105
bert_all_sws_avg,weat1,0.008956775298585995,0.0014827760719483478,0.008204938581036084,0.020694604474117154
bert_all_sws_first,weat1,0.003998409690949607,0.005933918192425687,0.005288111154983164,0.004704116810644901
bert_last_CLS,weat1,0.00039025214027607093,0.0004240364344261331,0.000472958038615861,0.0001561781882212448
bert_last_sws_avg,weat1,0.012055252893534587,0.0019130769664528835,0.012040527015188781,0.022204697489363042
bert_last_sws_first,weat1,0.00736968908907429,0.009619393416181647,0.010066340020276768,0.007714189392190773
fasttext,weat1,0.013689071257064372,0.013182133175229366,0.014918674690462569,0.012934762266721451
bert_0_sws_avg,weat2,0.05750162366229393,0.06316519108824421,0.03144193860595086,0.07196199281413711
bert_0_sws_first,weat2,0.013195701879324236,0.01341622459059015,0.01007192628174124,0.010827123625839753
bert_2nd_last_sws_avg,weat2,0.0014354034786006613,0.0011470426768344954,0.0006409785489684358,0.0010857761604789505
bert_2nd_last_sws_first,weat2,0.0012288294782970674,0.0007385876751533921,0.0009106950357162108,0.0006105447549650105
bert_all_sws_avg,weat2,0.018487914601290806,0.019436079725143426,0.008204938581036084,0.020694604474117154
bert_all_sws_first,weat2,0.00875079564862212,0.006311526090196466,0.005288111154983164,0.004704116810644901
bert_last_CLS,weat2,0.0006530238041326767,0.0003373589688020331,0.000472958038615861,0.0001561781882212448
bert_last_sws_avg,weat2,0.026312341519119466,0.02398243332983997,0.012040527015188781,0.022204697489363042
bert_last_sws_first,weat2,0.013912801673034596,0.011199085180300033,0.010066340020276768,0.007714189392190773
fasttext,weat2,0.04133845032192775,0.020565806327566116,0.014918674690462569,0.012934762266721451
bert_0_sws_avg,weat6,0.011893084664013825,0.013564141282815767,0.004985190194299889,0.019475353620446573
bert_0_sws_first,weat6,0.023945571204532497,0.008026165499134656,0.0020984473438502202,0.024004975774155127
bert_2nd_last_sws_avg,weat6,0.0002187116569399982,0.0004587390590582392,5.4760776150108475e-05,0.00019392429880321817
bert_2nd_last_sws_first,weat6,0.00038982864914994533,0.000584680919897852,0.00036855252359876826,0.0005845725801630206
bert_all_sws_avg,weat6,0.003270511656032616,0.005950848225308432,0.000556006535866813,0.004146918425448253
bert_all_sws_first,weat6,0.007169769452519195,0.004946668083059817,0.0016686516442395508,0.007259765001457177
bert_last_CLS,weat6,0.0001606860101543972,0.0006703156398088261,0.00045244173942144284,0.00036296813576931216
bert_last_sws_avg,weat6,0.004810536695791027,0.011160153154192868,0.0008655198185875222,0.005992975490296746
bert_last_sws_first,weat6,0.008130330141472384,0.007953293457858565,0.003671221594169682,0.008422005991655802
fasttext,weat6,0.004142537586697764,0.004928636874638456,0.010933638165724527,0.019721995121956944
bert_0_sws_avg,weat7,0.047034063120854966,0.07951654146837814,0.09018117635492026,0.06172337109069917
bert_0_sws_first,weat7,0.014931430078431332,0.0033648839486573145,0.05460838619391369,0.05729465983106285
bert_2nd_last_sws_avg,weat7,0.0008131126536187619,0.0016371590173352255,0.0015405075620509294,0.0009918083640650165
bert_2nd_last_sws_first,weat7,0.0007957105594179213,0.0004514750707483864,0.0011889333931299666,0.0015275776319917448
bert_all_sws_avg,weat7,0.014241343918866903,0.0318121506151059,0.025651255416006106,0.017290615271247495
bert_all_sws_first,weat7,0.010725585840776071,0.004207514827585304,0.015913465274216058,0.019661068450908276
bert_last_CLS,weat7,0.0038268614190666993,0.0012578131232414758,0.0003032005803126205,0.0002869446305723919
bert_last_sws_avg,weat7,0.01693774710790315,0.03587323408666231,0.02326282054129664,0.01609641374391862
bert_last_sws_first,weat7,0.02002833306106325,0.008000246862437393,0.016976368505745833,0.019770804751414153
fasttext,weat7,0.016368446159259354,0.01217309529314474,0.04022377892953007,0.053429336313430525
