strategy,test,target1,target2,attr1,attr2
bert_0_sws_avg,weat1,0.03026195351818863,0.045548511576215686,0.03385077445628961,0.03525845117036158
bert_0_sws_first,weat1,0.024353638627330264,0.028546087529817778,0.01678620584921281,0.015431737601861341
bert_2nd_last_sws_avg,weat1,0.0004235367714904295,0.0008746800481051259,0.0009524624956746504,0.0009094612319738736
bert_2nd_last_sws_first,weat1,0.0006724587107179817,0.0014319780615159457,0.0014616534816555846,0.0017177046118770918
bert_all_sws_avg,weat1,0.006167770477682308,0.010038979748357728,0.01057138257414325,0.009549384470555375
bert_all_sws_first,weat1,0.00656920251927248,0.010939614400434138,0.009718063815743699,0.010191932668353113
bert_last_CLS,weat1,0.0001923435654275873,0.0003691234454206252,0.0011955072964203663,0.0003990142373231779
bert_last_sws_avg,weat1,0.007714254614773703,0.017416420175966528,0.016672698949865908,0.014739302931433626
bert_last_sws_first,weat1,0.010842126375254009,0.018553897888215848,0.019896603144384666,0.01661979508444531
fasttext,weat1,0.022389526371090387,0.028011657579774932,0.019663675711478246,0.014611367785182376
bert_0_sws_avg,weat2,0.04442622197172267,0.029116293694061216,0.03385077445628961,0.03525845117036158
bert_0_sws_first,weat2,0.027378873545148223,0.024225005277987332,0.01678620584921281,0.015431737601861341
bert_2nd_last_sws_avg,weat2,0.0007212687843752751,0.0008624021706034828,0.0009524624956746504,0.0009094612319738736
bert_2nd_last_sws_first,weat2,0.0015135325075819792,0.0014040163995167748,0.0014616534816555846,0.0017177046118770918
bert_all_sws_avg,weat2,0.00992949508072392,0.009483617708063847,0.01057138257414325,0.009549384470555375
bert_all_sws_first,weat2,0.014318085976383297,0.009875918132175511,0.009718063815743699,0.010191932668353113
bert_last_CLS,weat2,0.001221333858109181,0.0002838620516120249,0.0011955072964203663,0.0003990142373231779
bert_last_sws_avg,weat2,0.017461868266051617,0.013432187632374793,0.016672698949865908,0.014739302931433626
bert_last_sws_first,weat2,0.019130411090947427,0.016871798361056033,0.019896603144384666,0.01661979508444531
fasttext,weat2,0.04387885303655163,0.020402632928410082,0.019663675711478246,0.014611367785182376
bert_0_sws_avg,weat6,0.029930196506891577,0.022476789092159572,0.01494054872328694,0.005602711107645611
bert_0_sws_first,weat6,0.008531781086475537,0.018317052917032572,0.01494054872328694,0.004419424772982228
bert_2nd_last_sws_avg,weat6,0.0008447094334841776,0.0010319872539322377,0.0001790509983007084,8.697988027429802e-05
bert_2nd_last_sws_first,weat6,0.0007154876251172943,0.0012801883168581671,0.0001790509983007084,8.122867880087239e-05
bert_all_sws_avg,weat6,0.010595251360385114,0.010898147582353976,0.0029630681506426495,0.001961752848475847
bert_all_sws_first,weat6,0.004680683200633187,0.010758680788880457,0.0029630681506426495,0.0016831615409208579
bert_last_CLS,weat6,9.488431270463621e-05,0.0003962474544994827,9.932296601895636e-05,4.0416112554037644e-05
bert_last_sws_avg,weat6,0.013546144636960652,0.014968059293580431,0.0038186043161310235,0.0020442320682141587
bert_last_sws_first,weat6,0.0093225849604513,0.014763472907284433,0.0038186043161310235,0.0023039103374773487
fasttext,weat6,0.01427484942510077,0.016245943201669347,0.02078307944699975,0.01700623563051898
bert_0_sws_avg,weat7,0.03028739330994119,0.02207083073097303,0.03704842335497983,0.032518771130774074
bert_0_sws_first,weat7,0.03028739330994119,0.02203858133450947,0.03704842335497983,0.030852210073210193
bert_2nd_last_sws_avg,weat7,8.60492967664811e-05,0.0019110171844199041,0.00042187638330519803,0.0006187188241352063
bert_2nd_last_sws_first,weat7,8.60492967664811e-05,0.002993286645591615,0.00042187638330519803,0.0013022531016331856
bert_all_sws_avg,weat7,0.0030971975497723426,0.017055513549628146,0.00720272026218802,0.008105030127140266
bert_all_sws_first,weat7,0.0030971975497723426,0.021276253583018483,0.00720272026218802,0.01042546147289599
bert_last_CLS,weat7,0.0004712126848831864,0.0008201505220653362,0.0002319741905190142,0.00015707696043267732
bert_last_sws_avg,weat7,0.0022224250862832003,0.030362071238783456,0.010595191141532971,0.011531714314563062
bert_last_sws_first,weat7,0.0022224250862832003,0.038043345916266715,0.010595191141532971,0.01621348535191286
fasttext,weat7,0.04698648029619593,0.016531130403242077,0.027339376828862554,0.03536446212849213
bert_0_sws_avg,weat8,0.03249752273366847,0.02207083073097303,0.03704842335497983,0.032518771130774074
bert_0_sws_first,weat8,0.03225303297134289,0.02203858133450947,0.03704842335497983,0.030852210073210193
bert_2nd_last_sws_avg,weat8,0.0019824259047961953,0.0019110171844199041,0.00042187638330519803,0.0006187188241352063
bert_2nd_last_sws_first,weat8,0.0016658754275064747,0.002993286645591615,0.00042187638330519803,0.0013022531016331856
bert_all_sws_avg,weat8,0.02377468301017194,0.017055513549628146,0.00720272026218802,0.008105030127140266
bert_all_sws_first,weat8,0.022146161492143872,0.021276253583018483,0.00720272026218802,0.01042546147289599
bert_last_CLS,weat8,0.0015587884878274804,0.0008201505220653362,0.0002319741905190142,0.00015707696043267732
bert_last_sws_avg,weat8,0.04405832729647271,0.030362071238783456,0.010595191141532971,0.011531714314563062
bert_last_sws_first,weat8,0.03878021553623516,0.038043345916266715,0.010595191141532971,0.01621348535191286
fasttext,weat8,0.03768791023253569,0.016531130403242077,0.027339376828862554,0.03536446212849213
bert_0_sws_avg,weat9,0.036023796476807125,0.0233093761531688,0.023826166453919433,0.008801232851970575
bert_0_sws_first,weat9,0.02276149920179704,0.04469361714058421,0.024894672786384395,0.012082541958429453
bert_2nd_last_sws_avg,weat9,0.0009360587249414385,0.0013383690359167208,0.0008719150038665737,0.00017787205999065413
bert_2nd_last_sws_first,weat9,0.0020173258791841386,0.004700258786762085,0.0012764785784761003,7.877540252548033e-05
bert_all_sws_avg,weat9,0.009556201507265754,0.011573969832485742,0.008074527773665373,0.0023897239666832086
bert_all_sws_first,weat9,0.013153625805413406,0.029673407813979986,0.008447658235613309,0.0022982749261914156
bert_last_CLS,weat9,0.00017460315359820502,0.00010450494323664679,0.00036875464505590724,6.2711939759831e-05
bert_last_sws_avg,weat9,0.01593715499562308,0.016240392846235744,0.014622157325242094,0.005392323093089246
bert_last_sws_first,weat9,0.02026458770038261,0.04056690425895339,0.021497702300720074,0.0033273134733730475
fasttext,weat9,0.019696869570630538,0.04004577740768241,0.012883295989481004,0.0063846149639805345
