Type,DataSource,Method,weat1,weat2,weat6,weat7,weat8,weat9
contextual,ALL,xlmr-CLS,0.227 (0.191),0.199 (0.229),-0.517 (0.841),-0.153 (0.637),0.605 (0.075),0.152 (0.368)
contextual,ALL,xlmr-last-hidden-subword-first,-0.473 (0.968),0.072 (0.395),-0.409 (0.749),0.579 (0.095),0.191 (0.344),-0.075 (0.567)
contextual,ALL,xlmr-last-hidden-subword-avg,0.049 (0.426),-0.041 (0.559),-1.022 (0.986),0.637 (0.072),0.152 (0.373),0.276 (0.271)
contextual,ALL,xlmr-2nd-last-layer-subword-first,-0.470 (0.967),0.036 (0.447),-1.013 (0.980),0.210 (0.317),0.335 (0.328),0.528 (0.117)
contextual,ALL,xlmr-2nd-last-layer-subword-avg,0.108 (0.338),0.056 (0.418),-1.120 (0.991),0.625 (0.073),0.433 (0.216),0.385 (0.182)
contextual,ALL,xlmr-avg-all-hidden-subword-first,-0.236 (0.820),-0.266 (0.838),-0.897 (0.965),0.061 (0.449),0.061 (0.448),0.101 (0.416)
contextual,ALL,xlmr-avg-all-hidden-subword-avg,0.292 (0.130),-0.132 (0.683),-1.040 (0.985),0.511 (0.120),0.386 (0.200),-0.133 (0.616)
contextual,GT,xlmr-CLS,0.099 (0.368),0.126 (0.331),0.498 (0.166),-0.137 (0.598),0.589 (0.127),0.299 (0.305)
contextual,GT,xlmr-last-hidden-subword-first,-0.260 (0.819),-0.089 (0.620),-1.221 (0.997),0.154 (0.385),0.224 (0.346),-0.270 (0.692)
contextual,GT,xlmr-last-hidden-subword-avg,0.209 (0.233),-0.007 (0.509),-0.599 (0.874),0.246 (0.323),0.325 (0.275),0.389 (0.255)
contextual,GT,xlmr-2nd-last-layer-subword-first,-0.292 (0.849),-0.006 (0.508),0.522 (0.148),0.492 (0.170),0.244 (0.346),0.457 (0.224)
contextual,GT,xlmr-2nd-last-layer-subword-avg,0.142 (0.309),0.098 (0.365),-0.038 (0.529),0.488 (0.172),0.460 (0.192),0.457 (0.207)
contextual,GT,xlmr-avg-all-hidden-subword-first,0.012 (0.485),-0.285 (0.841),-0.815 (0.948),0.496 (0.167),0.045 (0.466),0.088 (0.443)
contextual,GT,xlmr-avg-all-hidden-subword-avg,0.204 (0.239),-0.105 (0.642),-0.757 (0.932),0.521 (0.153),0.263 (0.307),0.181 (0.381)
contextual,HT,xlmr-CLS,0.246 (0.197),0.093 (0.374),-0.672 (0.906),0.034 (0.474),-0.123 (0.592),0.299 (0.305)
contextual,HT,xlmr-last-hidden-subword-first,-0.390 (0.916),-0.016 (0.521),-0.485 (0.809),0.589 (0.126),0.052 (0.460),-0.270 (0.692)
contextual,HT,xlmr-last-hidden-subword-avg,0.072 (0.402),0.047 (0.433),-0.949 (0.980),0.561 (0.140),-0.010 (0.507),0.389 (0.255)
contextual,HT,xlmr-2nd-last-layer-subword-first,-0.432 (0.937),0.078 (0.394),-0.918 (0.968),0.674 (0.092),0.325 (0.363),0.457 (0.224)
contextual,HT,xlmr-2nd-last-layer-subword-avg,0.057 (0.422),0.153 (0.297),-1.056 (0.987),0.637 (0.106),0.507 (0.199),0.457 (0.207)
contextual,HT,xlmr-avg-all-hidden-subword-first,-0.076 (0.605),-0.406 (0.922),-1.091 (0.990),0.650 (0.100),-0.038 (0.529),0.088 (0.443)
contextual,HT,xlmr-avg-all-hidden-subword-avg,0.275 (0.169),-0.187 (0.742),-0.961 (0.977),0.748 (0.071),0.124 (0.405),0.181 (0.381)
static,ALL,fasttext,1.127 (0.000),1.404 (0.000),1.506 (0.000),1.126 (0.003),1.385 (0.000),0.521 (0.121)
static,ALL,xlmr-layer-0-subword-first,0.092 (0.362),0.203 (0.225),0.195 (0.372),0.447 (0.153),0.531 (0.123),0.003 (0.497)
static,ALL,xlmr-layer-0-subword-avg,0.398 (0.060),0.014 (0.478),0.113 (0.421),0.583 (0.089),0.716 (0.056),-0.547 (0.893)
static,GT,fasttext,1.394 (0.000),1.311 (0.000),1.570 (0.000),1.535 (0.000),1.247 (0.005),1.184 (0.017)
static,GT,xlmr-layer-0-subword-first,0.428 (0.066),0.307 (0.142),0.294 (0.283),0.694 (0.086),0.316 (0.278),-0.168 (0.605)
static,GT,xlmr-layer-0-subword-avg,0.066 (0.412),-0.130 (0.676),0.307 (0.277),0.548 (0.144),0.611 (0.118),-0.918 (0.946)
static,HT,fasttext,1.347 (0.000),1.388 (0.000),1.270 (0.003),1.613 (0.000),1.235 (0.006),1.184 (0.017)
static,HT,xlmr-layer-0-subword-first,0.368 (0.099),0.300 (0.147),-0.201 (0.645),0.736 (0.074),0.140 (0.397),-0.168 (0.605)
static,HT,xlmr-layer-0-subword-avg,0.038 (0.448),-0.152 (0.703),0.127 (0.409),0.606 (0.117),0.592 (0.126),-0.918 (0.946)
