Type,DataSource,Method,weat1,weat2,weat6,weat7,weat8,weat9
contextual,ALL,xlmr-CLS,0.350 (0.090),0.112 (0.342),0.383 (0.238),-0.472 (0.884),-0.179 (0.673),-0.544 (0.893)
contextual,ALL,xlmr-last-hidden-subword-first,0.136 (0.301),-0.564 (0.982),0.125 (0.403),-0.106 (0.600),-0.372 (0.824),0.102 (0.469)
contextual,ALL,xlmr-last-hidden-subword-avg,0.294 (0.130),-0.613 (0.989),0.043 (0.463),-0.103 (0.601),-0.433 (0.865),-0.026 (0.523)
contextual,ALL,xlmr-2nd-last-layer-subword-first,0.003 (0.497),-0.470 (0.958),0.277 (0.295),0.101 (0.399),-0.341 (0.807),0.261 (0.458)
contextual,ALL,xlmr-2nd-last-layer-subword-avg,0.229 (0.195),-0.656 (0.994),0.148 (0.388),0.126 (0.376),-0.347 (0.813),0.036 (0.469)
contextual,ALL,xlmr-avg-all-hidden-subword-first,0.141 (0.299),-0.346 (0.896),0.558 (0.139),0.113 (0.388),-0.100 (0.598),-0.017 (0.516)
contextual,ALL,xlmr-avg-all-hidden-subword-avg,0.198 (0.225),-0.547 (0.980),0.067 (0.448),0.060 (0.440),-0.153 (0.650),-0.072 (0.565)
contextual,GT,xlmr-CLS,0.084 (0.385),0.284 (0.162),-0.102 (0.572),-0.724 (0.924),0.494 (0.169),-0.588 (0.780)
contextual,GT,xlmr-last-hidden-subword-first,0.028 (0.459),-0.593 (0.982),0.052 (0.459),-0.478 (0.825),0.199 (0.351),0.528 (0.300)
contextual,GT,xlmr-last-hidden-subword-avg,0.142 (0.309),-0.542 (0.974),0.052 (0.460),-0.271 (0.699),-0.508 (0.840),0.434 (0.236)
contextual,GT,xlmr-2nd-last-layer-subword-first,-0.106 (0.646),-0.530 (0.969),0.400 (0.218),0.075 (0.441),-0.714 (0.920),0.543 (0.260)
contextual,GT,xlmr-2nd-last-layer-subword-avg,0.150 (0.302),-0.567 (0.979),0.087 (0.434),0.156 (0.384),-0.595 (0.879),0.492 (0.209)
contextual,GT,xlmr-avg-all-hidden-subword-first,0.047 (0.437),-0.454 (0.946),1.032 (0.015),-0.141 (0.606),0.419 (0.212),0.444 (0.227)
contextual,GT,xlmr-avg-all-hidden-subword-avg,0.160 (0.287),-0.530 (0.972),0.637 (0.104),0.031 (0.475),0.084 (0.459),0.230 (0.376)
contextual,HT,xlmr-CLS,0.084 (0.385),0.284 (0.162),-0.005 (0.504),-0.724 (0.924),0.494 (0.169),-0.588 (0.780)
contextual,HT,xlmr-last-hidden-subword-first,0.028 (0.459),-0.593 (0.982),0.093 (0.427),-0.478 (0.825),0.199 (0.351),0.528 (0.300)
contextual,HT,xlmr-last-hidden-subword-avg,0.142 (0.309),-0.542 (0.974),0.140 (0.394),-0.271 (0.699),-0.508 (0.840),0.434 (0.236)
contextual,HT,xlmr-2nd-last-layer-subword-first,-0.106 (0.646),-0.530 (0.969),0.248 (0.314),0.075 (0.441),-0.714 (0.920),0.543 (0.260)
contextual,HT,xlmr-2nd-last-layer-subword-avg,0.150 (0.302),-0.567 (0.979),0.310 (0.279),0.156 (0.384),-0.595 (0.879),0.492 (0.209)
contextual,HT,xlmr-avg-all-hidden-subword-first,0.047 (0.437),-0.454 (0.946),0.728 (0.078),-0.141 (0.606),0.419 (0.212),0.444 (0.227)
contextual,HT,xlmr-avg-all-hidden-subword-avg,0.160 (0.287),-0.530 (0.972),0.717 (0.079),0.031 (0.475),0.084 (0.459),0.230 (0.376)
static,ALL,fasttext,1.329 (0.000),1.609 (0.000),1.289 (0.003),-0.578 (0.932),-0.202 (0.686),0.975 (0.009)
static,ALL,xlmr-layer-0-subword-first,0.210 (0.215),0.283 (0.151),1.202 (0.006),-0.116 (0.616),-0.090 (0.589),-0.005 (0.506)
static,ALL,xlmr-layer-0-subword-avg,0.077 (0.388),-0.229 (0.800),0.898 (0.025),-0.081 (0.581),-0.237 (0.725),-0.098 (0.588)
static,GT,fasttext,1.353 (0.000),1.594 (0.000),1.536 (0.000),-0.450 (0.804),-0.280 (0.687),1.300 (0.008)
static,GT,xlmr-layer-0-subword-first,0.267 (0.175),0.190 (0.256),1.550 (0.000),-0.432 (0.796),0.205 (0.353),0.035 (0.463)
static,GT,xlmr-layer-0-subword-avg,0.197 (0.247),-0.188 (0.745),1.561 (0.000),-0.113 (0.585),-0.319 (0.729),-0.331 (0.706)
static,HT,fasttext,1.353 (0.000),1.594 (0.000),1.259 (0.004),-0.450 (0.804),-0.280 (0.687),1.300 (0.008)
static,HT,xlmr-layer-0-subword-first,0.267 (0.175),0.190 (0.256),1.435 (0.001),-0.432 (0.796),0.205 (0.353),0.035 (0.463)
static,HT,xlmr-layer-0-subword-avg,0.197 (0.247),-0.188 (0.745),1.029 (0.018),-0.113 (0.585),-0.319 (0.729),-0.331 (0.706)
