Type,DataSource,Method,weat1,weat2,weat6,weat7,weat8,weat9
contextual,ALL,xlmr-CLS,0.581 (0.009),-0.513 (0.966),-0.420 (0.787),-0.643 (0.902),-0.136 (0.609),-1.213 (0.984)
contextual,ALL,xlmr-last-hidden-subword-first,0.161 (0.287),0.126 (0.330),-1.171 (0.993),-0.092 (0.572),-0.291 (0.716),-0.276 (0.667)
contextual,ALL,xlmr-last-hidden-subword-avg,0.133 (0.316),-0.006 (0.508),-1.249 (0.997),-0.794 (0.948),-0.017 (0.514),-1.148 (0.984)
contextual,ALL,xlmr-2nd-last-layer-subword-first,0.298 (0.171),0.311 (0.142),-1.280 (0.995),0.230 (0.325),-0.104 (0.583),-0.052 (0.528)
contextual,ALL,xlmr-2nd-last-layer-subword-avg,0.247 (0.192),0.090 (0.380),-1.291 (0.996),-0.328 (0.744),-0.074 (0.558),-1.186 (0.978)
contextual,ALL,xlmr-avg-all-hidden-subword-first,0.413 (0.068),0.339 (0.119),-1.418 (0.999),0.488 (0.168),-0.423 (0.794),-0.546 (0.819)
contextual,ALL,xlmr-avg-all-hidden-subword-avg,0.434 (0.058),0.013 (0.482),-1.433 (0.999),0.302 (0.326),-0.414 (0.787),-1.319 (0.990)
contextual,GT,xlmr-CLS,-0.231 (0.790),-0.147 (0.695),0.394 (0.251),-0.381 (0.763),0.109 (0.422),-1.332 (0.992)
contextual,GT,xlmr-last-hidden-subword-first,0.300 (0.154),0.132 (0.322),0.352 (0.247),0.306 (0.286),-0.093 (0.571),-0.042 (0.522)
contextual,GT,xlmr-last-hidden-subword-avg,0.010 (0.488),0.251 (0.193),0.061 (0.454),-0.184 (0.640),0.153 (0.385),-0.615 (0.851)
contextual,GT,xlmr-2nd-last-layer-subword-first,0.347 (0.123),0.366 (0.101),0.245 (0.319),0.641 (0.104),-0.046 (0.536),-0.278 (0.673)
contextual,GT,xlmr-2nd-last-layer-subword-avg,-0.073 (0.601),0.429 (0.065),-0.131 (0.601),0.393 (0.226),0.145 (0.392),-0.859 (0.931)
contextual,GT,xlmr-avg-all-hidden-subword-first,0.438 (0.061),0.365 (0.101),0.294 (0.296),0.970 (0.025),-0.248 (0.678),-1.016 (0.959)
contextual,GT,xlmr-avg-all-hidden-subword-avg,0.323 (0.133),0.220 (0.226),0.039 (0.470),0.862 (0.037),-0.124 (0.596),-0.925 (0.945)
contextual,HT,xlmr-CLS,0.715 (0.002),-0.512 (0.968),-0.420 (0.787),-0.544 (0.851),0.100 (0.428),-0.868 (0.934)
contextual,HT,xlmr-last-hidden-subword-first,0.319 (0.143),0.083 (0.387),-1.171 (0.993),-0.106 (0.574),-0.260 (0.689),0.440 (0.232)
contextual,HT,xlmr-last-hidden-subword-avg,0.222 (0.227),0.005 (0.494),-1.249 (0.997),-0.752 (0.932),-0.103 (0.578),-1.071 (0.977)
contextual,HT,xlmr-2nd-last-layer-subword-first,0.361 (0.085),0.204 (0.243),-1.280 (0.995),0.242 (0.318),-0.152 (0.615),0.415 (0.246)
contextual,HT,xlmr-2nd-last-layer-subword-avg,0.217 (0.234),0.041 (0.446),-1.291 (0.996),-0.272 (0.700),-0.047 (0.536),-1.010 (0.957)
contextual,HT,xlmr-avg-all-hidden-subword-first,0.457 (0.028),0.274 (0.172),-1.418 (0.999),0.469 (0.184),-0.419 (0.786),0.528 (0.185)
contextual,HT,xlmr-avg-all-hidden-subword-avg,0.478 (0.046),-0.029 (0.539),-1.433 (0.999),0.378 (0.245),-0.336 (0.740),-1.247 (0.994)
static,ALL,fasttext,1.087 (0.000),1.456 (0.000),1.682 (0.000),0.647 (0.094),-0.231 (0.678),-0.096 (0.543)
static,ALL,xlmr-layer-0-subword-first,0.655 (0.007),0.275 (0.170),-0.648 (0.898),1.029 (0.013),-0.182 (0.638),0.097 (0.446)
static,ALL,xlmr-layer-0-subword-avg,0.294 (0.143),-0.196 (0.756),-0.643 (0.896),1.352 (0.001),-0.085 (0.566),-0.405 (0.677)
static,GT,fasttext,0.916 (0.000),1.303 (0.000),1.397 (0.001),0.953 (0.027),-0.465 (0.811),0.822 (0.082)
static,GT,xlmr-layer-0-subword-first,0.579 (0.020),0.156 (0.296),0.625 (0.116),0.967 (0.025),-0.147 (0.610),-0.045 (0.536)
static,GT,xlmr-layer-0-subword-avg,0.249 (0.196),-0.258 (0.818),0.868 (0.039),1.074 (0.014),-0.213 (0.658),-0.234 (0.600)
static,HT,fasttext,1.150 (0.000),1.457 (0.000),1.682 (0.000),0.836 (0.048),-0.382 (0.771),0.470 (0.242)
static,HT,xlmr-layer-0-subword-first,0.671 (0.008),0.124 (0.333),-0.648 (0.898),0.928 (0.031),-0.107 (0.580),1.043 (0.039)
static,HT,xlmr-layer-0-subword-avg,0.161 (0.290),-0.310 (0.863),-0.643 (0.896),1.072 (0.014),-0.207 (0.656),0.553 (0.176)
