Type,DataSource,Method,weat1,weat2,weat6,weat7,weat8,weat9
contextual,ALL,xlmr-CLS,0.033 (0.453),-0.444 (0.949),-0.285 (0.697),0.464 (0.175),0.655 (0.092),1.408 (0.003)
contextual,ALL,xlmr-last-hidden-subword-first,0.627 (0.001),0.438 (0.065),0.049 (0.462),0.066 (0.452),0.461 (0.180),0.265 (0.329)
contextual,ALL,xlmr-last-hidden-subword-avg,-0.051 (0.574),-0.117 (0.664),0.350 (0.249),-0.891 (0.967),0.522 (0.155),0.686 (0.126)
contextual,ALL,xlmr-2nd-last-layer-subword-first,0.471 (0.019),0.272 (0.183),1.081 (0.007),-0.038 (0.531),0.481 (0.167),0.424 (0.241)
contextual,ALL,xlmr-2nd-last-layer-subword-avg,0.116 (0.344),0.146 (0.297),1.039 (0.018),-0.799 (0.950),0.613 (0.108),0.807 (0.082)
contextual,ALL,xlmr-avg-all-hidden-subword-first,0.527 (0.013),0.093 (0.388),0.189 (0.361),-0.605 (0.885),0.478 (0.168),0.388 (0.278)
contextual,ALL,xlmr-avg-all-hidden-subword-avg,0.167 (0.281),-0.092 (0.632),-0.149 (0.612),-0.611 (0.890),0.211 (0.339),0.328 (0.294)
contextual,GT,xlmr-CLS,-0.099 (0.635),-0.169 (0.722),0.283 (0.291),0.515 (0.154),0.531 (0.150),1.527 (0.002)
contextual,GT,xlmr-last-hidden-subword-first,0.507 (0.030),0.426 (0.065),-0.301 (0.720),-0.128 (0.583),0.248 (0.312),0.198 (0.367)
contextual,GT,xlmr-last-hidden-subword-avg,0.487 (0.043),0.005 (0.494),-0.172 (0.629),-0.116 (0.561),0.354 (0.243),0.135 (0.407)
contextual,GT,xlmr-2nd-last-layer-subword-first,0.415 (0.063),0.322 (0.145),0.972 (0.021),0.489 (0.181),0.058 (0.457),0.458 (0.194)
contextual,GT,xlmr-2nd-last-layer-subword-avg,0.527 (0.031),0.174 (0.273),0.711 (0.080),-0.099 (0.580),0.340 (0.257),0.484 (0.215)
contextual,GT,xlmr-avg-all-hidden-subword-first,0.506 (0.012),0.219 (0.332),0.255 (0.323),0.129 (0.400),-0.169 (0.626),0.302 (0.310)
contextual,GT,xlmr-avg-all-hidden-subword-avg,0.586 (0.019),-0.024 (0.534),0.223 (0.323),-0.088 (0.560),0.019 (0.490),0.413 (0.244)
contextual,HT,xlmr-CLS,-0.045 (0.562),-0.041 (0.557),-0.285 (0.697),0.747 (0.070),0.531 (0.150),1.408 (0.003)
contextual,HT,xlmr-last-hidden-subword-first,0.613 (0.008),0.542 (0.024),0.049 (0.462),0.134 (0.401),0.253 (0.317),0.265 (0.329)
contextual,HT,xlmr-last-hidden-subword-avg,0.125 (0.334),-0.156 (0.702),0.350 (0.249),-0.821 (0.949),0.577 (0.130),0.686 (0.126)
contextual,HT,xlmr-2nd-last-layer-subword-first,0.492 (0.022),0.439 (0.064),1.081 (0.007),0.086 (0.434),0.135 (0.398),0.424 (0.241)
contextual,HT,xlmr-2nd-last-layer-subword-avg,0.320 (0.132),0.357 (0.110),1.039 (0.018),-0.829 (0.953),0.549 (0.141),0.807 (0.082)
contextual,HT,xlmr-avg-all-hidden-subword-first,0.555 (0.007),0.355 (0.126),0.189 (0.361),-0.310 (0.704),0.056 (0.459),0.388 (0.278)
contextual,HT,xlmr-avg-all-hidden-subword-avg,0.260 (0.181),0.027 (0.464),-0.149 (0.612),-0.674 (0.910),0.284 (0.291),0.328 (0.294)
static,ALL,fasttext,1.479 (0.000),1.467 (0.000),1.162 (0.009),0.734 (0.067),0.354 (0.239),0.941 (0.056)
static,ALL,xlmr-layer-0-subword-first,0.539 (0.028),-0.365 (0.909),0.736 (0.072),-0.076 (0.559),0.382 (0.225),0.224 (0.398)
static,ALL,xlmr-layer-0-subword-avg,0.456 (0.054),-0.273 (0.842),1.035 (0.017),-0.149 (0.615),0.203 (0.345),0.143 (0.411)
static,GT,fasttext,1.319 (0.000),1.344 (0.000),1.318 (0.001),0.727 (0.076),-0.152 (0.618),1.032 (0.036)
static,GT,xlmr-layer-0-subword-first,0.750 (0.003),-0.063 (0.588),0.396 (0.222),0.712 (0.080),0.135 (0.401),0.330 (0.292)
static,GT,xlmr-layer-0-subword-avg,0.654 (0.009),-0.129 (0.675),0.825 (0.050),0.467 (0.181),-0.001 (0.501),0.685 (0.122)
static,HT,fasttext,1.463 (0.000),1.446 (0.000),1.162 (0.009),1.054 (0.016),0.182 (0.364),0.941 (0.056)
static,HT,xlmr-layer-0-subword-first,0.577 (0.019),-0.129 (0.674),0.736 (0.072),-0.037 (0.528),0.074 (0.445),0.224 (0.398)
static,HT,xlmr-layer-0-subword-avg,0.517 (0.033),-0.131 (0.678),1.035 (0.017),-0.077 (0.558),0.136 (0.397),0.143 (0.411)
