Type,DataSource,Method,weat11,weat12,weat13,weat14,weat15
contextual,NEW_HT,xlmr-CLS,-0.276 (0.726),-0.852 (0.973),0.042 (0.465),0.715 (0.052),0.011 (0.487)
contextual,NEW_HT,xlmr-last-hidden-subword-first,-0.709 (0.944),-0.502 (0.865),0.185 (0.345),0.298 (0.255),-0.245 (0.700)
contextual,NEW_HT,xlmr-last-hidden-subword-avg,-0.990 (0.988),-0.647 (0.924),-0.045 (0.540),0.796 (0.033),-1.361 (0.999)
contextual,NEW_HT,xlmr-2nd-last-layer-subword-first,-0.628 (0.915),-0.852 (0.973),0.184 (0.347),0.536 (0.114),-0.315 (0.753)
contextual,NEW_HT,xlmr-2nd-last-layer-subword-avg,-0.495 (0.862),-0.520 (0.872),-0.106 (0.592),0.249 (0.292),-1.286 (0.999)
contextual,NEW_HT,xlmr-avg-all-hidden-subword-first,-0.274 (0.713),-0.307 (0.746),0.319 (0.249),0.725 (0.049),0.218 (0.321)
contextual,NEW_HT,xlmr-avg-all-hidden-subword-avg,-0.957 (0.986),-0.425 (0.811),0.012 (0.490),0.064 (0.444),-1.174 (0.998)
static,NEW_HT,fasttext,-0.917 (0.983),-0.885 (0.977),0.067 (0.442),1.354 (0.000),0.913 (0.018)
static,NEW_HT,xlmr-layer-0-subword-first,-0.076 (0.565),-0.326 (0.764),0.664 (0.072),1.047 (0.007),0.917 (0.010)
static,NEW_HT,xlmr-layer-0-subword-avg,-0.639 (0.919),-0.371 (0.780),0.220 (0.316),0.998 (0.010),-0.325 (0.763)
