Type,DataSource,Method,weat11,weat12,weat13,weat14,weat15
contextual,NEW_HT,xlmr-CLS,-0.319 (0.753),-0.509 (0.852),0.132 (0.391),-0.433 (0.672),0.473 (0.148)
contextual,NEW_HT,xlmr-last-hidden-subword-first,-0.455 (0.831),0.462 (0.115),0.447 (0.000),-0.071 (0.520),0.112 (0.447)
contextual,NEW_HT,xlmr-last-hidden-subword-avg,0.066 (0.445),0.624 (0.083),-0.483 (0.847),0.181 (0.347),0.162 (0.362)
contextual,NEW_HT,xlmr-2nd-last-layer-subword-first,-0.420 (0.814),0.455 (0.149),0.447 (0.025),-0.132 (0.553),0.120 (0.468)
contextual,NEW_HT,xlmr-2nd-last-layer-subword-avg,0.211 (0.323),0.590 (0.096),-0.628 (0.920),0.416 (0.182),0.222 (0.320)
contextual,NEW_HT,xlmr-avg-all-hidden-subword-first,-0.496 (0.822),0.429 (0.149),0.447 (0.370),-0.141 (0.548),0.178 (0.427)
contextual,NEW_HT,xlmr-avg-all-hidden-subword-avg,0.200 (0.333),0.702 (0.058),-0.601 (0.909),0.451 (0.160),0.357 (0.216)
static,NEW_HT,fasttext,-0.514 (0.871),-0.232 (0.693),-0.833 (0.968),0.623 (0.084),0.158 (0.367)
static,NEW_HT,xlmr-layer-0-subword-first,-0.617 (0.963),0.372 (0.306),0.447 (0.000),0.050 (0.492),0.238 (0.263)
static,NEW_HT,xlmr-layer-0-subword-avg,-0.790 (0.961),0.553 (0.110),-0.225 (0.689),0.326 (0.234),0.327 (0.241)
