Type,DataSource,Method,weat11,weat12,weat13,weat14,weat15
contextual,NEW_HT,xlmr-CLS,-0.540 (0.876),0.512 (0.131),-0.197 (0.662),-0.357 (0.775),0.403 (0.210)
contextual,NEW_HT,xlmr-last-hidden-subword-first,0.331 (0.236),-0.187 (0.658),0.591 (0.103),-0.451 (0.839),0.299 (0.259)
contextual,NEW_HT,xlmr-last-hidden-subword-avg,0.396 (0.194),-0.315 (0.752),-0.084 (0.573),-0.277 (0.722),-0.420 (0.821)
contextual,NEW_HT,xlmr-2nd-last-layer-subword-first,0.094 (0.427),0.123 (0.393),0.418 (0.217),-0.290 (0.717),0.452 (0.209)
contextual,NEW_HT,xlmr-2nd-last-layer-subword-avg,0.282 (0.272),0.065 (0.444),-0.031 (0.521),-0.231 (0.692),-0.996 (0.992)
contextual,NEW_HT,xlmr-avg-all-hidden-subword-first,-0.301 (0.744),-0.422 (0.819),-0.068 (0.557),0.679 (0.067),-0.043 (0.538)
contextual,NEW_HT,xlmr-avg-all-hidden-subword-avg,-0.659 (0.927),-0.721 (0.947),-0.400 (0.807),0.354 (0.222),-0.817 (0.967)
static,NEW_HT,fasttext,0.870 (0.024),-1.344 (1.000),-0.260 (0.714),1.618 (0.000),0.815 (0.033)
static,NEW_HT,xlmr-layer-0-subword-first,-0.588 (0.903),-0.569 (0.895),-0.423 (0.814),1.394 (0.000),-0.690 (0.938)
static,NEW_HT,xlmr-layer-0-subword-avg,-0.384 (0.800),-0.192 (0.662),-0.653 (0.926),0.218 (0.321),-0.924 (0.982)
