Type,DataSource,Method,weat11,weat12,weat13,weat14,weat15
contextual,NEW_HT,xlmr-CLS,0.229 (0.298),0.224 (0.313),0.648 (0.071),0.053 (0.456),1.085 (0.006)
contextual,NEW_HT,xlmr-last-hidden-subword-first,1.025 (0.003),1.111 (0.003),0.042 (0.462),-0.634 (0.920),-0.393 (0.805)
contextual,NEW_HT,xlmr-last-hidden-subword-avg,0.944 (0.010),0.915 (0.012),-0.029 (0.523),-0.591 (0.904),0.324 (0.243)
contextual,NEW_HT,xlmr-2nd-last-layer-subword-first,0.780 (0.008),0.740 (0.044),0.184 (0.343),-0.452 (0.838),0.311 (0.256)
contextual,NEW_HT,xlmr-2nd-last-layer-subword-avg,0.907 (0.010),0.685 (0.054),-0.030 (0.523),-0.425 (0.824),0.403 (0.202)
contextual,NEW_HT,xlmr-avg-all-hidden-subword-first,0.742 (0.038),0.441 (0.164),0.500 (0.129),-0.024 (0.521),-0.392 (0.804)
contextual,NEW_HT,xlmr-avg-all-hidden-subword-avg,0.854 (0.019),0.633 (0.076),0.204 (0.324),-0.039 (0.533),0.077 (0.438)
static,NEW_HT,fasttext,0.235 (0.289),0.726 (0.048),0.394 (0.190),0.994 (0.011),0.089 (0.422)
static,NEW_HT,xlmr-layer-0-subword-first,0.688 (0.049),-0.290 (0.740),1.268 (0.000),1.262 (0.000),0.438 (0.178)
static,NEW_HT,xlmr-layer-0-subword-avg,1.152 (0.001),0.502 (0.127),0.875 (0.021),1.301 (0.000),0.623 (0.090)
