Type,DataSource,Method,weat11,weat12,weat13,weat14,weat15
contextual,NEW_HT,xlmr-CLS,1.321 (0.001),-0.150 (0.623),0.146 (0.381),0.716 (0.058),-0.669 (0.928)
contextual,NEW_HT,xlmr-last-hidden-subword-first,0.447 (0.000),0.000 (0.000),0.000 (0.000),0.000 (0.000),0.000 (0.000)
contextual,NEW_HT,xlmr-last-hidden-subword-avg,1.361 (0.000),0.616 (0.090),0.675 (0.071),0.954 (0.015),-0.697 (0.939)
contextual,NEW_HT,xlmr-2nd-last-layer-subword-first,0.447 (0.000),0.000 (0.000),0.000 (0.000),0.000 (0.000),0.000 (0.000)
contextual,NEW_HT,xlmr-2nd-last-layer-subword-avg,1.035 (0.007),-0.256 (0.709),0.802 (0.035),1.129 (0.005),-0.793 (0.963)
contextual,NEW_HT,xlmr-avg-all-hidden-subword-first,0.447 (0.000),0.000 (0.000),0.000 (0.000),0.000 (0.000),0.000 (0.000)
contextual,NEW_HT,xlmr-avg-all-hidden-subword-avg,1.274 (0.001),0.172 (0.357),0.811 (0.030),1.007 (0.011),-0.732 (0.948)
static,NEW_HT,fasttext,-0.646 (0.925),-0.854 (0.973),-0.021 (0.519),0.694 (0.062),0.749 (0.047)
static,NEW_HT,xlmr-layer-0-subword-first,0.447 (0.000),0.000 (0.000),0.000 (0.000),0.000 (0.000),0.000 (0.000)
static,NEW_HT,xlmr-layer-0-subword-avg,0.039 (0.492),-1.177 (0.996),0.777 (0.032),1.009 (0.003),0.247 (0.353)
